# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	gpmA//sdhB//aspA//glpD//
AlaS-L-alanine	tyrB//
AllS-allantoin	glpQ//guaA//metC//
AraC-L-arabinose	cyaA//acs//trpA//zwf//tnaA//aroG//hycC//
ArcA-Phosphorylated	metK//tehB//cynT//aroA//prs//fadE//gabD//uxuA//argH//araB//atoD//moeA//hycD//fadE//paaG//argB//pyrD//sdhD//ynfH//iscS//manA//glpC//puuC//galE//ascB//galE//gnd//dadX//rutC//manA//lldD//glgC//astA//folA//hemL//malP//aroA//ynfH//galE//sufS//speA//uidA//guaA//dadX//phnJ//metL//allE//pyrD//phnL//ascB//speB//nrfA//phnP//cheB//mhpC//atoA//ilvA//ilvA//ldtB//cheB//tdcD//kbaZ//trpC//argI//prpE//dusB//tdcG//ilvA//tyrA//tyrA//aroL//aceE//dkgB//uxaB//ilvM//nrfC//sgbE//ynfF//ascB//ndh//carB//xylB//aroG//ilvN//citD//hycC//hycB//alkA//fbaA//bcsZ//amn//fucA//tam//lacA//ilvC//glpE//rutC//
ArgP-L-arginine	mhpE//talA//ada//gabD//abgA//tdcG//ogt//phnL//xdhB//pflB//malY//
ArgR-L-arginine	hyaB//gpsA//glpB//hyaC//bioC//napH//cyaA//nanM//pncB//puuA//argF//napA//serA//lpxD//deoC//dmsB//gabT//gltA//aroG//ilvE//sufS//glnA//xylB//
AtoC-phosphorylated	oxc//gutQ//kbaZ//
BaeR-Phosphorylated	uxaB//lysU//
BirA-bio-5-AMP	glpE//glgA//paaI//ung//sgbE//
CRP-cAMP	bioD//mutY//ynfE//argA//narG//cysH//glcD//lysC//ynfH//fbaA//gltA//gnd//slt//paaZ//uvrA//rhaA//frc//abgB//entF//melA//phnJ//yfdE//nagA//ilvA//dapB//lhgO//dapD//rhaD//sodB//uidA//ilvE//rutD//tnaA//hyaB//ndh//trpA//ubiA//narH//ilvG_2//argC//purH//yjeF//aspC//galM//mutY//upp//alkB//pgpC//glgC//ybjG//lsrK//rutA//nrdD//fbaA//eda//purC//alaS//dsdA//abgA//dgcZ//sucD//fdhF//ldtB//udp//aceB//entH//aroA//waaH//napA//aceE//malS//astD//cyoE//garR//gapA//dmsA//gatY//manA//oxc//ubiX//argB//lsrG//bioA//ubiC//cysC//fumC//truB//entA//araB//sgbH//mdh//mhpD//dmsB//purA//atoD//gltD//paaZ//pdeF//ogt//malZ//mhpE//sucD//gdhA//sgbU//caiA//cynS//nrdF//folA//glgC//narG//dmsC//nanK//bcsB//uvrA//fes//trpE//prpD//pdeF//serC//ilvA//paaJ//paaA//lyxK//puuE//hemL//ilvA//citC//tyrA//ilvC//malQ//gnd//pgaC//nanK//fadI//lysC//lpd//paaK//tyrA//gltA//polA//sdhC//ilvB//epd//entD//aldB//entD//atoA//abgA//ilvE//ynfG//ilvE//entC//fucU//phnP//uxuB//acs//metL//mutL//lsrG//puuC//ilvG_1//ung//entE//torA//glcF//hcp//cynS//dmsB//epd//speB//rnpB//ansB//sucC//gabT//sdhA//nrfC//nrfD//ilvM//garK//glpQ//icd//entF//tyrB//guaA//tsaE//galE//dmsA//araB//fadD//entE//ilvD//argG//cysI//icd//napC//sgbH//ilvN//phnN//bcsB//idnO//purF//nanE//phnP//pdeF//aspC//lysC//ilvE//tyrB//uidA//caiD//upp//gnd//talA//gdhA//napA//aceF//dmsB//ugpQ//paaI//puuB//bioB//cysC//rhaD//folA//caiD//nrdE//cysD//tsaE//tdcG//ansB//recF//lacA//frdD//mdh//glgB//gnd//moeA//lysU//fdhF//mhpC//metE//trmD//ulaD//gcvT//moeB//ubiX//aldA//rutB//sucA//nrdB//speA//uxuA//waaH//idnK//srlD//nrdA//cysK//paaI//srlD//deoA//rbsD//moaA//mhpF//glgX//betB//uxaC//gltB//idnO//gabD//glgB//patZ//narI//udp//pta//waaH//argF//aceE//tadA//serC//gntK//hyaB//cadA//fau//hycC//bioD//uxaB//ubiA//bcsZ//nrdA//folA//
