# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	sufS//carA//hcp//prs//
AlaS-L-alanine	puuA//
AllS-allantoin	ssuE//paaJ//pgaB//
AraC-L-arabinose	ppiA//pncB//hycG//ilvH//napH//umpH//argB//
ArcA-Phosphorylated	uvrA//katG//sodB//iscS//folE//cynS//ilvB//hcp//puuC//ybjG//moeA//ulaF//galE//citD//hemA//purA//xylB//pgpC//lsrG//caiA//lacA//sdhB//entC//ilvN//dapB//glgB//gltD//appA//ugpQ//lysU//lpxD//dadA//fucI//hycD//bglB//purH//carB//tsaE//lpd//trmD//cysH//pgaD//prpD//betB//yfeW//fadH//hemA//avtA//aceF//dmsB//tnaA//argD//yfdE//allC//tdh//bcsZ//sucB//fadB//ahpC//polA//prmC//ynfE//glgC//dapB//aceE//carB//hemL//dmsA//glpQ//glnA//phoA//ampD//paaF//gcvH//gltA//hyaA//betA//ndh//prpB//pyrD//entB//chbG//ogt//rbsD//nrfA//mtlD//moaD//rhaD//argH//atoD//dmsA//fadI//araB//dkgB//fbaA//pheT//prmC//
ArgP-L-arginine	moeA//purA//malY//galK//bioF//speC//entB//sdhD//malZ//astA//aroG//
ArgR-L-arginine	ilvN//aldB//garK//ssuE//ung//oxc//glpK//trpB//acs//tehB//ogt//metL//ilvG_2//lpd//pyrC//lhgO//lysA//cysK//gabT//moeB//dadA//cysI//sdhA//
AtoC-phosphorylated	aspC//pgpC//glpX//
BaeR-Phosphorylated	pdeF//glgA//
BirA-bio-5-AMP	guaA//ilvG_2//hycG//thrS//nrdA//
CRP-cAMP	cysK//lysC//entE//phnG//edd//entC//bioC//sdhB//paaE//puuB//tktB//frdD//upp//ung//nrdB//fadE//abgA//idnD//hyaB//hycG//sufS//appA//speB//aspC//phnG//caiA//aceA//slt//acs//trmD//aceF//dapB//nanK//icd//pyrD//ilvM//argF//deoC//sdhC//ynfH//paaI//idnO//argI//speB//ung//atoA//napC//sgbE//xdhA//phnO//glgP//tnaA//fumB//dusB//lysA//trpC//entA//uxuA//prmC//nagA//yfdE//hemA//fes//cysJ//dapD//entB//sdhC//phoA//fadH//rhaB//torC//xylA//codA//lpxA//gapA//dapB//cysD//mdh//purH//fumC//acnB//dadA//glcF//amn//yiaK//metK//alaS//sodB//nrdB//manA//dkgB//hyaC//trpC//bcsA//uxaA//nrdF//gatZ//lyxK//aroF//glcE//metE//mltC//acs//fes//dadX//fadJ//moeB//paaF//nrdB//pta//sgbU//bioF//paaG//nadC//aldA//speB//ilvH//ilvB//phnH//phnP//gcd//yfdE//purC//acs//uxaC//gapA//rdoA//sucC//yfbR//tyrA//pgaB//ogt//lysC//rutB//gabT//narI//gcvP//cysN//purH//ilvH//ahpF//argI//guaB//hyaB//glyA//lpxD//argG//tdcD//aceE//aroH//speC//mhpE//mutY//ilvH//napB//garK//rbsD//purC//phnI//gcd//galT//nanM//phnJ//mdh//lpxB//ilvC//sodA//phnP//cynT//fadE//araD//nanK//upp//ugpQ//allC//ilvH//mhpF//aroL//phoA//glcF//tnaA//cysI//uidA//phnI//betA//napH//sgbE//idnO//lpxD//ilvG_1//udp//aceF//paaH//waaH//gabT//mtlD//xdhA//dkgB//sodB//sucB//aldA//pgpC//galE//argD//gapA//katG//ahpF//cysK//hpt//alaA//ynfF//lacA//chbG//glcD//torA//fes//nrdF//galE//codA//mhpD//sdaA//galT//adhE//tsaE//ubiX//astC//uvrA//garL//prpD//pgaD//nirB//metC//purF//xylB//paaB//ubiX//fucO//miaA//puuA//purM//bioB//katE//phnN//ubiA//lysA//murQ//mhpA//puuC//garL//sgbH//fadB//puuD//mhpD//preA//hyaB//yfdE//glpB//lhgO//serC//patZ//argF//purE//sucC//nadC//citE//citG//cysK//metL//acs//lysC//citC//galT//cysN//prpC//ilvC//gcd//glcB//lpxA//waaH//rhaD//cdd//uxuA//glcB//bioC//garK//mltC//rnpB//icd//hpt//aceA//
