# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	folE//prpC//frdA//codA//
AlaS-L-alanine	moeB//
AllS-allantoin	codA//araA//narI//
AraC-L-arabinose	sodA//malS//rbsD//ilvG_1//chbG//ubiA//garL//
ArcA-Phosphorylated	tdcD//garR//bcsB//purM//allC//metL//ppiA//aroA//frdD//bioD//bioD//sgbH//umpH//bacA//serA//ansB//ubiG//argI//deoC//appA//uxaC//gcvT//fes//tam//speC//ilvE//purH//cheB//narG//hycD//iscS//caiD//nrdB//glgX//rutA//ilvG_2//ogt//bcsB//puuA//serA//fadJ//cyoE//ssuD//serC//tyrA//tnaA//ilvB//galE//entA//frdB//entA//garL//sucA//speC//malQ//narH//astE//mhpE//nrdF//phnM//ssuE//astA//garK//sdhA//astE//pheT//fucO//malS//folA//upp//pgaD//nrfA//ynfF//pgaC//chbG//glyA//pgk//patZ//sucA//ilvG_2//cheB//sgbU//tauD//citC//purE//uxaA//dkgB//puuE//narI//rutA//ftnA//cysD//glgX//malY//ilvD//sucD//aceA//
ArgP-L-arginine	cynS//guaB//aceF//talA//nrdF//ynfF//moaA//bioA//ackA//cueO//glpD//
ArgR-L-arginine	murQ//ynfH//lpxD//citD//nirD//lhgO//iscS//ppiA//gcd//cysK//metC//ung//ulaF//glnA//yqjH//abgA//umpH//uxuA//carA//epd//sgbH//pheT//metE//
AtoC-phosphorylated	frdD//ppiA//lpxB//
BaeR-Phosphorylated	carB//prpB//
BirA-bio-5-AMP	uxaC//lsrF//tktB//murQ//lyxK//
CRP-cAMP	pheT//ubiA//yfbR//purM//hemA//purF//purN//sdaA//dsdA//gnd//caiC//psd//trpA//puuA//speA//fau//pgk//hemA//galK//bioD//icd//yjeF//glgC//pgk//guaA//xdhB//fumA//ybjG//puuB//malZ//cysC//fadE//idnK//dmsB//speB//fadJ//argB//dmsA//entH//cysI//deoD//lpd//psd//yqjH//phnM//sdhB//cueO//gadB//fdhF//mtlD//aceA//mtlD//cheB//garK//sdaA//gcvP//moeB//atoA//tam//malS//malP//xdhA//gcvP//lysU//fadJ//rutC//lacZ//purA//fadI//xylA//bcsA//ilvH//citG//astA//cysD//pnp//argF//narH//psd//nadC//phnO//deoC//napA//pta//glnA//bcsA//araB//uvrA//pgk//yfdE//pgpC//appA//argA//ilvG_1//citE//ulaD//glcE//tnaA//idnK//prmC//hycG//caiD//alkA//icd//yjeF//hycB//nagA//acs//udp//sdhB//miaA//paaB//dmsC//fumC//ilvD//gltD//pyrC//rnpB//ndh//cheR//allD//dnaE//prmC//moaD//kbaZ//sodB//folA//appA//moaE//bcsZ//entE//bioC//acs//miaA//ybjG//metH//malP//sgbH//atoA//betB//mhpE//prpE//bcsZ//rbsD//uxaC//yfeW//tdh//kbl//nrfD//prpC//bioC//gabD//paaZ//nadC//argE//nrdB//umpH//purE//trpA//carA//avtA//cysC//speB//glpE//glgC//folE//nrfC//pdeF//moaD//lsrF//acnB//yeaE//yqjH//metF//aspC//mhpD//mhpA//hycG//manA//purE//guaA//glgX//agp//mhpD//citC//nrfC//preA//yfeW//ldtB//paaC//dusB//fucK//sdaA//ascB//glpX//purH//dmsC//tyrB//upp//fumB//nadC//pncB//patZ//melA//paaE//phnP//paaG//gcvH//glpB//dadX//uxaA//pta//hycE//glpK//napH//argB//paaB//nrdA//prs//hyaC//glcD//gltD//ynfH//uidA//gltB//rutA//kbl//citF//edd//sgbU//speB//mhpC//sdhD//speC//phnM//rutD//rnpB//nrdE//ahpF//nrfB//nadC//aldA//gltA//amn//ndh//yfdE//uxuA//deoC//malY//bioD//hycG//argI//lsrK//argH//mhpC//galE//fau//ahpC//tyrB//puuB//pyrC//citX//argB//prpD//entH//argA//ilvI//ldtB//sdhC//hycF//abgB//purD//dsdA//purE//bioA//tnaA//rutA//rbsK//katG//glpQ//fumB//tdcE//glgA//lysC//xdhB//cysI//lsrG//ada//glnA//gltB//
ChbR-Monoacetylchitobiose-6P	oxc//fadB//aceA//
CpxR-Phosphorylated	mpl//sucA//idnD//argG//caiD//srlD//nagA//argD//argA//pnp//uidA//cysH//rutC//malZ//chbF//nrfB//hmp//glcD//oxc//lsrF//phnO//fucI//
CreB-Phosphorylated	sodB//glpX//metC//
CueR-Ag	citD//nrfA//napG//xylB//
CueR-Cu+	mltC//puuE//napB//paaA//
CuerR-Au	ynfH//gabT//paaH//ilvG_2//
CusR-Pasp	lsrG//alaS//yfbR//
CynR-Cyanate	lacA//rbsK//phnN//
CysB-N-acetyl-L-serine	hycC//glcD//dmsA//pheT//sucA//trpC//yfdE//dadA//icd//bglB//tyrA//lysA//glgC//acnA//narI//atoB//
CysB-O-acetyl-L-serine	astC//hcp//galM//abgA//cysN//narI//glyA//carB//fbaA//prpC//yfdE//purF//pnp//ahpF//dapB//iscS//trpC//
DcuR-Phosphorylated	glgC//phnI//deoC//fes//
DnaA-ATP	nirB//gcvT//mhpE//nrfA//trpA//glpK//
DpiA-Pasp	phnH//pyrD//astE//ilvG_2//kbaZ//
DsdC-D-serine	xylB//fumA//
EvgA-Phosphorylated	tdh//entD//fabZ//mutL//purM//
