# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	psd//ulaF//sucC//iscS//
AlaS-L-alanine	malP//
AllS-allantoin	citD//yjeF//fbaA//
AraC-L-arabinose	argD//rutE//uvrA//paaG//metF//nadC//pgaB//
ArcA-Phosphorylated	allE//rhaA//purK//lyxK//puuA//frdB//eda//citX//argG//astD//argB//cysH//deoC//avtA//puuA//lysC//xapA//torC//rdoA//yfbR//ilvI//purE//nanM//cyoE//rutC//ackA//argE//abgA//aceE//deoD//murQ//fes//atoD//sucA//aspC//alkA//agp//talA//aceE//caiD//xdhC//dadX//glpD//aceE//hpt//yeaE//rutD//katE//trpD//metE//edd//citG//slt//trpD//abgB//gcvT//hycE//upp//ilvC//prpE//uxuA//prpC//garK//puuE//hypB//trpA//fadE//preA//malS//tdcE//tyrA//aspC//fbaA//ybjG//feaB//moeA//sdhB//xapA//moaE//argE//astE//nrfC//uxaC//murQ//narH//purF//cheB//araD//sucA//glcF//carA//gadB//astE//pncB//nrdD//nrfB//deoC//
ArgP-L-arginine	pheS//cysN//metE//cheR//ascB//lpxB//alkA//moaE//idnO//gpmA//sgbU//
ArgR-L-arginine	ung//ugpQ//garR//glgC//gatZ//udp//ahpF//edd//moaA//hemL//phnM//aroF//nanM//rutD//gntK//glgC//phnP//tdcB//ldtC//alaA//miaA//aroA//fumB//
AtoC-phosphorylated	tehB//ugpQ//sgbU//
BaeR-Phosphorylated	garK//zwf//
BirA-bio-5-AMP	deoA//cysG//sodB//frdD//miaA//
CRP-cAMP	gdhA//lacZ//ynfH//aspC//citD//appA//edd//uxuB//fucK//tsaE//cdd//napH//purB//tktB//lysC//ulaD//rutA//malS//aroA//glpB//pyrC//sdhA//nirB//phnM//ubiX//aceB//cysC//tdh//ilvE//entA//cysC//argD//citX//rutB//hpt//entA//xdhB//dmsB//ada//fadJ//dusB//tktB//prpB//rhaA//fadB//prs//katG//tnaA//gdhA//gcvP//cysK//cysN//cheR//allD//moaA//gabT//aroL//adhE//uxuA//glcE//frdB//gabT//dapB//ulaE//ilvM//phnO//pck//hycF//xylB//glcF//acnB//hypB//sucC//uidA//speC//glyA//ubiA//paaH//xdhB//puuC//puuC//fdhF//alkA//glgA//xdhA//alkA//glyA//dapD//glpD//ilvG_1//nirD//galE//allD//aroL//paaF//purH//bioA//glcE//gltA//treC//rnpB//xapA//lpxA//appA//nanE//uxaA//mhpB//glcB//caiD//pyrD//malZ//bcsB//xapA//purD//galK//astD//nrfD//serA//metK//dkgB//uxaA//gcvT//pagP//rhaB//alkA//pflB//astD//entF//dnaE//deoC//astB//bcsZ//cheB//hycG//chbF//dgcZ//cdd//entF//glpX//astC//tdcB//folA//appA//cdd//abgA//nanE//fucK//truB//prpC//purB//ilvM//frdA//lsrG//entB//feaB//puuA//purF//astB//argH//bcsB//bioC//gcd//gltD//edd//pck//yjeF//cdd//tdh//bioA//uidA//rutA//mhpD//malZ//trpA//ilvG_1//umpH//ilvM//pgpC//phnJ//hycC//atoA//tdcB//glcE//hyaB//alaA//treC//hpt//bcsB//cyaA//cheB//chbF//lhgO//astA//trpB//caiD//caiB//bioC//prpC//miaA//pgaC//argC//fucU//aceA//katG//thrS//phnJ//preT//pgk//nanM//tyrA//guaA//tdh//aceB//mtlD//lysC//ilvB//glgC//tyrA//trmD//hyaC//cdd//caiC//glpC//fucI//agp//fucI//trpB//dsdA//ppiA//atoB//argG//glyA//dgcZ//gatD//entC//metH//nrdF//astE//entD//malP//sdhC//argA//moeB//dkgB//paaE//galT//caiB//ybjG//dapD//lsrK//murQ//ahpC//cyoE//deoC//gatD//araA//bglB//trmD//epd//purF//hypB//paaE//bioD//ilvI//dapB//lysC//recF//lacZ//alaS//uvrA//tyrB//lacZ//hycG//bacA//ilvH//sgbE//fadI//ilvA//alkB//caiB//narI//pheS//ubiC//acnB//glgP//upp//gcvH//paaA//purF//guaA//
