#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b3853//b3540//b2497//b2197//
AlaS-L-alanine	b3328//
AllS-allantoin	b1492//b2964//b3456//
AraC-L-arabinose	b1852//b3904//b3615//b2492//b2703//b2838//b0782//b3911//b1732//b4354//b0198//b0202//b1131//b3243//
ArcA-Phosphorylated	b3418//b1547//b2406//b2063//b2201//b4124//b1609//b3528//b1129//b1748//b4035//b3260//b1521//b1810//b3723//b3859//b2758//b2804//b2722//b3451//b1546//b0774//b4033//b0584//b2903//b3076//b0314//b1211//b3096//b2673//b1109//b3574//b3167//b2152//b0365//b2759//b2290//b4441//b4070//b2925//b1131//b3222//b1387//b2608//b1022//b3942//b1589//b2476//b2631//b2368//b2492//b2276//b3728//b4203//b3603//b2560//b0998//b4197//b3758//b0945//b1260//b3414//b1886//b3213//b2663//b3265//b2095//b2163//b2705//b2731//b4376//b3415//b2500//b3934//b2206//b2415//b4096//b1222//b1260//b3277//b2719//b2482//b0397//b3748//b3118//yegZ//b2311//b2852//b0935//b3701//b0167//b2975//b2675//b0929//b1736//b1714//b0411//b2079//b4175//b4015//b2143//b2713//b1022//b4426//b4104//b1886//b3870//b2424//b0048//b3418//b3008//b1037//b2309//b2703//b2310//b0606//b2276//b2553//b3324//b3581//b3580//b3863//b2704//b0348//b2341//b3726//b3669//b0125//b4098//b1798//b0553//b1535//b2723//b1670//b1611//b2415//b2713//b4120//b2589//b4073//b2211//b2204//b2588//b3124//b1113//b2580//b0973//b0403//b4125//b2801//b3366//b1622//b3318//b0903//b1681//b1886//b1038//b1883//b2223//b3579//b2717//b2804//b2291//b3670//b4007//b4005//b2422//b0366//b2224//b4401//b1430//b3753//b0618//b0313//b0724//b3766//b3114//
ArgP-L-arginine	b4099//b2231//b2285//b0678//b4016//b3532//b4063//b2373//b1681//b1385//b3708//b2589//b0774//b4073//b3265//b3724//
ArgR-L-arginine	b0367//b3530//b2912//b2487//b2980//b4367//b0112//b1826//b3604//b0683//b0597//b2392//b1275//b3413//b4069//b4039//b0595//b0400//b2590//b4013//b1226//b1851//b0975//b1858//b0207//b3540//b1247//b0812//b4177//b4322//b3169//b0754//b2156//b3356//b0598//b3939//b2429//b2147//b0118//
AtoC-phosphorylated	b0198//b1518//b2803//b3450//
BaeR-Phosphorylated	b2716//b0862//b0778//b3432//b1322//b2486//b4014//b3314//
BirA-bio-5-AMP	b1615//b1130//b0153//b0463//b1718//
CRP-cAMP	b4393//b4239//b2296//b0204//b4131//b3969//b3207//b4034//b4123//b3774//b2838//b4019//b0202//b2416//b3317//b3225//b1224//b0431//b0106//b2715//b3575//b1498//b3123//b0383//b3509//b4439//b3313//b2754//b0826//b3610//b2706//b0338//b4002//b3926//b3326//b2406//b2148//b3667//b2707//b0724//b1743//b0080//b2990//b1745//b0677//b4237//b3207//b1594//b4129//b2552//b2804//b2223//b3576//b0061//b1797//b3611//b2203//b2608//b4393//b3424//b3709//b4035//b2365//b1735//b1492//b2715//b3851//b2288//b1988//b0312//b2588//b3469//b2597//b0606//b1264//b0343//b3748//b0450//b2492//b4399//b3666//b2288//b2866//b2660//b3582//b2092//b2507//b0778//b3093//b3479//yegZ//b0042//b2421//b4170//b2486//b0334//b2499//b1704//b1821//b2208//b2149//b4293//b2414//b0998//b4592//b4032//b3261//b3722//b1392//b2557//b2752//b1111//b0166//b1208//b3134//b1846//b0397//b3367//b3608//b3076//b0048//b1920//b1512//b1616//b2234//b2096//b0156//b4167//b3578//b2204//b2148//b0333//b0331//b3773//b3542//b2669//b0934//b0273//b3326//b3275//b1746//b1497//b3317//b4237//b2085//b3161//b4019//b0721//b1246//yegZ//efeU_2//b1323//b0377//b3424//b3773//b2243//b0873//b2370//b0440//b3452//b3611//b0388//b3403//b0039//b0205//b4024//b0042//b4169//b2344//b3960//b1859//b3223//b1857//b0199//b0777//b2937//b3726//b3669//b2715//b1857//b0775//b0115//b0584//b0937//b0726//b4174//b3451//b4118//b0207//b2728//b1260//b0296//b1407//b1388//b0451//b2489//b3667//b0203//b4197//b0378//b3403//b3430//b3057//b1988//b0597//b3312//b1888//b3319//b1681//b1780//b4242//b3725//b2903//b2366//b0036//b2106//b1780//b2241//b1535//phnE_2//b2236//b1189//b4254//b1670//b1608//b3329//b3806//b3277//b2707//b2676//b4324//b2711//b3728//b0887//b2206//b3070//b0617//b4401//b4264//b3403//b1658//b0615//b4035//b0722//b0620//b3752//b3432//b2552//b2731//b3036//b1681//b3672//b4406//b4322//b3134//b3565//b1043//b3568//b1338//b0721//b0841//b1024//b3368//b4310//b3227//b2724//b3864//b3116//b4152//b1388//b2750//b0378//b3453//b3571//b2802//b2723//b1680//b3957//b1493//b1275//b3907//b0777//b3925//b3781//b1889//b0935//b3571//b4073//b4264//b4416//b1244//b1904//b2528//b1421//b3366//b1275//b0207//b2660//b2212//b3939//b0583//b4393//b0998//b3829//b0048//b4030//b1892//b0347//b3579//b2485//b2198//b0335//b3457//b2147//b3868//b1902//b4175//b3481//b4317//b2197//b1591//b1540//b4074//b1337//b2719//b1669//b0820//b2277//b4288//b1594//b1275//b4197//b3926//b3773//b4073//b0676//b2079//b1546//b3237//b1746//b3581//b0353//b3911//b3543//b2742//b2241//yegZ//b3321//b0221//b1885//b2491//b2078//b0296//b4034//b1260//b3846//b1658//b1654//b3581//b3854//b1654//b2281//b2231//b4237//b0933//b3049//b2702//b4383//b0389//b2288//b2223//b1518//b2866//ilvG_1//b1851//b2584//b2207//b2715//b4264//b4384//b2423//b2866//b3616//b0574//b0592//b0020//b4076//b1654//b3957//b4450//b1379//b2364//b2485//b0907//b0976//b4032//b3908//b4698//b3565//b0619//b3314//b2068//b0331//b1656//b4323//b4014//b0111//b1734//b3237//b3851//b3531//b4233//b3431//b3049//b3451//b0584//b3968//b2597//b1252//b3428//b0400//b4105//b0564//b0037//b0566//b2211//b1594//b2528//b0979//b2424//b3961//b2732//b0348//b1798//b0451//b3927//b3941//b1781//b0333//b3942//b0516//b3709//b1922//b4168//b3461//b4202//b3332//b2196//b3223//b3037//b0161//b2557//b0366//b4233//b0812//b2535//b0995//b1517//b2287//b2498//b0118//b1715//b1299//b0180//b4013//b1389//b4124//b0585//b1500//b0589//b2800//b3511//b0605//b4393//b3863//b2718//b2095//b0862//b1617//b4071//b3508//b2371//b0515//b3356//b4034//b4177//b0353//b3437//b0754//b2428//b3424//b2503//b2751//b3912//b4699//b0240//b3616//b1821//b2242//b3701//b2559//b2673//b4310//b2429//b3414//b0337//b2840//b3670//b3605//b2727//b0623//b1672//b0516//b3366//b2996//b2723//b1301//b2666//b0588//b2236//b2764//b0388//b3701//ilvG_2//b1704//
ChbR-Monoacetylchitobiose-6P	b1476//b2146//b2369//b3359//b3432//b3864//
CpxR-Phosphorylated	b2754//b3481//b3242//b0205//b3670//b0588//b4174//b3132//b1493//b4167//b2723//b0432//b0886//b3774//b2498//b1817//b3357//b3161//b0044//b0403//b2805//b4123//b3530//b2726//b2075//b4030//b0553//b1850//b3576//b3565//b3460//b2422//b3038//b2711//b4196//b1747//b2201//b4076//b0152//b4099//b1182//b3938//b1511//b1622//b2075//b3725//b2554//b0199//b3669//b3477//b1012//b4102//b2997//b2911//b3669//b4124//b3668//b1780//b1379//b0819//b2706//b3404//b0199//b2529//b4030//b4000//b3008//b1680//b2499//
CreB-Phosphorylated	b2286//b3751//b2202//b0907//b2497//b3925//b3276//b2975//b0351//
CueR-Ag	b1513//b4203//b0777//b3455//b1015//b1323//b2711//
CueR-Cu+	b4392//b1475//b4451//b4438//b1546//b4009//b2406//
CuerR-Au	b3543//b2867//b1246//b1890//b4193//b3452//b2763//
CusR-Pasp	b1888//b0908//b2150//b2486//b2491//b3332//b4014//b1821//b1748//b4174//b0617//b0973//
CynR-Cyanate	b1385//b1528//b4381//b3425//
CysB-N-acetyl-L-serine	b0974//b1512//b1615//b3670//b2231//b4094//b4076//b0872//b1324//b0681//b1537//b2756//b0389//b0861//b3478//b2307//b4034//b4129//b1246//b2552//b0161//b0451//b2992//b3533//b1002//b2659//b2730//b1817//b3331//b2666//
CysB-O-acetyl-L-serine	b0553//b0996//b2723//b3365//b3615//b3531//b3408//b3364//b2149//b1892//b0342//b2990//b3025//b1062//b1883//b3532//b2762//b2421//b1513//b3165//b4431//b3575//b1337//b0959//b4120//b3225//b3926//b4169//b4450//b2726//b3437//
DcuR-Phosphorylated	b3615//b4098//b1429//phnE_2//b0313//b0296//b2234//b4698//b0805//
DnaA-ATP	b4320//b1324//b0976//b4034//b1738//b2799//b0197//b0565//b3925//b0484//b0460//b3126//
DpiA-Pasp	b2579//b4097//b3578//b0812//b1922//b3934//b1517//b1732//b2310//b4074//b4426//
DsdC-D-serine	b3709//b2092//b0593//
EvgA-Phosphorylated	b3574//b2614//b1735//b0565//b2279//b0724//b3530//b2286//b0190//b0333//b3037//b0019//b3070//b2571//b1243//
FNR-Fe_reduced	b2992//b1921//b4173//b4058//b1886//b0462//b2079//b2290//b2500//b3868//b1338//b1245//b0203//b3852//b1821//b1747//b3404//b3616//b0115//b0764//b3455//b2074//b4068//b2470//b1718//b2107//b1681//b2963//b3321//b1322//b4310//b2076//b0586//b1970//b2916//b0929//b0197//b1245//b2721//b4292//b1857//b1587//b0191//b1208//b0777//b3508//b3133//b3461//b1131//b1241//b4476//b1129//b1296//b0241//b2152//b4702//b3852//b2507//b4076//b3438//b2723//b3533//b0812//b2368//b2724//b4093//b1531//b3579//b0557//b2925//b2146//b3213//b0038//b0726//b2342//b3752//b2866//b2204//b2341//b3416//b0597//b2551//b3666//b4070//b1519//b0864//b1515//b2428//b0151//b0723//b1900//b2079//b4123//b3127//b0345//b3452//b1407//b2279//b1683//b0440//b3860//b0107//b1616//b4123//b0333//b0156//b3312//b1671//b0862//b3123//b0623//b0078//b4502//b3961//b0618//b4067//b0957//b0366//b2148//b3905//b3533//b0333//b3859//b2484//b2207//b4254//b3700//b0192//b1041//b2732//b2074//b1160//b2911//b2965//b4242//b0729//b1886//b0592//b4123//b3457//b1275//b4476//b0190//b3968//b3544//b4200//b2143//b4093//b0125//b4131//b2729//b2149//b0353//b1513//b3455//b2149//b1500//b3615//b0754//b1826//b4068//b4040//b4174//b0337//b0484//b0973//b0586//b4072//b3171//b0872//b0874//b4511//b3026//b0675//b3326//b3616//b0109//b0997//b2417//b2579//b0342//b3231//b0334//b4460//b4637//b0198//b3368//b0621//b1220//b3072//b4287//b0720//b2497//b3781//b4037//b1518//b4291//b0557//b0827//b0429//b0774//b3170//b0723//b4326//b2476//b2961//b0397//b2313//b0515//b2705//b0020//b1613//b2407//b1474//b1674//b1548//b0819//b3418//b3671//b0727//b0777//b1901//b1589//b1246//b1684//b0353//b0887//b4468//b1611//b3423//b3600//b2206//b1886//b0778//b1859//b2424//b0311//b4699//b2507//b2224//b3025//b0933//b3113//b4267//b1987//b1622//b2393//b2961//b3533//b2751//b0676//b3327//b1189//b2204//b3576//b0184//b3171//b2554//b3912//b2242//b2152//b1735//b2712//b2979//b2243//b0207//b2306//b0184//b2208//b4122//b1654//b3132//b1736//b4173//b4399//b2091//b2717//b4240//sroD//b4062//b0154//b4059//b2367//b2757//b4293//b0032//b0676//b1415//b3081//b3036//b2297//b4037//b2661//b4096//b3604//b3708//b2309//b1609//b3700//b0462//b2804//b2803//b1921//b2751//b4125//
FhlA-Formate	b1588//b4008//b1112//b1681//b3236//b3241//b3037//b0463//b0033//b2802//b1609//b3093//b2671//b1010//b1920//b3564//b3852//b2742//b3774//b3960//b0616//b1388//b0156//b3366//b2660//b1672//b3332//b0573//b0597//b0935//
FucR-L-fuculose-1-phosphate	b1475//b0107//b1518//b1211//b4152//b1261//b3609//
