#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b3242//b3766//b2147//b4401//
AlaS-L-alanine	b3221//
AllS-allantoin	b1713//b3124//b0032//
AraC-L-arabinose	b1225//b0063//b1826//b2706//b2529//b2992//b0336//b1212//b3036//b1736//b0353//b4288//b0602//b1736//
ArcA-Phosphorylated	b2535//b1905//b0346//b1102//b0819//b0078//b2991//b0441//b3958//b1127//b4201//b4095//b1519//b0118//b0296//b3222//b4670//b3564//b0178//b4201//b3725//b3574//b2212//b3583//b4451//b1528//b4200//b2484//b2584//b0678//b0676//b1247//b1519//b2279//b0928//b0388//b1252//b4506//b4506//b1516//b0820//b4160//b1904//b3241//b1263//b3611//b3610//b4426//b1608//b2373//b0979//b4125//b2671//b2224//b0759//b1041//b2421//b2430//b0337//b1747//b1654//b0931//b3600//b1500//b2503//b1743//b1160//b1513//b1223//b1129//b4075//b3580//b3207//b1246//b0996//b4076//b0205//b3766//b1430//b2482//b1921//b3530//b3569//b1681//b3278//b4004//b3326//b3672//b1263//b1392//b0936//b0349//b2730//b2590//b4037//b3806//b3392//b3721//b0168//b3533//b1744//b3276//b3700//b4006//b0622//b3941//b3959//b2926//b1654//b1782//b2802//b3331//b0107//b3161//b1209//b2286//b0618//b2213//b0595//b2755//b2591//b0572//b3603//b0996//b3438//b1131//b2464//b2706//b1546//b1738//b0349//b2196//b2076//b2904//b3395//b1324//b2600//b1226//b3072//b1673//b3688//b3530//b4355//b4170//b4383//b3328//b3366//b3403//b0061//b3727//b4100//b0115//b2096//b4033//b0032//b3456//b2197//b3934//b3611//b1245//b1617//b2992//b4669//b3005//b0727//b0613//b2430//b3409//b0020//b3035//b1902//b0109//b1736//b3758//b0841//b0522//b0273//
ArgP-L-arginine	b2150//b4169//b0197//b1296//b3394//b1321//b2742//b2718//b0617//b3460//b2802//b3168//b4194//b0125//b2215//b2529//
ArgR-L-arginine	b2942//b4035//b3275//b3278//b4100//b3049//b1888//b3906//b3114//b1684//b2601//b2866//b1594//b0180//b2290//b4319//b2489//b0240//b1262//b3057//b1683//b3908//b0724//b3313//b3859//b4097//b1819//b3404//b3455//b2240//b3418//b0886//b3723//b1501//b3870//b3438//b1127//b0152//b1609//
AtoC-phosphorylated	b3458//b0114//b3454//b2341//
BaeR-Phosphorylated	b3117//b0241//b2580//b2075//b2669//b3773//b2063//b0681//
BirA-bio-5-AMP	b3605//b2284//b3599//b0763//b3773//
CRP-cAMP	b3072//b3416//b0616//b3518//b4013//b4400//b2758//b1272//b1859//b1244//b1102//b3700//b2500//b1547//b3161//b1016//b3530//b0974//b1212//b3672//b3332//b3326//b1704//b2215//b2716//b0903//b0783//b0728//b1890//b3723//b2464//b1395//b0020//b0605//b3669//b0759//b3431//b2276//b2143//b1127//b2996//b1593//b0112//b0975//b1227//b2570//b1748//b2211//b2414//b3617//b1336//b1398//b4172//b3509//b1209//b0198//b3615//b3615//b0621//b2094//b2730//b0677//b3688//b4322//b3671//b4663//b1211//b4637//b3404//b4209//b0199//b3225//b3724//b2153//b0615//b0432//b4124//b0593//b3113//b4314//b1337//b0841//b3324//b2429//b3601//b1672//b0764//b0614//b3457//b0880//b2484//b1397//b3806//b1973//b0429//b0342//b1548//b1518//b4006//b2703//b4195//b4450//b2764//b2202//b4076//b2392//b0203//b1322//b3093//b1243//b2156//b0296//b2277//b0682//b3611//b1683//b1594//b1246//b0348//b1988//b3405//b3721//b2732//b0874//b4154//b4317//b0110//b0978//b4193//b0399//b4267//b1819//b0784//b2163//b0763//b2572//b3036//b4067//b4102//b3333//b3243//b3394//b1322//b4265//b4450//b0755//b3437//b0623//b1713//b2234//b3611//sroD//b4006//b0684//b4177//b1517//b0204//b2551//b1530//b1323//b3313//b3081//b1547//b0043//b3320//b0590//b3166//b0682//b2221//b2306//b0936//b1655//b0043//b0351//b3330//b3166//b2725//b4160//b1904//b2712//b0894//sroD//b3960//b3037//b1670//b1227//b2415//b4195//b0756//b1002//b2498//b3939//b4095//b3518//b4254//b1221//b4292//b2840//b4099//b1669//b0335//b0179//b0184//b3134//b1300//b0153//b1042//b3543//b2234//b1379//b0388//b0980//b1748//b2106//b3481//b3118//b3278//b3227//b1851//b3721//b0311//b3870//b4118//b3908//b1492//b0681//b0347//b0622//b1516//b1261//b3855//b3230//b3425//b2215//b0934//b4036//b2296//b1037//b4033//b3753//b0774//b4173//b1922//b1859//b3410//b4002//b4318//b1672//b0314//b3759//b1620//b2572//b3359//b3934//b1857//b2311//b3477//b1621//b4431//b1322//b2416//b3311//b3753//b2669//b3518//b0754//b3771//b3413//b1127//b1547//b3509//b1384//b2194//b2234//b4268//b1681//b0785//b3957//b4382//b4099//b3093//b0586//b2240//b1395//b2590//b0778//b0937//b1616//b3580//b1885//b2697//b0812//b3569//b3403//b1384//b4506//b3970//b4132//b4037//b0156//b1398//b4002//b1024//b4096//b4323//b0441//b4097//b1265//b3759//b0036//b2484//b3169//b2239//b4122//b2750//b2236//b0616//b3600//b4506//b3368//b2961//b3321//b2559//b3855//b0763//b2235//b4240//b0064//b1379//b4071//b2673//b4237//b2572//b4119//b0998//b1744//b3958//b1535//b2937//b3961//b2867//b3225//b1798//b4059//b4019//b2722//b0727//b1512//b3970//b1007//b4417//b2153//b1393//b4238//b2277//b3863//yegZ//b0080//b0959//b3509//b4393//b1684//b3668//b0182//b1852//b2741//b3722//b1209//b3413//b0390//b4292//b2371//b1244//b2673//b2465//b2962//b3521//b3724//sroD//b1609//b1020//b1389//b4401//b0585//b1256//b2718//b1493//b2163//b1887//b1713//b0515//b3672//b1182//b2235//b0574//b1024//b3457//b0889//b3222//b4398//b0020//b4699//b3403//b3958//b0107//b2601//b4200//b1743//b3938//b3070//b1493//b3172//b0429//b0623//b4072//b2428//b2800//b3669//b1252//b2308//b1002//b4702//b1713//b3266//b0108//b4008//b4416//b4187//b2927//b1221//b1882//b3854//b0974//b4035//b2092//b4015//b3357//b4095//b1704//b1900//b1609//b4015//b3926//b1024//b1224//b1715//b2428//b3093//b2469//b2673//b3831//b2286//b3449//b4160//b3855//b1430//b2535//b4393//b2208//b2757//b1548//b3425//b1300//b2614//b0181//b2146//b2372//b2223//b3603//b3077//b3260//b2092//b0980//b2763//b2804//b2723//b2725//b2277//b2551//b3773//b3702//b4120//b2911//b3113//b1275//b0903//b2075//b0675//b1497//b4195//b0330//b1615//b0557//b2722//b1713//b3469//b4076//b0783//b4187//b2239//b3806//b1299//b3667//b2991//b0197//b1042//b4320//b0347//b0933//b3926//b2063//b2470//b2583//b0118//b0383//b1589//b2204//b0566//b1706//b1260//b1779//b4009//b1008//b1212//b3688//
ChbR-Monoacetylchitobiose-6P	b0347//b2724//b1246//b3393//b1737//b0191//
CpxR-Phosphorylated	b1042//b3939//b1396//b4355//b1429//b2977//b1810//b0338//b0063//phnE_2//b2393//b3902//b0598//b4315//b3568//b2709//b1384//b4005//b1385//b4058//b1594//b0462//b0895//b2597//b2730//b3394//b1714//b3409//b0450//b3328//b3072//ilvG_2//b2715//b0125//b3113//b4669//b4599//b1612//b1384//b2486//b2476//b1743//b4288//b2996//b2661//b3942//b4266//b1040//b0063//b3117//b3864//b2369//b4097//b0841//b4382//b4194//b0344//b4159//b2660//b1208//b4115//b4070//b3751//b4133//b3025//b4171//b2704//b0273//b4018//
CreB-Phosphorylated	b4170//b3222//b1010//b3707//b2724//b1136//b3907//b3364//b1805//
CueR-Ag	b4002//b0033//b0974//b4153//b0062//b2553//b4213//
CueR-Cu+	b1493//b3441//b0389//b4381//b1818//b3772//b1335//
CuerR-Au	b0044//b1039//b1391//b1297//b1779//b4125//b2573//
CusR-Pasp	b1590//b1393//b4242//b3438//b2341//b1882//b3242//b2927//b0241//b3774//b0347//b3571//
CynR-Cyanate	b0178//b3907//b3702//b4075//
CysB-N-acetyl-L-serine	b0591//b4009//b3241//b0814//b2976//b0684//b2979//b0679//b1256//b1261//b3600//b0765//b3408//b0903//b1396//b1658//b3610//b0874//b2151//b3828//b4291//b4171//b0606//b2600//b1744//b1012//b4326//b1732//b2242//b2208//
CysB-O-acetyl-L-serine	b3261//b2308//b2212//b4014//b3726//b3261//b2498//b1385//b2965//b1901//b3605//b1904//b3168//b3688//b1781//b0775//b3532//b2554//b0044//b2912//b0341//b4233//b2671//b2724//b3077//b2961//b4401//b0461//b1904//b4076//b4172//
DcuR-Phosphorylated	b1276//b1160//b3125//b1389//b0390//b3408//b0677//b0180//b3572//
DnaA-ATP	b2286//b2990//b1521//b0311//b1039//b2211//b3577//b4139//b1805//b1779//b0820//b2075//
DpiA-Pasp	b2197//b0764//b0038//b2763//b1244//b4702//b1129//b3828//b2926//b3567//b2551//
DsdC-D-serine	b1656//b4063//ilvG_2//
EvgA-Phosphorylated	b3167//b1892//b3454//b0873//b4451//b2758//b1719//b3403//b3726//b4323//b0908//b2375//b0484//b3970//b3171//
FNR-Fe_reduced	b2762//b0782//b0350//b2729//b2554//b3213//b0197//b0595//b3668//b3469//b2430//b1681//b2702//b1987//b2750//b2368//b0880//b0755//b4123//b4097//b1396//b2818//b3405//b3454//b3057//b3452//b3457//b1020//b1009//b0606//b4067//b3164//b2759//b0978//b0980//b0764//b2717//b1015//b4194//b1498//b3311//b1817//b3356//b4431//b4511//b0338//b1397//b3432//b3126//b0463//b3479//b2371//b1212//b2393//b3766//b2803//b0330//b0346//b4318//b1276//b3313//b3117//b4355//b3581//b1885//b1907//b1384//b2957//b0348//b2509//b3417//b3905//b3960//b1016//b0758//b0311//b2818//b0399//b1395//b3072//b3670//b3221//b3266//b2368//b0484//b2552//b4291//b4326//b0430//b1780//b3428//b2609//b0207//b2943//b1379//b0976//b2287//b4431//b4175//b1889//b4005//b2079//b1658//b2367//b2276//b1656//b0343//b4290//b4174//b0974//b2584//b3165//b0399//b2608//b2492//b0112//b0154//b0591//b4266//b3806//b1547//b1130//b1392//b1207//b2979//b1243//b3429//b3971//b1336//b1131//b4010//b3331//b3574//b2148//b3095//b3449//b0573//b3610//b2500//b1010//b2866//b1111//b3541//b2725//b0020//b0181//b3968//b2758//b0150//b0931//b2503//b3969//b1244//b4016//b0399//b0979//b3908//b0602//b2697//b2852//b4194//b2236//b3577//b2742//b1654//b0039//b1591//b4468//b1679//b4287//b3449//b4324//b0591//b3616//b1904//b3409//b1857//b1394//b1891//b3072//b0039//b3669//b3863//b1109//b0043//b2147//b4406//b4319//b0241//b4203//b2852//b2085//b0182//b2374//b2590//b1669//b4289//b1102//b0574//b4006//b1016//b0970//b2096//b1904//b1002//b2221//b1474//b2279//b2660//b2078//b3356//b2666//b3451//b2674//b2492//b0109//b2241//b3701//b2938//b1497//b4007//b3759//b2151//b3750//b1415//b0460//b1617//b2617//b4187//b2728//b2572//b4698//b1223//b1036//b3906//b2288//b2484//b2676//b4699//b0202//b0182//b0339//b2147//b2276//b3231//b2662//b2297//b2758//b1859//b4399//b3091//b0734//b0889//b3942//b3456//b2241//b0062//b4030//b0111//b0557//b4196//b1987//b3829//b2207//b3907//b1247//b3025//b0429//b0338//b3457//b3773//b0311//b1681//b1920//b0553//b3426//b3670//b1102//b0400//b3451//b1225//b2208//b2709//b3476//b0929//b3828//b3588//b3726//b1039//b2406//b0841//b2758//b2288//b4122//b2194//b2997//b0617//b4290//b4101//b1902//b2728//b0429//b3227//b3169//b3091//
FhlA-Formate	b2752//b1902//b1826//b2802//b3224//b3750//b3403//b3845//b0450//b1746//b3450//b2838//b0124//b1109//b3668//b3335//b3599//b0566//b3170//b2726//b0606//b2760//b1846//b1334//b2198//b0929//b4033//b0040//b1272//b3759//
FucR-L-fuculose-1-phosphate	b1043//b4106//b1590//b3321//b0819//b3580//b2197//
