# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	gatD//alkB//idnK//fadD//
AlaS-L-alanine	tehB//
AllS-allantoin	gpsA//dmsB//malY//
AraC-L-arabinose	gatZ//hpt//napC//phnI//bacA//uvrA//appA//
ArcA-Phosphorylated	puuA//lysA//ynfH//fadH//frdA//lpxA//betB//glpD//ilvI//citG//icd//ilvA//chbG//fadE//hyaB//sucA//ascB//nirD//mdh//rbsD//aceA//adhE//ubiX//pdeF//chbF//astA//glcF//argE//cynT//astC//purM//rutD//trpD//phnM//moeB//glgC//metL//nrdA//rutC//nrdA//ansB//pta//paaZ//malY//entB//garL//ubiC//zwf//deoB//metH//cynT//appA//fadA//guaA//lpd//hemL//dmsC//cueO//nrfD//sdaA//phnO//nrfB//amn//glgC//yiaK//hyaB//sodB//katG//aroG//nadC//moaD//gltD//araA//treC//dgcZ//manA//gutQ//phnN//fumA//allD//citX//dapD//entF//cadA//argF//paaG//acnB//hypB//pck//galE//argB//trpD//folA//tauD//rutA//alkB//fbaA//
ArgP-L-arginine	lyxK//gdhA//cysJ//tnaA//sdhB//sufS//cysH//nagA//lacA//gnd//deoB//
ArgR-L-arginine	phnH//torC//paaG//tnaA//atoA//deoB//gabD//cysJ//glpE//guaA//trpB//lacA//lpxD//thrS//purB//sgbH//frdB//umpH//bioF//zwf//citC//aroG//gabD//
AtoC-phosphorylated	ulaE//pyrC//glnA//
BaeR-Phosphorylated	ybjG//glpQ//
BirA-bio-5-AMP	argE//prpD//glpD//sdhC//icd//
CRP-cAMP	dmsB//paaA//hycF//tktB//citC//deoD//ackA//glgC//ampD//rdoA//puuD//fadI//argA//feaB//torC//aceE//hypB//tam//hycC//nagA//codA//uxaA//tauD//ahpC//astD//fadA//tdcD//bglB//nagA//lldD//entA//lysU//deoA//hflX//idnD//lysU//fumB//xapA//malP//gatY//nrfC//paaE//lsrF//gdhA//abgB//aroG//mpl//nagA//puuC//pgaD//cheB//paaE//cysH//metA//astC//serA//kbaZ//uxaA//ansB//paaI//metC//mpl//alkA//glgB//ynfF//sgbU//astD//xylB//purC//argC//malZ//paaA//gatD//hyaB//ldtB//serC//codA//fadA//paaA//moaD//gpmA//bioA//tdcE//ispE//trmD//polA//aldB//ynfG//cadA//glpD//paaF//hemL//rbsK//rhaB//phnN//garR//rhaD//tdcG//malS//phnH//frc//ubiX//ybjG//ynfH//bcsA//mhpD//ilvG_2//allE//sdhB//lpxB//malS//ubiC//ppiA//alaA//tadA//fadB//betB//mpl//malP//nanE//uxaB//napC//preA//fdhF//aceA//srlD//prs//nrdE//hycC//abgA//sodB//entC//mpl//lpxB//ulaD//ybjG//paaC//astC//ascB//adhE//lpxD//adhE//moeB//napB//katG//argE//aroL//zwf//chbG//metC//nanK//polA//galE//speA//lacA//mutY//nrfA//entA//gltA//moaE//fucU//ansB//ilvE//paaJ//glpE//entC//cysH//metF//entB//entB//idnK//talA//gabT//hypF//tdcE//pck//polA//purL//xylA//entD//ilvN//glpB//ynfH//cdd//uxuB//melA//ilvM//ackA//iscS//aspA//prs//uidA//entE//lsrK//ahpC//rhaD//rhaA//ahpF//ilvD//amn//entE//fbaA//ldtC//ilvC//abgB//ogt//ilvA//pnp//ynfG//feaB//nirD//fucI//dadA//atoD//phnM//sgbE//xdhB//xdhB//ilvA//astE//melA//aceF//rutE//katG//fes//argD//lpd//deoA//eda//purD//bcsZ//galK//phnN//argE//bglB//glgA//metL//puuC//preA//ubiA//talA//lpxD//rhaD//caiC//hcp//torC//nrdD//gnd//entB//folA//pdeF//bglB//bcsA//ftnA//rutD//paaB//hpt//rnpB//purL//ispE//glpK//mtlD//narG//tehB//polA//uvrA//ilvB//glpC//glcD//trpC//phnH//caiC//atoB//phoA//fes//ilvI//guaA//hcp//puuB//phoA//abgA//cheB//phnP//garK//purD//fau//trpA//dusB//aroA//araA//
ChbR-Monoacetylchitobiose-6P	sgbU//hyaB//cpdB//
CpxR-Phosphorylated	xdhC//cysI//uxaB//torA//gpmA//fau//lpxD//moaD//cysN//lsrF//uxaA//caiC//nrdD//sdhA//hyaA//fes//pagP//purB//iscS//sdaA//dnaE//fumA//
CreB-Phosphorylated	hypF//gntK//cheB//
CueR-Ag	guaB//kbaZ//dgcZ//ampD//
CueR-Cu+	aroG//malP//carA//aceF//
CuerR-Au	bglB//kbl//allE//uidA//
CusR-Pasp	hflX//sucB//adhE//
CynR-Cyanate	acnA//entC//pflB//
CysB-N-acetyl-L-serine	glcF//pgaB//metB//hemA//pck//uxuB//glnA//mpl//gabD//aroA//lsrG//xylA//pdeF//katG//moaD//ilvM//
CysB-O-acetyl-L-serine	mtlD//xylB//tauD//garK//folA//hemA//fadH//hemL//astA//tdcG//phnP//glgC//lyxK//kbaZ//pagP//umpH//lpxB//
DcuR-Phosphorylated	rutE//pyrC//galT//xdhA//
DnaA-ATP	glpK//alkB//prs//trpB//betA//pgaD//
DpiA-Pasp	narH//hemL//yiaK//folA//fes//
DsdC-D-serine	dadA//purA//
EvgA-Phosphorylated	glpB//moeB//polA//rhaA//phnL//
FNR-Fe_reduced	yfeW//katG//ssuD//nrdF//araA//dusB//folA//yfeW//pncB//ulaF//cysH//purH//nanA//mutY//ascB//fadB//puuE//frdA//pheS//pgaD//deoA//abgA//serC//nrfB//glpA//phnJ//ubiA//argD//narH//cysD//deoB//entH//astD//dmsB//uxaB//astA//metA//glpX//phnG//ldtB//fadB//nadC//frdA//ilvG_1//gcvT//guaA//sucA//tktB//ubiX//idnK//deoC//glpA//tdcD//argA//rbsK//cysG//uvrA//phnI//fucA//glgA//lysC//gadB//ahpC//aroG//guaB//argE//atoD//aceB//moaD//cysK//hyaC//bioF//cheB//fadD//ynfH//abgB//purE//glpD//aceB//ulaE//glgB//argB//speB//feaB//idnD//bcsB//yqjH//bioD//glyA//gabT//frdA//nirD//gntK//fdhF//torC//ynfE//malQ//sdaA//glpX//gdhA//deoB//kbaZ//hemA//nrfA//guaB//argD//ndh//bioD//argE//ilvG_1//caiA//xdhA//fbaA//tam//phnG//patZ//fumA//xdhB//xylB//lhgO//adhE//ilvH//nanM//paaE//tdcG//ubiC//caiC//
FhlA-Formate	ulaD//prmC//tdh//ynfH//hypB//ldtB//paaA//
FucR-L-fuculose-1-phosphate	abgB//glpQ//nrfD//sdhA//hyaB//yfbR//
Fur-Fe2+	chbG//atoB//amn//xdhA//sdhB//dgcZ//metK//paaC//napH//nrfD//rnpB//tdcE//avtA//deoD//trpE//lpxD//cyoE//pyrD//citE//hypF//mhpE//napB//purM//nanA//gnd//phnP//ahpF//mltC//fes//cueO//fes//speB//iscS//zwf//ldtC//araB//galM//aroL//gcvP//pagP//metL//rhaA//ada//purE//gcvT//allD//glgC//glpA//paaG//fau//nanK//metK//idnD//pta//gltA//glgP//entB//paaG//uxaB//yeaE//pgaC//ilvG_2//napB//ilvE//paaC//phnN//cysN//astA//zwf//
Fur-Mn2+	bcsB//ilvE//eda//narH//ada//cyaA//napB//nagA//ada//nagA//tauD//bioC//allD//folE//xdhC//malQ//hflX//speA//pgaC//nanM//phnJ//acnB//uxuA//glpQ//fucI//cysD//phnO//caiB//nrdB//moeB//frdA//idnD//ilvA//hemA//torC//citX//galK//moeA//gnd//trpD//hycF//cynT//fau//hyaB//caiD//moaD//ackA//treC//moeB//ulaD//dkgB//rutB//ilvB//fucI//metH//glgC//yeaE//sufS//gcvT//sgbE//metF//ilvM//mhpE//xylB//cysN//nrdE//deoC//caiA//rbsD//
GlcC-Acetate	deoB//ilvG_1//gapA//
GlcC-Glycolate	lyxK//sucB//paaK//
GlrR-Pasp56	
IclR-pyruvate	sucC//galK//nanA//
IdnR-5-ketogluconate	alkA//hflX//argF//ldtC//lpxB//agp//
IdnR-Idonate	argG//aroH//sgbH//speB//sdhA//alaA//
IlvY-2-acetolactate	gltB//
IlvY-Alfa-acetohydroxybutirate	pdeF//
IscR-2Fe	chbF//kbaZ//sgbH//trmD//prpB//prmC//uxaC//
LldR-L-lactate	entF//hycB//
Lrp-Leucine	ilvI//glpX//lsrK//nrfD//cueO//deoB//nrdD//nirD//codA//gatZ//acnA//nrdD//tdcD//aroA//speC//sgbH//dadA//dkgB//argC//nagA//ynfH//ilvG_1//glpD//codA//xylA//eda//argA//pgaC//bioA//nanK//tauD//rhaA//manA//citF//lsrK//sgbH//acnB//ubiA//frdC//
LsrR	moaA//entH//garK//hflX//glgA//
MalT-ADP-Maltotriose	yfbR//pgk//lysC//mdh//lpxB//kbl//
MalT-Maltotriose-ATP	folE//dsdA//yfbR//cysD//ung//nrfB//
MelR-Melibiose	tnaA//fadJ//
MetJ-S-adenosylmethionine	fadH//galT//allC//fucU//malZ//serA//rutB//argI//uvrA//araD//
MetR-L-homocysteine	trpC//mhpA//glpC//gltD//
MhpR-3-DHPP	trmD//epd//gabD//fucA//hemL//ubiG//
MhpR-3HPP	nrdD//kbl//pgpC//puuE//ispE//tnaA//
MntR-Cd2+	metK//ynfE//
ModE-MoO42-	ahpF//paaH//xdhA//rbsK//nrdB//purB//xylB//ispE//entB//ilvA//paaF//eda//argH//ispE//
NarL-Phosphorylated	caiD//nrdE//sodA//sgbU//moaE//agp//argE//murQ//entF//hyaC//feaB//astC//gabT//dadA//astB//xylB//glcD//glpK//alaS//deoA//oxc//citX//trmD//bioB//dusB//bcsA//hycC//deoB//mdh//tnaA//aroL//prpE//cdd//argA//cyoE//murQ//nrdB//lacA//
NarP-Phosphorylated	astA//nanM//astE//prpC//ackA//xylB//ynfF//aroH//fucU//glpC//nrfC//
NhaR-Na+	glgA//malQ//nanA//ynfE//narI//
NikR-Cd2+	xapA//
NikR-Co2+	glcF//
NikR-Cu2+	nirB//
NikR-Ni2+	phnJ//
NikR-Zn2+	polA//
NrdR-ATP	xapA//nanK//betB//serC//
NrdR-Zn2+	carB//pyrD//ada//mdh//
NrdR-dATP	rutA//glpA//sodA//miaA//
NsrR-2Fe	aspA//fdhF//sdhB//pheS//dmsA//hycG//tktB//entD//lhgO//rbsD//trpE//ynfF//astA//sucC//hyaC//sdhD//cueO//ldtB//yiaK//fadJ//napA//tdcB//frdD//nanE//metK//preA//prs//frdB//fucU//entE//
PhoB-Phosphorylated	phnM//rbsD//phnH//cysH//yeaE//cdd//fdhF//astE//gcd//hpt//fes//malP//gapA//fbaA//preT//nrdD//yeaE//narG//adhE//rnpB//
PhoP-Phosphorylated	glgX//deoA//phnL//hypB//bglB//cysD//frc//argI//glpC//cysM//pgaB//bacA//atoA//appA//hpt//phnH//speA//entE//pdeF//astB//bglB//mhpB//narG//argE//nanE//puuE//pgaC//uidA//ubiX//glgX//rutB//purN//astB//fadD//rhaB//
PrpR-2-methylcitrate	paaG//aldB//paaF//cyaA//
PurR-Guanine	paaK//trpE//cheB//trmD//entB//preA//xdhA//rutD//rhaA//cheB//mhpF//hemA//aroA//hycF//aldB//fadH//galE//psd//amn//citC//ubiC//gatZ//ahpF//paaF//hyaC//moaA//sucC//
PurR-Hypoxanthine	lhgO//hycG//cynT//prpE//paaH//fucO//purD//upp//feaB//aroH//truB//citC//glpX//lacA//mhpD//idnO//ubiX//paaE//yfdE//ldtC//speB//frdB//fucU//xylA//lysU//astA//yeaE//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	lpxA//mutY//gutQ//malP//
RstA-Phosphorylated	lhgO//glpD//uxuA//
SoxR-2Fe_oxydized	metF//ssuE//
TorR-Phosphorylated	pck//malS//ansB//
TrpR-Tryptophan	bacA//tsaE//astB//phnI//speC//mdh//napB//ynfF//fucA//
TyrR-L-tryptophan	icd//hyaA//cysI//pheT//dadA//frdC//ulaD//dapB//ahpF//
TyrR-Phenylalanine	glgA//narG//paaA//truB//bglB//paaG//nrdF//hypB//narG//
TyrR-Tyrosine	purE//fucO//icd//entE//nrfB//fucU//mhpC//phoA//galM//
UhpA-Phosphorylated	hcp//
XapR-xanthosine	aldA//gcvH//
XylR-Xylose	xdhC//malS//nagB//
ZntR-Cd2+	folE//
ZntR-Hg	fadB//
ZntR-Zn2+	dgcZ//
ZraR-Phosphorylated	
Zur-Zn2+	moaA//
