#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b1499//b4318//b2215//b2092//
AlaS-L-alanine	b0168//
AllS-allantoin	b2221//b0785//b1658//
AraC-L-arabinose	b0367//b4171//b2297//b0377//b3093//b0331//b4014//b1430//b2662//b3728//b0995//b1500//b1587//b1970//
ArcA-Phosphorylated	b2852//b0431//b3081//b2554//b3846//b1970//b2308//b4194//b3408//b2965//b4054//b1656//b0221//b3781//b4004//b2754//b2416//b1608//b3167//b2601//b0167//b0908//b3225//b2727//b2074//b3277//b3115//b0108//b4106//b2669//b1497//b1207//b4198//b3425//b3096//b0571//b2799//b2588//b0432//b2617//b2415//b0590//b2716//b1797//b2617//b3860//b0156//b2429//b1519//b2306//b0784//b4637//b0181//b0623//b3424//b1379//b1429//b4313//b1852//b2674//b0785//b1920//b0679//b3114//b2085//b3236//b1682//b2092//b2559//b1671//b2925//b4383//b2507//b2106//b1246//b4209//b4213//b3907//b2583//b1922//b2671//b0366//b1597//b2904//b2153//b2417//b3702//b4202//b4292//b1262//b0078//b3668//b2995//b3478//b2995//b1782//b2676//b2903//b4104//b0585//b3510//b0430//b4393//b1884//b3671//b2234//b1715//b2938//b3114//b2095//b3272//b3135//b1009//b2029//b0977//b0368//b0111//b3477//b3758//b1717//b4004//b2306//b3854//b3365//b0722//b4317//b4063//b4326//b4040//b2584//b0351//b0904//b0570//b1407//b0979//b0903//b2096//b1136//b3511//b0814//b0907//b4702//b3168//b0574//b3092//b4663//b2342//b1921//b4007//b4004//b0125//b2414//b0515//b3702//b1038//b0241//b3532//b4309//b4309//b0366//b1881//b3688//b4400//b0996//b2283//b2092//b3049//b2600//b4381//b1514//b3481//b0207//b1528//b0343//b2483//b0044//b0240//
ArgP-L-arginine	b4152//b3709//b2715//b1589//b1617//b3213//b2553//b3455//b0180//b1617//b0775//b4118//b3394//b4016//b0383//b4241//
ArgR-L-arginine	b0614//b0805//b2150//b2503//b3038//b1921//b0596//b2560//b1622//b2741//b2106//b1519//b1037//b4003//b4441//b3970//b3942//b2708//b0860//b0970//b2489//b4068//b4195//b1920//b0347//b1429//b4063//b1814//b2074//b4003//b3117//b1336//b4101//b3225//b2306//b1732//b2155//b2707//b2085//
AtoC-phosphorylated	b3578//b0683//b4670//b3671//
BaeR-Phosphorylated	b2341//b4451//b0977//b3356//b1743//b0516//b3851//b4037//
BirA-bio-5-AMP	b3667//b1474//b1324//b1735//b3430//
CRP-cAMP	b3116//b1519//b2553//b2607//b3726//b4139//b3772//b0190//b0333//b4438//b2341//b0311//b2724//b0044//b3430//b2732//b3237//b3574//b2531//b0342//b4322//b0168//b3134//b3423//b3125//b1335//b0778//b2867//b3461//b2660//b1209//b2497//b3608//b0061//b2221//b0346//b0819//b2528//b3828//b2706//b3773//b2531//b0429//b1299//b1608//ilvG_1//b3701//b1528//b0178//b1590//b3171//b3902//b3437//b3025//b0907//b2927//b1298//b2601//b2997//b2312//b2222//b4240//b3125//b2291//b3404//b2509//b1211//b1385//b2487//b4079//b1881//b4355//b2143//b4237//b3904//b3752//b0334//b0586//b4367//b2371//b1015//b1227//b0152//b1654//b4003//b2291//b2731//b1921//b3968//b3230//b0044//b1189//b0031//b3569//b1716//b2554//b1300//b4124//b2927//b3461//b2597//b2279//b3116//b0959//b0903//b3368//b2723//b1296//b3450//b1012//b4321//b0679//b1548//b0221//b4010//b2722//b4002//b0759//b1891//b4171//b3701//b1205//b0399//b4005//b0111//b4132//b0040//b4173//b2630//b0776//b3960//b4202//b1882//b4018//b2194//b3266//b1537//b2528//b1390//b0398//b2429//b2742//b0728//b1189//b4319//b2754//b2554//b0589//b3313//b3367//b3116//b1713//b0064//b2415//b3366//b1020//b3363//b4098//b2491//b0344//b2942//b2990//b0874//b0125//b3757//b0602//b3168//b0064//b3911//b3127//b3941//b2204//b2904//b2957//b1889//b4172//b2997//b1531//b3564//b0613//b3317//b1211//b0522//b0349//b1226//b0462//b2669//b2732//b3957//b4237//b3315//b1221//b4062//b2608//b1337//b4397//b4471//b0908//b4151//b4009//b3417//b1798//b0874//b0063//b1511//b2601//b3769//b1611//b0782//b3480//b3903//b2600//b1113//b3423//b2573//b2571//b0980//b3756//b3830//b3581//b3035//b3133//b2424//b0677//b0574//b0721//b3604//b2483//b1904//b1265//b3942//b2838//b0450//b2926//b0683//b2757//b3441//b4460//b0331//b1738//b4033//b2731//b0571//b2937//b1746//b1885//b2307//b2961//b0726//b2755//b3854//b0571//b1901//b2741//b2838//b1429//b2937//b0335//b0156//b2508//b2074//b2422//b0331//b4074//b1900//b2077//b3568//b3906//b2223//b3225//b0107//b2224//b4010//b1136//b3331//b2499//b2092//b4309//b4467//b2203//b2818//b4317//b0048//b1717//b3616//b4239//b4006//b1858//b3072//b2976//b2759//b2198//b0841//b1655//b2905//b2676//b0403//b4376//b2715//b1902//b0400//b4439//b4383//b3521//b0931//b1212//b1296//b2913//b0179//b3580//b1851//b3072//b1112//b3275//b3006//b0959//b2838//b0722//b1680//b4393//b3417//b0113//b2756//b0583//b2904//b3320//b0273//b4101//b2297//b2925//b2423//b2029//b1846//b2580//b3127//b1210//b3038//b3544//b0572//b1737//b0428//b0995//b0221//b0041//b3969//b1858//b3335//b3608//b1515//b2284//b1684//b0038//b0724//b1322//b3578//ilvG_1//b2927//b3231//b2759//b3781//b4264//b3328//b1518//b2991//b1024//b1136//b3409//efeU_2//b2732//b2800//b1656//b4075//b3957//b3113//b0296//b0764//b4450//b0116//b1734//b0177//b2094//b3333//b1532//b4265//b3316//b3038//b4242//b3565//b2068//b2758//b0889//b4471//b0729//b3405//b4010//b2926//b4003//b1904//b1011//b2993//b0110//b2491//b3314//b2425//b2573//b1379//b3325//b0107//b4451//b0389//b4030//b3925//b1890//b1884//b2287//b3418//b4007//b4431//b1398//b4242//b4173//b1548//b3334//b2367//b2804//b4062//b4196//b1338//b1654//b2373//b2728//b1746//b2726//b4460//b2470//b0441//b4198//b0763//b3165//b0676//b2393//b1129//b3577//b4702//b1212//b2987//b1679//b4194//b2199//b2481//b4171//b2287//b1852//b4153//b1227//b3672//b1398//b3049//b3364//b3324//b0783//b1889//b3477//b4318//b1207//b3329//b2287//b3544//b3859//b2711//b3829//b4460//b0431//b4092//b4069//b1587//b0044//b0296//b0590//b4174//b2867//b4393//b3311//b3132//b1713//b1717//b0975//b3455//b0350//b1535//b3666//b1613//b2597//b4265//b1518//b3126//b3751//b1611//b0181//b1846//b0763//ilvG_1//b2717//b0205//b1531//b1528//b0998//b3860//b1682//b3460//b0460//b3908//b1247//b2713//b0040//b3905//b4506//b2308//b4024//b3368//b3509//b2488//b3278//b1540//b1656//
