#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b2631//ilvG_2//b2509//b2195//
AlaS-L-alanine	b2741//
AllS-allantoin	b0038//b1747//b1023//
AraC-L-arabinose	b0044//b2201//b2997//b0785//b1038//b0183//b4476//b1858//b1131//ilvG_2//b3544//b4005//b2286//b2094//
ArcA-Phosphorylated	b0758//b3049//b4125//b0863//b3115//b1482//b1223//b1511//b4323//b0827//b0334//b2600//b3759//b0945//b0597//b4376//b2663//b3582//b4290//b0151//b2551//b0311//b0995//b0199//b4399//b2531//b3423//b4095//b2752//b2975//b2199//b1501//b2313//b4669//b4094//b0156//b1388//b0034//b2290//b2553//b1743//b3096//b2995//b2669//b0110//b1041//b0350//b0591//b4151//b1210//b2531//b0864//b2309//b2535//b2725//b1256//b4324//b2171//b4400//b3846//b2800//b3868//b3364//b4173//b2239//b1590//b3313//b2721//b0273//b4399//b3278//b2369//b3905//b2224//b4034//b0729//b1680//b1394//b4460//b1389//b0384//b3688//b3272//b2223//b3605//b3096//b4133//b0978//b2236//b0979//b4289//b2171//b4138//b4426//b3870//b0776//b0342//b4152//b2306//b3748//b2977//b4037//b1039//b4291//b0111//b2531//b4468//b3403//b2942//b2469//b3366//b2146//ilvG_2//b3164//b2751//b0996//b3124//b4398//b3601//b4242//b2607//b2213//b2368//b0782//b2476//b2215//b3510//b1611//b4397//b1511//b4063//b3169//b0335//b1246//b4318//b3609//b2720//b1298//b2927//b2840//b0805//b0936//b2583//b0152//b2221//b0903//b0729//b3608//b3313//b2486//b3049//b1041//b1511//b1243//b3851//b4592//b2063//b3611//b0034//b0460//b2732//b3510//b1743//b1260//b4062//b2366//b3266//b1858//b2800//b2194//b2308//b4592//b0390//b0040//b2207//b1182//b0080//
ArgP-L-arginine	b4139//b2712//b2927//b3700//b1782//b2675//b3395//b3688//b4292//b0598//b0783//b2288//b0061//b2716//b4460//b2606//
ArgR-L-arginine	b3241//b3221//b1209//b2213//b1429//b2531//b3702//b0199//b3750//b3567//b2287//b0872//b4070//b0515//b0396//b3266//b2306//b3117//b3430//b2706//b0041//b3728//b0365//b3092//b1593//b3426//b2697//b1743//b1516//b3008//b2307//b2707//b1537//b0240//b1388//b2499//b3971//b0889//b2937//
AtoC-phosphorylated	b2551//b3600//b3853//b2904//
BaeR-Phosphorylated	b2799//b0585//b0970//b3615//b2560//b4399//b1826//b2601//
BirA-bio-5-AMP	b1988//b0389//b0345//b2751//b2719//
CRP-cAMP	b1324//b0344//b0887//b0428//b3851//b2239//b1671//b2241//b0178//b2429//b4198//b2756//b1748//b1111//b0462//b1112//b3091//b1430//b2482//b2938//b0031//b2483//b2717//b1747//b2374//b3533//b0979//b4233//b2079//b0973//b4139//b4037//b1672//b4318//b4100//b0774//b4426//b1334//b3172//b2290//b3774//b2721//b1590//b1261//b2750//b3721//b0979//b0620//b1704//b4169//b4063//b0061//b0997//b4151//b3728//b3359//b2601//b1221//b0077//b1493//b3906//b4233//b0957//b2631//b2530//b4039//b4000//b3750//b4314//b1385//b3727//b1681//b3970//b0335//b3477//b3319//b2975//b1415//b0972//b2799//b4476//b3902//b0978//b0682//b4019//b3668//b1211//b0440//b2422//b0907//b1040//b0048//b1036//b4354//b2211//b0190//b2570//b3868//b0154//b0557//b4138//b0777//b3926//b4016//b0734//b2992//b1717//b0765//b2344//b2276//b1988//b3753//b4094//b4439//b1718//b1498//b3579//b2573//b1500//b0166//b0312//b4317//b1547//b1262//b0428//b3392//b0872//b0331//b0755//b4355//b3408//b2802//b1612//b3541//b3441//b1015//b3961//b3870//b1609//b3275//b0178//b4170//b1547//b0974//b2630//b4663//b0621//b1429//b4439//b1127//b3532//b1321//b2094//b0124//b4016//b3579//b0035//b3329//b1882//b3071//b1016//b3458//b3926//b0460//b3312//b1887//b4016//b4006//b0974//b1546//b1338//b0781//b2715//b0192//b4010//b0570//b3423//b3828//b0179//b2243//b4100//b0972//b0349//b2551//b0125//b0367//b2198//b0110//b3671//b3830//b0903//b0184//b2990//b0820//b1810//b4393//b2223//b1210//b1885//b3605//b2393//b1243//b2465//b2406//b2977//b3319//b2762//b2995//b3781//b3134//b4289//b1212//b4637//b0378//b2282//b0389//b0935//b3438//b2224//b2232//b4106//b3510//b0613//b0765//b2155//b2703//b0166//b3404//b1859//b4002//b2760//b2290//b2429//b0597//b0614//b3127//b0678//b1244//b3426//b2762//b1922//b0383//b0179//b3449//b0998//b1160//b2201//b4071//b4417//b1109//b3429//b0977//b0333//b2198//b4167//b1886//b1062//b2923//b1384//b4451//b2464//b2996//b2589//b3311//b2366//b2469//ilvG_1//b0352//b0039//b2283//b3480//b1296//b0613//b0975//b4209//b0522//b1062//b1732//b1227//b3242//b0945//b1042//b1297//b3038//b0338//b1718//b1743//b0124//b3241//b1736//b0461//b0314//b0033//b1007//b4400//b0241//b1501//b3575//b2465//b0613//b2730//b0441//b3125//b1016//b3773//b2916//b1208//b0113//b2296//b3941//b2979//b3457//b1859//b1797//b2996//b4004//b4009//b4003//b1589//b0887//b0782//b4467//b2282//b2996//b1024//b4075//b3478//b1243//b1397//b2706//b3408//b2487//b0034//b1587//b1336//b3938//b2716//b2406//b3870//b4310//b3942//b2278//b1852//b4138//b4393//b2464//b0864//b2075//b3410//b2106//b2904//b2287//b1127//b2509//b4289//b0935//b4242//b2675//b1211//b3426//b1672//b1227//b2278//b0724//b2063//b4502//b2838//b3441//b1512//b3237//b0785//b2371//b3096//b1039//b3855//b3530//b3425//b3168//b2365//b0340//b2759//b3903//b4070//b3274//b0078//b3604//b1007//b4079//b2148//b4177//b3134//b4111//b2590//b3906//b4289//b3168//b2156//b3855//b4138//b3423//b4511//b2721//b1674//b2838//b2552//b3773//b1706//b0124//b2671//b3773//b2965//b3450//b3231//b0339//b2234//b3727//b2085//b2530//b0606//b2703//b1334//b1245//b2507//b2198//b1888//b2464//b0182//b1591//b3451//b1112//b3335//b4201//b1101//b3113//b2285//b2029//b0296//b1658//b1718//b1885//b0125//b2344//b1641//b1612//b1252//b0783//b3670//b3166//b0036//b3709//b2148//b4013//b4006//b2713//b0819//b1227//b3722//b3242//b1780//b0783//b4007//b2211//b0330//b3455//b3859//b2424//b1987//b3860//b1814//b0167//b0721//b0181//b3365//b2344//b0617//b0757//b2366//b3207//b3123//b0460//b1385//b1735//b3940//b2428//b0675//b4290//b4202//b1302//b3617//b3939//b0928//b1747//b2572//b2206//b0721//b3726//b2286//b3617//b3118//b1009//b3230//b0596//b0177//b3260//b1261//b3756//b0190//b1921//b3393//b4070//b3960//b1212//b2153//b2234//b0037//b3325//b2572//b2702//b0114//b3926//b3365//b4067//b1323//b4167//b2660//
