#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b0451//b3224//b2579//b1852//
AlaS-L-alanine	b2242//
AllS-allantoin	b2195//b0152//b2430//
AraC-L-arabinose	b3688//b2414//b4007//b1131//b2994//b3671//b2198//b2923//b4511//b2491//b3709//b2662//b0207//b0019//
ArcA-Phosphorylated	b1818//b2234//b1127//b2200//b3531//b3860//b3572//b0080//b3366//b4072//b3076//b1512//b2975//b4118//b0062//b2762//phnE_2//b2551//b3571//b2925//b0240//b3905//b2552//b1531//b2279//b2212//b2975//b2852//b3071//b1535//b1513//b0621//b2344//b4196//ilvG_1//b4319//b0064//b2234//b3325//b1390//b4067//b2911//b3859//b3869//b0566//b0589//b3125//b2417//b2279//b3430//b2201//b2731//b1493//b3493//b3394//b2659//b4293//b2223//b1136//b3273//b3958//b3925//b4663//b1748//b1212//b1241//b0621//b1672//b0598//b3511//b1713//b0161//b3831//b2307//b3751//b4198//b1388//b0346//b3968//b0620//b0587//b1745//b2287//b0166//b0151//b3117//b1886//b1735//b1009//b0411//b1482//b2759//b3207//b2943//b3770//b0034//b2571//ilvG_2//b4119//b2492//b3564//b2583//b2068//b4237//b3454//b3771//b2669//b1669//b4106//b4125//b3970//b2721//b2367//b0908//b3588//b3409//b3430//b4072//b3749//b2722//b3329//b3070//b4392//b4170//b4324//b0903//b1321//b1616//b2754//b0592//b1747//b1021//b0620//b1921//b2607//b4171//b3781//b4016//b3450//b0721//b2341//b1041//b1498//b3408//b1680//b1609//b1392//b1212//b4160//b1111//b3330//b3363//b3335//b4416//b1810//b4069//b3864//b3095//b2313//b2756//b0240//b4451//b2712//b4401//b3478//b3076//b3242//b0390//b3324//b0365//b3532//b2147//b2588//b0874//b1620//b2149//b2296//
ArgP-L-arginine	b3667//b0061//b3172//b0207//b3452//b2671//b3212//efeU_2//b0592//b1111//b0043//b2725//b0575//b4637//b3241//b1738//
ArgR-L-arginine	b2742//b2196//b2995//b0180//b3260//b1706//b0440//b0755//b2597//b1501//b0221//b3132//b1514//b2573//b0352//b2312//b3510//b0116//b3957//b0411//b1814//b2150//b1129//b2085//b3035//b0597//b2535//b3116//b3222//b0123//b1516//b1846//b4099//b0523//b1907//b3414//b4171//b2491//b3430//
AtoC-phosphorylated	b1301//b1907//b2281//b0583//
BaeR-Phosphorylated	b0377//b2224//b3566//b0970//b4705//b2697//b3455//b1190//
BirA-bio-5-AMP	b2213//b2661//b0602//b2731//b1498//
CRP-cAMP	b1858//b1796//b3359//b3700//b4198//b1608//b0574//b2673//b2838//b0721//b0484//b1681//b3026//b2573//b0605//b1037//b1888//b1885//b1189//b4450//b2491//b1528//b0204//b0080//b1521//b0720//b4076//b3609//b0346//b2085//b0153//b3971//b3756//b3366//b3261//b3212//b0039//b0684//b4072//b1415//b0043//b1684//b0615//b3774//b1384//b0080//b3260//b3049//b2215//b4171//b4439//b2341//b3572//b0109//b2406//b0430//b2559//b2171//b1704//b0516//b2091//b4397//b2242//b3364//b3721//b1673//b2291//b3329//b0677//b0114//b4058//b3700//b3855//b2708//b2211//b0313//b3165//b1336//b2659//b4059//b3321//b2676//b2609//b2503//b2486//b0399//b0774//b0342//b1391//b4699//b2288//b3725//b3116//b2499//b2309//b4322//b2470//b3276//b0077//b0978//b3273//b3530//b2279//b2074//b0886//b4173//b4471//b2202//b0353//b0931//b2242//b0345//b1002//b4167//b3852//b0191//b1746//b4233//b4240//b3781//b4239//b1136//b4071//b3668//b1010//b0945//b3870//b1190//b3077//b2499//b2291//b3242//b2756//b4063//b2204//b2764//b1395//b4319//b3096//b3603//b1111//b0774//b2428//b3038//b2756//b1988//b1846//b1683//b3615//b1336//b2509//b1745//b3757//b3756//b3869//b0031//b0241//b0314//b3772//b2093//b4240//b1781//b2838//b2937//b1852//b4133//b1611//b2721//b3509//b1684//b4266//b4197//b4059//b3542//b1712//b3093//b4071//b1798//b4354//b0333//b2990//b2675//b0353//b2757//b2916//b2231//b0019//b4115//b3393//b2727//b0032//b1006//b2465//b3671//b1010//b0564//b1384//b1262//b0312//b3572//b4019//b0032//b1298//b0763//b4354//b1220//b1039//b0606//b2732//b4313//b2366//b3577//b3133//b3332//b2068//b0152//b0403//b1287//b3756//b2802//b0974//b2371//b1008//b2669//b4067//b2707//b2415//b4075//b2755//b0038//b0190//b0907//b4401//b3123//b3942//b2195//b0889//b3581//b2155//b1010//b3265//b2277//b4406//b2278//b3518//b3961//b0203//b4005//b1252//b3006//b0765//b4355//b3941//b0041//b4417//b1611//b3852//b4154//b3971//b0353//b0894//b1738//b3317//b4058//b4076//b1672//b1547//b0590//b4059//b1338//b3135//b3671//b1515//b1512//b0522//b1517//b1208//b3608//b3327//b1476//b2207//b3579//b3038//b1982//b4438//b4431//b2990//b0724//b3927//b0860//b1262//b4177//b0903//b3213//b0583//b2308//b2530//b0177//b0778//b2757//b4040//b1512//b3006//b1388//b3860//b3363//b3939//b4187//b3510//b0078//b3277//b0337//b0755//b2373//b0450//b3461//b1389//b1109//b1521//b2207//b3934//b2937//b4035//b2990//b4002//b2659//b2867//b2369//b3450//b2911//b2488//b1617//b1613//b3851//b1297//b0945//b1379//b0758//b3428//b3429//b3828//b4070//b2236//b2904//b3438//b3769//b0522//b1735//b3134//b3668//b3170//b2291//b3806//b0784//b3117//b1611//b1587//b0207//b3925//b0764//b3541//b1023//b0345//b3426//b1621//b1889//b3125//b0523//b3071//b2202//b3725//b4175//b3518//b1336//b2759//b2029//b3437//b2366//b1062//b4367//b4354//b0183//b3357//b2580//b2674//b3437//b2916//b3225//b2589//b1781//b0033//b3071//b4131//b2364//b1022//b3117//b0684//b4153//b1111//b1421//b1516//b2341//b2194//b2662//b4426//b4075//b3008//b2393//b1738//b2631//b0366//b4123//b1038//b3426//b4009//b1885//b2964//b2712//b2311//b2704//b2579//b1738//b2485//b2962//b4592//b1735//b0189//b3115//b3324//b0618//b3410//b0895//b0784//b2838//b0167//b1732//b2617//b1388//b0043//b0033//b2866//b3127//b2195//b0338//b1547//b4073//b0350//b1041//b2288//b1987//b4200//b2497//b1814//b0724//b3603//b3671//b2942//b2584//b1615//b3357//b0348//b3957//b4399//b3429//b0928//b3938//b3530//b4254//b4054//b4005//b1988//b2287//b3005//b2234//b3957//b2905//b0729//b2904//b1512//b1407//b2489//b2991//b1022//b1679//b2484//b4319//b2279//b3461//b0156//b1735//b2344//b3572//b0935//b1335//b2570//b4311//b0273//b0343//b2559//b4133//b4004//b2491//b1272//b1396//b4062//b3582//b3670//b3315//b3531//b2469//b0978//b0221//b1262//b1621//b0063//b2277//b2313//b4239//b0777//b3432//b0296//b0430//b1421//b3455//b2416//
ChbR-Monoacetylchitobiose-6P	b4138//b4034//b3334//b0575//b1706//b4264//
CpxR-Phosphorylated	b0180//b3164//b1337//b1227//b2660//b4068//b2606//b3321//b1221//b0783//b1537//b3441//b3601//b4118//b1682//b1736//b2752//b3329//b2659//b2572//b1814//b3413//b3115//b2078//b3314//b3325//b2579//b1302//b2719//b4202//b1882//b0620//b3026//b2579//b0995//b1885//b2152//b0928//b4074//b0389//b4320//b0399//b1298//b1102//b1324//b3728//b3431//b3571//b1041//b0340//b1209//b3461//b3368//b4039//b2762//b0617//b4195//b4314//b2759//b4267//b0587//b0367//b0177//b2759//b3321//b0675//b1900//b4195//b4036//
CreB-Phosphorylated	b2422//b1010//b2725//b0192//b4002//b3071//b1247//b3958//b1885//
CueR-Ag	b3236//b3509//b1265//b1546//b3617//b0428//b0114//
CueR-Cu+	b0977//b2805//b1492//b3161//b3726//b1511//b3455//
CuerR-Au	b1393//b3701//b2235//b4160//b3127//b1062//b1222//
CusR-Pasp	b4058//b0590//b3458//b0116//b0031//b2557//b4592//b1593//b4159//b2211//b3707//b0724//
CynR-Cyanate	b1518//b3509//b3452//b2708//
CysB-N-acetyl-L-serine	b2150//b2009//b3453//b1276//b1593//b3365//b2171//b3430//b0775//b1395//b1521//b0167//b0040//b2674//b2597//b3071//b1907//b1390//b3326//b3669//b1735//b0031//b0108//b2148//b2497//b2673//b3580//b4105//b3940//b2508//
CysB-O-acetyl-L-serine	b1385//b4317//b1737//b2196//b3845//b1798//b0450//b1112//b0996//b2310//b2307//b2464//b0378//b1112//b0124//b3277//b3700//b3709//b2697//b3579//b3115//b0812//b2369//b0428//b3855//b3469//b0682//b3770//b3313//b3135//b1252//
DcuR-Phosphorylated	b2143//b1113//b4159//b3325//b2373//b1245//b3599//b2417//b0181//
DnaA-ATP	b1682//b2152//b4154//b3610//b4237//b3114//b0330//b3749//b1498//b3170//b1221//b0933//
DpiA-Pasp	b2093//b2106//b1547//b2487//b2203//b1299//b2803//b2242//b2482//b0389//b4663//
DsdC-D-serine	b0367//b0553//b4015//
EvgA-Phosphorylated	b2927//b0207//b1497//b0062//b2571//b0814//b3127//b0619//b1821//b3863//b1136//b3853//b3037//b3359//b1009//
FNR-Fe_reduced	b1797//b0403//b0820//b0874//b3958//b0273//b2669//b2171//b2498//b4238//b0615//b4013//b0972//b4197//b0880//b4268//b2484//b1826//b1296//b2631//b0757//b2553//b0125//b1519//b1528//b3603//b1798//b4240//b3938//b0343//b3905//b4018//b2937//b1205//b0995//b0181//b0937//b4131//b2600//b4384//b2662//b2482//b0592//b0679//b0397//b1008//b4324//b3722//b0296//b1421//b1387//b2712//b0296//b0723//b4441//b0061//b2742//b1718//b4289//b2912//b1817//b2741//b2976//b1593//b2414//b3571//b0313//b2221//b4169//b2092//b1007//b0048//b1736//b4133//b4054//b0589//b2659//b1024//b1209//b0064//b1132//b2469//b2204//b0763//b3569//b0203//b0585//b0044//b2492//b3117//b1241//b2551//b3771//b0975//b1608//b3311//b1036//b4151//b2942//b4033//b2077//b1714//b2977//b3600//b0061//b0573//b3722//b3605//b3169//b0682//b0929//b2961//b1036//b2194//b2661//b3759//b1516//b1421//b4125//b2415//b3418//b1530//b3478//b2996//b1022//b2106//b2752//b0723//b4175//b3588//b4160//b4013//b0240//b4067//b0931//b3392//b3081//b2552//b1130//b2194//b3669//b0343//b4167//b2487//b0957//b2490//b2199//b0388//b2720//b1821//b3927//b1521//b4063//b3426//b0933//b3161//b2232//b1987//b1262//b4237//b2606//b2498//b0430//b3868//b3757//b0177//b0462//b0199//b0596//b0617//b0048//b2702//b0584//b3405//b4034//b2559//b0440//b2283//b0168//b2996//b4195//b4287//b4035//b2509//b0346//b3426//b0620//b3135//b3938//b2965//b0400//b3231//b4037//b2489//b0571//b2484//b2673//b3132//b4238//b0977//b2365//b2281//b1190//b1010//b0181//b2764//b3404//b2927//b2995//b4249//b0937//b0935//b1988//b3938//b2758//b0980//b3957//b0112//b2491//b4317//b0724//b4195//b3331//b1226//b1973//b3770//b2198//b4201//b2721//b3830//b2196//b0945//b4129//b4267//b4663//b0036//b1010//b3314//b1379//b3751//b1608//b4125//b4173//b3540//b1704//b2310//b0343//b1007//b0192//b1884//b1622//b0908//b1737//b3332//b2666//b2557//b1252//b2171//b2341//b1265//b0113//b2818//b1587//b4397//b4316//b4239//b4133//b3359//b1062//b3721//b3708//b1890//b0595//b0064//b2279//b3469//b2224//b4172//b3451//b3451//b4438//b0615//b0557//b4167//b1265//b1390//b4125//b0677//b2742//b3057//b1039//b4702//b0997//b3081//b0517//b2313//b0895//b2239//b2197//b1224//b4233//b2591//b4072//b3415//b4033//
FhlA-Formate	b0861//b0995//b1388//b4400//b2721//b2276//b4170//b1922//b2992//b0728//b4104//b0038//b3863//b3766//b4264//b3324//b4014//b2374//b2708//b2366//b3723//b3574//b3169//b0333//b0722//b0889//b3008//b1736//b1109//b1821//
FucR-L-fuculose-1-phosphate	b3580//b0124//b3213//b1852//b3431//b0311//b0778//
Fur-Fe2+	b1546//b0116//b2703//b3532//b2704//b3863//b0970//b2197//b4069//b3005//b1225//b4151//b4160//b0311//b0108//b4102//b0044//b1673//b1182//b1012//b1338//b1040//b1016//b3441//b3170//b0313//b4118//b3273//b0061//b3971//b0179//b3588//b1734//b0152//b2375//b4139//b0874//b2818//b3161//b4076//b2962//b4383//b1671//b2579//b2715//b3327//b3478//b4265//b0063//b3608//b1475//b3582//b0979//b4268//b0450//b2751//b3441//b4016//b4154//b2757//b2215//b4200//b4173//b1276//b0450//b0221//b0340//b0996//b1262//b0953//b3476//b3313//b0980//b1782//b2206//b0462//b0115//b1921//b2085//b0202//b2725//b0756//b2416//b2283//b3753//b3863//b0350//b3617//b1227//b3969//b0566//b3070//b0959//b1476//b3709//b3772//b0400//b3565//b2296//b1922//b0192//b3319//b1039//b2278//b0957//b3458//b3510//b4079//b1265//b3961//b3934//b4289//b1905//b1041//b1387//b3260//b0154//b0349//b0461//b4367//b0723//b4009//b1394//b1276//b2757//b1038//b1287//b2222//b3081//b4460//b1129//b0936//b2728//b2063//b3450//b3241//b3132//b1798//b4441//b1715//
Fur-Mn2+	b3611//b4239//b0592//b4698//b0312//b4032//b2200//b1102//b3908//b0197//b4441//b0182//b2465//b0205//b0602//b3961//sroD//b2709//b0344//b0398//b0933//b2365//b2150//b2674//b2601//b4441//b0783//b0785//b2990//b4074//b4073//b2196//b2296//b0621//b1493//b4311//b4238//b2484//b4069//b1223//b1300//b4174//b0411//b2750//b3025//b2484//b4094//b1514//b0273//b3410//b2374//b4310//b3006//b3221//b3222//b0684//b1492//b1530//b0152//b0776//b1009//b2153//b3766//b0450//b0679//b2727//b3095//b4104//efeU_2//b0931//b4009//b2076//b0154//b0516//b4054//b1621//b0755//b4196//b3368//b4698//b2905//b0349//b0353//b3615//b2996//b3781//b3450//b0757//b2231//b0428//b3938//b1300//b3757//b2938//b4238//b3829//b4007//b2197//b2107//b0805//b0389//b3969//b0112//b2197//b0241//b2630//b1395//b4264//b2423//b3414//b4002//b1498//b2106//b1588//b3938//b0517//b3432//b4005//b1846//b0077//b2965//b0862//b0344//b2147//b3366//b0044//b0681//b0106//b1102//b0903//b0181//b4197//b3941//b1022//b1588//b1516//b1021//b2712//b1211//b4139//
GlcC-Acetate	b2374//b0388//b4151//b3393//b3934//ilvG_1//b2297//
GlcC-Glycolate	b0977//b3480//b3566//b3363//b4015//b3364//b0389//
GlrR-Pasp56	b1852//
IclR-pyruvate	b3315//b3969//b4209//b0621//
IdnR-5-ketogluconate	b1745//b3450//b3172//b1021//b0339//b4384//b3124//b2710//
IdnR-Idonate	b2366//b0972//b2241//b1476//b3357//b3533//b2074//b0314//
IlvY-2-acetolactate	b4397//b0343//
IlvY-Alfa-acetohydroxybutirate	b3223//b1658//
IscR-2Fe	b0681//b0677//b1547//b0957//b2224//b3453//b3908//b3851//b4154//b0203//b4100//b2711//b3852//b4007//b2903//b1900//b4198//b3429//b3438//b0347//b2704//b3579//b1511//b3564//b1890//b2719//b3907//b1737//b0826//b3324//b0827//b2584//b3333//b0827//b2666//b2296//b1658//b0107//b1241//b1262//b4318//
LldR-L-lactate	b2196//b2374//b4400//
