# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	fadH//guaA//malQ//puuE//
AlaS-L-alanine	glgA//
AllS-allantoin	puuA//sucC//glpA//
AraC-L-arabinose	chbF//paaK//gdhA//nanK//araD//serC//alaA//
ArcA-Phosphorylated	yiaK//entD//purB//trpE//pdeF//folE//ampD//carA//ybjG//metE//metF//araB//purA//metK//cdd//bcsB//bioA//frdB//deoA//xdhC//gcvT//nrdD//pgaC//hycE//phnG//xylA//guaA//glpD//glpD//pgaD//hflX//hycC//citE//fau//ahpF//xylB//cysI//nrfB//hcp//purH//yeaE//yfbR//nrdA//ackA//rhaB//fau//prmC//talA//ynfG//speA//phnJ//hycB//araA//dusB//purA//trpB//caiA//glpX//argD//murQ//lpxD//astA//glgP//kbaZ//ahpF//uxaB//fabZ//dkgB//gpmA//ilvA//idnD//ynfF//moeA//betA//fabZ//icd//fbaA//mutL//codA//gcvP//ubiG//hycB//rutB//glcF//alkA//puuB//ilvG_1//nrfA//napG//nrdE//puuA//nrfC//melA//prpC//ung//araD//paaJ//
ArgP-L-arginine	deoA//fabZ//metL//fadE//cysC//bcsZ//trpB//rnpB//hypB//trpA//uxaB//
ArgR-L-arginine	sdhC//sufS//ynfE//purC//carA//pgaC//fumB//gabD//entE//fadA//fes//fadJ//cyaA//waaH//glyA//eda//aceE//mhpE//folE//fadJ//dgcZ//napG//srlD//
AtoC-phosphorylated	caiA//fadJ//nrdA//
BaeR-Phosphorylated	pheS//melA//
BirA-bio-5-AMP	argI//bcsA//glgX//katG//umpH//
CRP-cAMP	fadB//galM//betA//fadH//garK//pyrD//lsrK//argC//purD//prs//napG//katE//pgpC//fadD//pheT//nirD//fucI//fau//cueO//guaA//paaB//trmD//glgP//aspC//bioB//garK//caiD//ada//ulaE//uvrA//dmsC//atoD//astE//hycC//lpxA//metL//phnG//zwf//moaA//folA//fucU//thrS//dgcZ//lhgO//ahpC//ubiC//hemL//nanK//cysN//nirB//frdD//nagB//ilvH//ilvG_2//bcsA//aroH//moaA//caiD//uvrA//argE//allD//sdhA//phnN//ubiC//entB//uidA//moeA//miaA//pflB//napB//ynfG//sodB//talA//cheR//phnM//caiC//bglB//feaB//metF//allD//codA//glpD//polA//xylA//bacA//tdcB//waaH//mhpE//nagB//dmsC//avtA//glgX//pagP//bcsZ//abgB//hflX//ldtC//moaA//aroG//sucD//glgX//gnd//tktB//aspC//ogt//hycB//umpH//allE//ulaE//amn//carA//rbsK//abgB//glgA//alkB//abgA//alaA//ulaE//treC//ldtC//gatD//galK//fucK//narG//lysC//trpA//rutA//hycB//yiaK//cysK//pgpC//rbsD//metC//nrdE//gltD//tam//caiC//cysI//cueO//dadA//astC//napB//rutB//nrdB//phnM//hemA//allD//dnaE//aroL//cynT//gadB//acs//lsrF//aceF//puuB//aldA//hycF//lsrK//appA//icd//allD//dgcZ//ulaE//moaD//tnaA//alaA//appA//cysD//aldA//glgA//purK//thrS//bioD//argC//cysI//ndh//entA//ssuE//tdcD//uxaB//glpX//glgA//ssuE//patZ//srlD//purC//glgC//abgB//galT//garK//bacA//icd//garR//fucI//purC//paaA//sgbH//yeaE//glpC//fau//ilvB//gatZ//lpxD//gpsA//fucA//metC//rutB//cynT//galE//acnB//caiD//ahpF//argE//nrfC//ilvD//atoB//phnL//ilvA//pgk//pheS//sucA//entB//nrfC//caiA//abgA//lldD//trpE//tktB//bioA//narI//uxuB//gadB//gabD//dadX//oxc//umpH//phnP//pgpC//ldtB//ilvN//glpE//fucK//uxaC//ynfH//metK//malZ//sdhA//caiD//gcd//malS//nrfC//dmsA//fabZ//ynfG//purC//ybjG//sdhC//puuE//tdh//xdhA//dusB//dmsB//idnO//cysG//prpB//bglB//lysA//allC//pdeF//bcsB//cyaA//hycF//gabT//tehB//pyrD//malQ//hflX//malZ//entB//nrdF//yqjH//purC//ubiC//ung//yiaK//fadE//hycC//dadX//uxaC//cheB//
