#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b2147//b3671//b0430//b2964//
AlaS-L-alanine	b1890//
AllS-allantoin	b1421//b3511//b1392//
AraC-L-arabinose	b3225//b2373//b3749//b4013//b4123//b2557//b4317//b0805//b0757//b3477//b0862//b1338//b2307//b3265//
ArcA-Phosphorylated	b3851//b3518//b2799//b2415//b0197//b2155//b0523//b3859//b2406//b2342//b3700//b1673//b0574//b4003//b3772//b1243//b2583//b3926//b3772//b3394//b0106//b1882//b1398//b2528//b3723//b0973//b1024//b1892//b2207//b3452//b1907//b3243//b0312//b0166//b3583//b0365//b3394//b2991//b3404//b2375//b4024//b1136//b0782//b0336//b4104//b4511//b3905//b1007//b1987//b0759//b4119//b0812//b0077//b3316//b1620//b4074//b0781//b3479//b3025//b1113//b4101//b2673//b3171//b3460//b3543//b2201//b2146//b1796//b2307//b0613//b1042//b1905//b1589//b1817//b0523//b1493//b3320//b1109//b2742//b3724//b2149//b2805//b2075//b3576//b0346//b1743//b2903//b1499//b4097//b4400//b4397//b0972//b4460//b4670//b2290//b3569//b0115//b4169//b3960//b2630//b2485//b1671//b3415//b2805//b3957//b1011//b3859//b1921//b1324//b0973//b2029//b2659//b2085//b0980//b3530//b0190//b1654//b1497//b0183//b4367//b3072//b0980//b1588//b3707//b1715//b0724//b2926//b3037//b0341//b1024//b2284//b2724//b2727//b2406//b1062//b1264//b2342//b2203//b0616//b2309//b2838//b1900//b0116//b4094//b0862//b3806//b2490//b3394//b2707//b1798//b1712//b4637//b0314//b2741//b0403//b4702//b2406//b1535//b4196//b1389//b2991//b3709//b3395//b0080//b2673//b1620//b3533//b3968//b2485//b3851//b2421//b1718//b0756//b2731//b3854//b4265//b3852//
ArgP-L-arginine	b4160//b0587//b4177//b3608//b0240//b1850//b1415//b3569//b3357//b0331//b0980//b4073//b3333//b3392//b2393//b1262//
ArgR-L-arginine	b2608//b0953//b3126//b0462//b2630//b0040//b3864//b0557//b1761//b2710//b3541//b1680//b0207//b0044//b3453//b2659//b1299//b4202//b2281//b1421//b0118//b3170//b4005//b0728//b4289//b1384//b2093//b4265//b3242//b4240//b2559//b2163//b3604//b2500//b2661//b1247//b1907//b0062//b1535//
AtoC-phosphorylated	b1262//b2976//b3166//b1521//
BaeR-Phosphorylated	b4406//b3510//b0036//b3135//b0179//b4460//b2499//b1302//
BirA-bio-5-AMP	b3118//b1024//b4511//b2372//b3169//
CRP-cAMP	b2152//b1706//b2309//b2287//b3416//b1021//b2818//b2709//b1612//b2840//b2674//b2867//b3035//b3453//b3864//b4319//b2703//b2079//b2630//b2068//b3126//b0597//b1716//b3451//b0887//b0676//b1745//b1387//b4468//b2755//b2307//b1658//b2464//b2310//b3320//b0820//b2663//b2171//b0774//b4289//b2716//b1010//b0812//b2760//b0430//b2374//b1390//b2307//b2075//b2911//b2148//b2571//b0935//b0397//b1682//b0863//b3903//b2709//b2375//b4067//b4177//b2500//b2728//b4169//b3454//b3261//b0785//b2093//b2201//b3938//b0351//b4239//b4175//b2296//b3437//b0557//b3579//b4032//b0198//b3757//b0594//b0675//b0189//b1012//b1474//b1264//b4062//b0873//b0062//b1973//b4314//b3722//b1761//b2199//b1112//b0342//b4406//b1324//b3394//b0312//b1226//b1970//b4637//b1548//b0078//b1881//b0523//b2588//b2282//b4152//b3243//b3456//b2240//b3869//b2763//b2663//b4438//b0874//b4671//b2614//b3329//b1498//b4291//b3321//b2990//b3230//b3574//b1389//b2416//b3566//b3117//b1407//b0062//b1190//b2150//b2423//b2425//b2659//b2208//b1384//b0754//b1207//b3599//b2977//b1851//b0894//b3927//b4293//b0784//b3431//b4242//efeU_2//b4063//b0031//b1160//b0450//b2841//b2991//b0566//b1735//b4195//b1297//b1858//b2838//b0819//b0191//b4092//b4471//b0623//b2580//b0602//b2487//b2235//b4265//b4151//b3903//b2706//b2415//b4592//b2309//b3225//b1608//b1207//b3328//b3566//b0460//b2476//b4129//b3214//b4417//b1891//b1227//b4315//b2724//b2801//b2068//b2287//b0931//b3961//b2942//b4393//b0342//b1859//b0296//b1226//b1519//b3688//b4079//b3243//b2660//b2155//b3038//b1389//b3511//b0776//b0192//b2096//b2713//b0973//b3366//b0273//b2205//b2163//b4195//b4699//b3905//b0189//b3578//b1735//b2288//b4032//b2964//b2705//b2497//b3829//b2095//b0039//b3456//b3118//b2199//b2705//b2979//b2296//b2234//b0383//b3457//b3319//b4316//b3578//b1902//b0764//b2976//b1272//b3772//b0977//b0977//b2528//b3237//b1302//b2911//b2711//b0959//b3532//b4013//b3425//b0377//b1921//b3005//b4637//b2730//b2203//b4309//b0044//b0618//b3317//b4095//b2075//b3575//b2722//b2731//b4506//b0827//b2009//b3971//b3116//b4323//b2554//b1704//b3530//b3071//b0161//b1113//b2551//b2416//b1805//b4015//b3072//b1038//b4702//b0976//b0367//b2369//b4092//b4119//b1712//b3095//b0063//b2722//b2659//b0192//b3934//b2307//b0019//b2957//b0573//b0978//b1888//b0313//b4040//b3036//b2943//b2201//b1024//b3316//b0682//b0755//b3221//b4005//b1475//b3580//b1513//b2421//b3227//b3544//b1338//b4321//b0777//b3707//b4170//b3846//b2231//b0351//b3753//b1112//b2208//b2508//b3243//b4460//b0042//b3726//b4249//b2425//b1265//b4502//b2483//b1297//b0880//b4187//b0440//b4290//b2106//b4201//b2703//b4637//b4315//b0679//b1988//b0957//b2597//b3409//b3276//b4400//b4322//b1321//b4468//b3722//b2370//b3581//b0945//b1415//b2508//b1499//b0755//b4032//b1011//b3926//b0571//b2372//b1324//b3751//b2559//b0904//b3117//b4401//b2800//b0338//b0400//b2373//b2993//b3327//b0168//b4153//b3212//b4030//b3036//b3727//b1674//b3846//b4010//b4213//b2802//b4139//b2469//b1042//b2371//b0032//b2287//b1796//b3424//b4324//b2206//b2152//b3057//b0462//b2731//b2713//b1430//b1322//b3431//b0860//b4171//b3481//b0570//b2231//b2307//b1796//b1247//b2904//b3260//b0677//b0957//b0431//b2852//b1617//b1476//b1296//b3405//b2199//b0774//ilvG_2//b3582//b0340//b2365//b2560//b0759//b1241//b0575//b3326//b1297//b0031//b1335//b2407//b1101//b4168//b2927//b1547//b3970//b0440//b4476//b0184//b3394//b0895//b3132//b1982//b2470//b3543//b2029//b4310//b0383//b4467//b3165//b1672//b3749//b1713//b0334//b3725//b2553//b0675//b0118//b4321//b3772//b4072//b4239//b1321//b1130//b1988//b0396//b0515//b2309//b0957//b3829//b1907//b2716//b2764//b0463//b2708//b4034//b3668//b0517//b3603//b0273//b0350//b2530//b3912//b4167//b0683//b4003//b1324//b3405//b3722//b1113//b2838//b2243//b1225//b1243//
