# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	ubiC//dgcZ//prmC//rhaA//
AlaS-L-alanine	argB//
AllS-allantoin	lysC//cysN//moeA//
AraC-L-arabinose	bcsA//cysJ//katE//fabZ//glnA//sgbE//glpX//
ArcA-Phosphorylated	phnI//araD//moaA//speB//fadI//ssuE//aceF//ilvC//frdB//aroH//epd//paaF//purA//rnpB//cueO//glgB//cysC//mhpF//pta//metA//bcsA//citE//puuA//manA//paaE//ybjG//xdhC//tsaE//entA//udp//cysI//glyA//ilvH//ppiA//umpH//ugpQ//melA//sgbU//kbaZ//idnK//ilvN//aceF//bglB//ybjG//glgA//puuB//tdh//feaB//nrdF//ilvN//yeaE//rnpB//hyaA//tauD//hycF//ilvI//trpB//lpd//fabZ//glcD//gutQ//bglB//phnM//bioD//ynfE//entH//frdD//gatZ//acs//gpmA//serC//sgbU//betA//mhpF//gpmA//entE//rdoA//bacA//puuE//torC//ynfF//glpA//aceE//cadA//glnA//hycD//glnA//ynfF//mhpA//sodA//acs//rutD//tnaA//ldtB//guaA//gatZ//glyA//
ArgP-L-arginine	glpX//bcsB//aroG//ubiG//lpxB//metB//gcvT//gpmA//fadJ//avtA//nrfB//
ArgR-L-arginine	glcF//paaC//gabT//araB//yjeF//preA//argF//glpD//galM//dgcZ//aroG//agp//waaH//bcsA//aroL//ada//uvrA//fabZ//metA//nirD//katG//xdhB//mdh//
AtoC-phosphorylated	deoB//manA//hypF//
BaeR-Phosphorylated	glgA//sufS//
BirA-bio-5-AMP	nagA//pagP//cysH//phnL//dgcZ//
CRP-cAMP	prpC//sucA//sodB//bioB//ftnA//cysJ//ybjG//astD//waaH//caiC//fumA//lpxA//gcvP//pnp//aroL//glyA//hypB//nanE//rdoA//gapA//hflX//ppiA//ulaE//deoA//pnp//rutB//prpB//nrdE//rutC//argI//paaE//serC//cysC//paaZ//uxuA//ulaD//glnA//mutL//umpH//tyrA//paaH//folA//uvrA//chbF//paaE//frdC//prpE//allD//entD//gntK//gatZ//truB//hyaA//melA//dkgB//hycC//ascB//codA//appA//sodB//dmsC//ascB//amn//chbF//fes//dsdA//tdcG//argA//citX//tyrB//araA//cysD//preA//hemA//feaB//argG//puuA//pyrD//galM//hflX//ahpC//nrdF//napA//ubiG//rbsK//kbaZ//aroH//argD//alkB//yfeW//lysC//argH//cyoE//tyrB//alaS//truB//cysD//cdd//sucD//gadB//gpmA//gapA//nrdD//abgB//ilvN//nanA//rhaB//pyrD//upp//napH//cysG//glgP//hpt//lyxK//astC//ampD//aspC//glpK//metK//lpxB//dmsA//cynS//mltC//sucB//tadA//citX//dadA//ubiX//tnaA//rdoA//trpC//idnD//sdhB//atoB//alkB//yfeW//moeB//pgaC//pheT//dadA//paaB//gabD//aldA//gltD//garR//ilvG_1//hyaB//glyA//sodA//moeB//fucK//fau//glgA//talA//hflX//uxaB//chbF//miaA//appA//betA//lysU//argH//uxaC//rhaB//pgaD//gnd//torC//cpdB//fadD//malY//sgbE//dnaE//citX//purF//paaK//purD//hemA//trpA//citG//fucI//cysN//gcvH//moaA//metH//narI//paaC//pagP//prmC//nrfB//adhE//prmC//frdD//hyaB//hyaA//lpxD//xylB//polA//paaH//alaA//entB//dgcZ//hpt//uxaC//purB//ahpF//icd//entB//caiB//argF//eda//malZ//gcvH//paaI//hycD//cueO//pnp//uxuA//entB//dadX//gntK//lyxK//xdhA//deoA//xdhA//purN//argD//aceA//fucU//betA//gdhA//dmsC//melA//cyaA//tdcG//mhpA//recF//gcd//carB//astB//uxaC//glcE//mtlD//preT//paaE//lldD//speA//gpmA//folA//sucC//prpE//rhaB//ispE//cysM//rnpB//cheB//hflX//paaE//yeaE//lhgO//tehB//glgC//sgbH//aldA//fucA//cadA//alkB//narI//oxc//napG//paaC//gabT//udp//udp//ilvG_1//idnK//caiC//moaD//xdhB//lpd//paaE//argG//phnG//bcsZ//ubiG//garL//bcsZ//entE//rutD//fucO//aspA//
