# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	atoB//alkA//yfdE//ansB//
AlaS-L-alanine	aroH//
AllS-allantoin	hemL//glnA//cysC//
AraC-L-arabinose	mpl//glcF//ilvD//cysG//nrfA//ilvG_1//lsrG//
ArcA-Phosphorylated	eda//pck//nanE//hemA//rhaA//feaB//frdA//betB//nanK//cheB//napC//cyaA//phnN//uxaC//fadI//rdoA//waaH//aceB//miaA//ugpQ//aroL//narG//xdhC//alkA//prmC//lysU//epd//glpK//cheB//lyxK//fadI//aldA//gcvH//sdhD//lsrF//fadD//malS//deoD//iscS//pgk//fadJ//atoA//uxuA//paaB//xdhB//phnL//ynfE//cadA//eda//napC//uxaB//fadB//entC//frdB//phoA//abgA//nanM//nrfA//ung//lyxK//argI//tnaA//phnM//xapA//ssuD//cueO//mhpF//prpE//nanA//araA//ilvI//hyaB//rutD//fumC//yiaK//nrdA//ubiC//ispE//pncB//uxaC//udp//truB//yiaK//glcB//trpC//aroL//rutB//fdhF//ynfH//ftnA//serC//fdhF//hycE//ulaD//lysC//metC//ynfF//
ArgP-L-arginine	patZ//aldA//rnpB//astA//gltA//ogt//ppiA//adhE//fabZ//glpD//napA//
ArgR-L-arginine	ilvA//metH//phoA//glyA//purF//caiB//tyrB//tdcE//narH//waaH//aldB//nirB//allE//prs//carA//rutB//hycB//rdoA//kbaZ//atoB//bglB//ilvD//fadA//
AtoC-phosphorylated	glnA//sucD//upp//
BaeR-Phosphorylated	puuE//paaI//
BirA-bio-5-AMP	gltD//ilvM//preT//fadA//ilvA//
CRP-cAMP	hycD//phnL//cysI//lldD//glgC//bacA//ynfE//phnP//allE//lysC//glpQ//tadA//gdhA//purA//kbaZ//lacA//fucK//atoB//pgaD//cheR//rhaD//hyaA//prmC//carB//trpB//abgB//sucB//argG//dapD//purH//hflX//argA//alkB//phnJ//pgpC//lpd//glpD//argB//allE//xylA//hemA//metL//hflX//napG//ansB//sdhB//alkB//glcE//hypF//purF//fumC//ilvA//ldtC//glcF//glgX//metB//lpxD//lsrG//purC//ilvI//ubiA//zwf//bioC//nadC//trpD//nrdF//fadB//murQ//preT//fadE//metA//manA//gutQ//tdcB//pnp//mutL//fadA//oxc//hycB//ilvM//gpsA//cadA//ahpF//dmsA//astC//uxuB//rhaA//yqjH//uxuA//speB//alaS//acs//lldD//ilvI//trpE//ascB//ilvD//ahpC//fadB//alaA//entA//tdcD//purM//glyA//entC//gpmA//patZ//paaA//cueO//bioF//purE//citX//lldD//sodB//bcsB//feaB//aroG//bcsZ//galM//purE//amn//malS//citC//fucI//ung//xdhB//trmD//puuD//rhaB//dmsB//pgk//uxaA//rutE//hycD//glpK//fumB//phnH//tdcB//tyrA//atoD//fucK//glyA//gnd//phnJ//xylB//dmsC//cysJ//idnO//lysA//argI//malQ//gdhA//nrfA//gabT//lhgO//xylA//udp//argD//gntK//pflB//hyaA//hcp//ftnA//malY//yfbR//uxaA//gutQ//tdh//sdhB//sdhB//deoC//citC//pgaD//carA//entC//cyaA//melA//frdD//cysC//ulaE//melA//rhaD//astE//glpD//cysM//garK//citG//idnK//glyA//aspC//mhpC//mtlD//betA//nrdD//atoA//ilvH//hemA//melA//idnK//nagA//mhpE//argE//atoB//acnA//ugpQ//phnO//codA//gabD//prpE//dadX//hycD//napH//atoA//caiC//hycE//argH//dnaE//glcE//speA//hyaB//hyaA//prpC//pyrD//katG//deoB//phnH//ynfE//ogt//gatD//frc//speC//citX//mhpF//purA//psd//yeaE//entH//aceF//argG//fadE//mltC//ybjG//polA//yqjH//oxc//uxaA//malZ//lpd//ilvM//purK//patZ//codA//fadI//fdhF//fumA//aceA//paaB//truB//cynT//sdaA//zwf//nrfA//lpxB//serA//lpxB//nrdB//fes//betA//prpC//tehB//sufS//aceA//sodA//malY//cpdB//rhaA//trpE//dmsB//cueO//fucO//metL//metL//gatD//ilvD//ogt//malS//aldA//phnM//ubiX//galK//
ChbR-Monoacetylchitobiose-6P	gapA//lldD//aroL//
CpxR-Phosphorylated	aldA//speC//fumC//deoC//puuD//fadH//gpsA//paaA//trpA//mhpB//napH//dadX//bioF//gpsA//deoB//bglB//aroA//aspC//paaI//ilvN//nrdD//udp//
CreB-Phosphorylated	amn//cheB//bioF//
CueR-Ag	fdhF//nanA//idnD//frc//
CueR-Cu+	patZ//fadH//galM//deoA//
CuerR-Au	puuB//uxaA//cyaA//murQ//
CusR-Pasp	gutQ//cueO//mdh//
CynR-Cyanate	sdaA//waaH//purC//
CysB-N-acetyl-L-serine	bioB//gapA//phnP//napC//alaA//xdhC//pyrC//narI//argC//dadA//hycC//bioB//cysM//bioA//garK//treC//
CysB-O-acetyl-L-serine	gntK//moeB//lyxK//melA//argB//deoC//lpxA//puuA//ppiA//lldD//serA//tdcD//idnK//citG//ugpQ//aceF//fadD//
DcuR-Phosphorylated	hyaC//lldD//gabD//purK//
DnaA-ATP	puuC//nrdA//hycE//glpQ//pgaC//puuA//
DpiA-Pasp	cysK//nirD//eda//xdhB//tdcB//
DsdC-D-serine	hycB//gntK//
EvgA-Phosphorylated	katG//pdeF//bcsZ//purN//lacZ//
FNR-Fe_reduced	aroF//glpQ//avtA//purC//cysD//paaE//ilvD//glgC//eda//argG//aroF//upp//rutC//cpdB//carA//gcd//garL//yfbR//frc//ahpC//cueO//slt//trpD//argD//uxuA//glcB//ubiC//xdhB//gcvP//ybjG//gcd//gntK//oxc//lyxK//glcB//dsdA//fau//citG//dadA//sucB//deoD//treC//hypF//gltA//glpE//aspA//trpA//citG//glgX//fau//entE//ynfE//paaE//folE//aceB//cueO//xdhB//pnp//trpD//ulaF//dkgB//garL//polA//mhpA//preT//prpE//mtlD//rhaB//napG//cysD//sucD//cynT//speA//moaD//glpD//frdB//trpE//abgB//tehB//glpD//sdaA//nrdF//purF//cheB//phnP//glpC//lpd//rnpB//yjeF//tdcD//codA//glnA//atoB//ubiX//guaA//hcp//xylA//pgk//cueO//hycD//ldtB//tdcE//ynfF//ilvN//pck//phnL//nrfB//sucD//gntK//entD//guaA//codA//fadH//guaA//katE//dnaE//tktB//nadC//deoC//yqjH//puuC//ilvB//atoB//kbl//mhpC//uxuB//fadB//
FhlA-Formate	nirB//guaA//lysU//pck//aroF//tdcB//pheT//
FucR-L-fuculose-1-phosphate	ynfG//malZ//miaA//gltA//ynfF//paaA//
Fur-Fe2+	rutC//phnP//ispE//malQ//malP//glyA//speC//kbl//chbG//serC//glgC//ahpC//dsdA//argB//idnO//purF//prpC//metF//slt//speA//guaB//fdhF//cueO//mltC//yeaE//phnM//citE//hycD//glcB//malP//ulaF//lyxK//nrdA//hmp//deoC//pagP//uxaA//paaZ//ansB//yfeW//ilvH//ilvB//ynfE//mhpA//gcvT//glyA//recF//speB//prpC//purL//glpD//ilvA//glgA//icd//cpdB//astE//bcsZ//ampD//nrdD//puuD//gcvH//ndh//cheR//cyaA//lysC//cpdB//tsaE//gcvH//dmsB//
Fur-Mn2+	xdhB//hyaC//icd//hycG//gcvP//patZ//lysA//mhpC//oxc//lhgO//bioC//ubiX//lacZ//adhE//kbaZ//cdd//ubiG//ispE//mhpC//glnA//hyaA//ispE//mhpE//thrS//fadE//paaG//yiaK//lysU//tam//ahpC//tdcB//nrdB//sdhB//preT//glgX//ung//katG//cysN//metK//ulaE//purN//prpD//tdcB//gltB//nanK//pheT//cynT//aceB//tdcB//prpE//frdA//nrfC//acs//moaD//tauD//gapA//serA//cynT//cysJ//gatZ//ynfG//katE//glgX//ilvB//citF//caiD//glpB//thrS//yfbR//
GlcC-Acetate	aspC//pta//nanE//
GlcC-Glycolate	mhpD//mhpE//gcvT//
GlrR-Pasp56	
IclR-pyruvate	argD//aroF//entE//
IdnR-5-ketogluconate	ahpF//garL//cysJ//mhpD//garL//lacZ//
IdnR-Idonate	cysI//epd//uxuA//cynS//ilvM//abgB//
IlvY-2-acetolactate	amn//
IlvY-Alfa-acetohydroxybutirate	phnO//
IscR-2Fe	mdh//rbsK//napH//mhpF//puuC//phnH//upp//
LldR-L-lactate	nanK//cynT//
Lrp-Leucine	edd//argG//feaB//cyoE//hmp//paaF//bioC//pyrD//mdh//atoD//dmsB//argD//entB//lysA//chbF//sdhB//gltA//nagB//hycG//pgaD//citD//napB//ogt//paaE//aroG//napG//slt//entA//nanE//tnaA//glgB//lldD//ulaE//lpxA//atoA//glyA//dmsC//fumC//sodA//
LsrR	napB//murQ//ansB//mhpC//dapB//
MalT-ADP-Maltotriose	mutY//napB//astA//abgA//xylB//lacZ//
MalT-Maltotriose-ATP	deoC//uidA//chbF//napG//bacA//narG//
MelR-Melibiose	betB//appA//
MetJ-S-adenosylmethionine	pdeF//malQ//srlD//cysM//argA//citE//pheS//abgA//lacZ//deoA//
MetR-L-homocysteine	hpt//garK//purL//hycD//
MhpR-3-DHPP	ndh//prpC//gatD//paaI//yfbR//argI//
MhpR-3HPP	nrdD//phnN//oxc//treC//ilvH//fadD//
MntR-Cd2+	paaH//fadB//
ModE-MoO42-	citX//tdcB//uxaB//paaJ//entH//dapB//nagA//glgX//xapA//sucC//frc//galT//mltC//entC//
NarL-Phosphorylated	hflX//hcp//ahpC//gltB//ada//hyaC//alaS//sdaA//cysI//glgC//hycF//nrfD//ilvB//paaA//gpmA//gnd//trpD//fucK//paaJ//nagA//tdcD//agp//araD//lysA//mhpD//malY//puuC//chbF//sucD//sodA//fucU//glpQ//yqjH//cysG//glcF//phnH//cpdB//pagP//
NarP-Phosphorylated	guaA//ppiA//nrfC//mhpB//pyrD//avtA//mdh//narG//argC//paaJ//gabD//
NhaR-Na+	prpB//pdeF//mltC//lysU//citE//
NikR-Cd2+	hycE//
NikR-Co2+	fdhF//
NikR-Cu2+	tyrB//
NikR-Ni2+	lsrG//
NikR-Zn2+	melA//
NrdR-ATP	pncB//yiaK//guaA//lldD//
NrdR-Zn2+	lacA//araD//malQ//napC//
NrdR-dATP	moaA//puuE//dusB//dadX//
NsrR-2Fe	argD//trmD//aldB//astD//sdhB//caiA//metL//xylA//ahpF//glgX//thrS//tehB//yjeF//torA//oxc//cheR//cdd//ilvG_1//malP//rutE//astE//ubiC//iscS//nrfC//hypB//entF//cadA//metE//fes//deoD//
PhoB-Phosphorylated	phnN//umpH//gatZ//dmsC//ung//moaE//gapA//patZ//ubiA//fbaA//tsaE//araD//ilvA//mutL//glpB//paaH//yiaK//upp//araA//preT//
PhoP-Phosphorylated	gltA//paaJ//metA//trpC//puuC//mhpF//ogt//hypB//pck//cysG//narH//mhpB//ynfE//purF//malP//astE//preA//udp//frdD//edd//pheT//citC//yfeW//phnG//astB//deoD//hycD//nanK//moaE//betA//lysU//garK//lysU//glgA//tdh//
PrpR-2-methylcitrate	napA//dapB//chbG//uxaC//
PurR-Guanine	upp//carA//aceE//napB//gabT//gdhA//bioF//serC//xdhC//cadA//tdcD//prpE//fadD//aceF//lsrF//purF//glcD//fadH//phnI//frdC//xdhB//dapD//phnM//phnG//lpxD//dnaE//fadI//
PurR-Hypoxanthine	dapB//paaI//fadD//alaS//hemA//tdh//alaA//tdcD//ndh//yjeF//fadE//alaA//mutL//yqjH//ldtC//fucA//bcsZ//pgaC//hycB//mdh//hemL//sdaA//glcF//fucI//carA//katG//uidA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	uxaB//fadE//ynfG//gapA//
RstA-Phosphorylated	purL//aldA//bcsZ//
SoxR-2Fe_oxydized	prpC//ampD//
TorR-Phosphorylated	mutY//paaB//fumC//
TrpR-Tryptophan	pgk//hycG//ada//napG//cynT//lpxB//narH//rbsD//cysJ//
TyrR-L-tryptophan	argG//aspC//nirB//aspA//puuA//gdhA//metC//aspA//mhpD//
TyrR-Phenylalanine	yeaE//moaD//ilvI//talA//aroG//idnK//paaE//ssuE//ilvG_2//
TyrR-Tyrosine	lsrF//torC//uxuA//glyA//nagB//sucD//gatY//cysK//gutQ//
UhpA-Phosphorylated	caiC//
XapR-xanthosine	nrdA//nanM//
XylR-Xylose	ynfH//dadA//citF//
ZntR-Cd2+	malS//
ZntR-Hg	agp//
ZntR-Zn2+	malZ//
ZraR-Phosphorylated	
Zur-Zn2+	hycC//
