# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	manA//argH//tyrA//mtlD//
AlaS-L-alanine	puuA//
AllS-allantoin	tyrB//yfeW//speB//
AraC-L-arabinose	yiaK//aroL//araB//dmsC//ilvM//ubiG//aroG//
ArcA-Phosphorylated	ubiG//miaA//pagP//chbF//ilvG_1//tyrA//tdcD//hycC//puuC//fadE//preA//ilvG_1//tadA//aceF//argB//slt//glpQ//sodA//paaB//citC//gntK//nrdD//pheT//lhgO//tdh//yfbR//patZ//patZ//dadX//nrfC//mltC//ugpQ//speA//sgbU//mhpF//gutQ//idnD//mhpA//allC//allE//entD//napA//garL//fucK//katG//ung//pncB//guaA//cysM//citE//pgaB//folE//yjeF//udp//allE//upp//ubiA//nirD//lysC//fumB//fumB//tdcG//ynfF//pncB//betB//nrdB//moeA//ssuD//ulaF//xylA//atoA//rhaB//bioC//purM//purK//ybjG//edd//aceB//nanA//fadD//moaE//gatD//aroH//ugpQ//slt//entF//fau//sucA//murQ//glpD//argH//adhE//gatZ//pgaD//citD//torA//ubiC//
ArgP-L-arginine	nrdB//ndh//prpC//cysH//bcsB//lsrK//melA//rbsD//ilvN//pdeF//trpE//
ArgR-L-arginine	hmp//speA//dapB//sucA//paaC//gapA//cheB//ulaE//gpmA//cysN//pgk//lpxD//purE//pheS//hycC//argC//tsaE//rutA//melA//yiaK//paaG//kbl//lsrK//
AtoC-phosphorylated	araA//ilvN//mutL//
BaeR-Phosphorylated	icd//srlD//
BirA-bio-5-AMP	katE//gatZ//folE//malZ//ackA//
CRP-cAMP	gnd//argB//citG//puuC//hycD//cysJ//sodB//acs//hycE//galE//mhpE//pgaC//dadX//gdhA//phnO//ynfG//frdC//mutL//ogt//hemA//argF//argI//mhpD//serC//alkA//caiD//betA//glpQ//citX//purM//uvrA//lsrK//argC//lldD//nirD//codA//frdC//paaI//cysJ//sgbE//purH//lhgO//phnO//nrdA//galM//treC//dnaE//acnB//nadC//puuE//speA//ilvI//mltC//uvrA//hycE//frdD//argI//entF//hypB//argD//cysK//gntK//acnB//serA//frdC//yfdE//fbaA//hypF//lacZ//metH//cysM//glgP//ilvN//tsaE//carB//prs//hcp//galM//yqjH//atoD//araD//trpD//gapA//sgbH//pncB//sdhD//allE//araD//gadB//patZ//hycF//lsrG//ldtC//nagB//bioC//cueO//fadB//aspA//lysU//cpdB//caiC//fumB//ascB//fucO//araD//ogt//tam//rutB//sucA//fadE//moaA//moeA//mhpA//ulaF//entA//deoB//gntK//dnaE//hycF//nirB//paaA//metB//sodA//galE//purC//moeB//fadH//recF//nrdB//mhpA//gcd//preT//phnN//prpD//pyrC//lysU//argH//nrfA//purN//gutQ//phnG//manA//glcE//ispE//glpB//narI//lldD//alaA//treC//upp//nrdA//hpt//gltB//deoD//nrfD//aceF//phnI//nanA//argG//atoD//bcsA//nrdB//mtlD//bioD//hmp//mtlD//nadC//cysD//ynfF//lpxD//mutL//aceA//ulaF//gltD//deoB//ssuE//hyaC//ssuD//trpD//xylA//carB//gpmA//sufS//paaG//nrfC//nrdE//napH//phnM//xylB//tehB//bglB//nanM//tehB//eda//phnM//psd//gltA//fadI//phnL//trpE//lhgO//tehB//rutD//speA//entE//waaH//lsrK//allD//uxaB//torA//galK//pta//gnd//ascB//fadE//dmsB//bioA//agp//ldtC//metA//uvrA//manA//paaA//entB//ynfF//gnd//carA//truB//fadA//sodA//glpB//aroG//mhpB//galE//yeaE//pflB//rbsD//ogt//puuE//entD//purE//tdcB//serC//gpmA//alkA//dkgB//xapA//sufS//lpxA//gpmA//bcsZ//rutA//umpH//yjeF//araD//phnM//trpA//trpD//phnJ//deoA//sdaA//cysM//katG//astC//amn//ldtC//napB//glpA//sucA//caiD//sodB//citC//allE//fes//gatZ//malP//bioA//ubiG//uxuA//prpE//gcd//kbl//metB//narI//nagA//katG//polA//gltB//fadB//aceE//
ChbR-Monoacetylchitobiose-6P	purN//zwf//mdh//
CpxR-Phosphorylated	moaE//waaH//hypF//gabD//gatY//paaZ//napC//paaA//nrfA//fbaA//citE//eda//fabZ//galE//astC//pyrD//metF//hypF//cheR//sdhA//katG//fadA//
CreB-Phosphorylated	fucA//lpxA//fadD//
CueR-Ag	upp//ilvD//caiC//deoB//
CueR-Cu+	purF//sgbH//rhaD//prmC//
CuerR-Au	ulaE//yeaE//epd//yfdE//
CusR-Pasp	fes//guaB//sucB//
CynR-Cyanate	tehB//gatZ//dgcZ//
CysB-N-acetyl-L-serine	metA//acnB//yfbR//allD//argB//aceE//nirB//nrfC//tnaA//ulaF//hyaB//caiD//metA//mutL//bcsA//betB//
CysB-O-acetyl-L-serine	mtlD//glgB//frdB//gltB//rutA//nirD//narG//fucU//citE//hmp//fadD//entF//argB//iscS//ilvC//lyxK//ilvC//
DcuR-Phosphorylated	astD//entC//bacA//citC//
DnaA-ATP	pheT//tdcB//astA//astB//glgX//gcvP//
DpiA-Pasp	waaH//alkB//galM//sdaA//purL//
DsdC-D-serine	fumB//puuA//
EvgA-Phosphorylated	hyaB//tdcB//dmsA//tyrB//gatY//
FNR-Fe_reduced	ulaF//tdcE//frdA//aceE//pgpC//ubiX//ampD//aroH//tdcB//tktB//cdd//phnN//pgaD//glpD//tdh//atoB//glcF//yqjH//frdB//melA//atoA//tehB//rnpB//idnK//ilvH//hpt//umpH//fabZ//yfeW//ung//bioA//pheS//torA//metH//dmsA//purK//purN//metL//truB//araA//katG//malQ//tktB//prpC//tauD//garR//carB//lyxK//cysC//metL//glgP//purF//gdhA//gcvP//entA//trpA//truB//ynfH//tehB//deoA//nagB//oxc//ilvA//rbsK//phnN//moaA//dmsB//puuE//argB//fes//gatD//ldtC//sucC//melA//dmsB//moaD//bcsB//pyrC//yfbR//paaI//tdcG//torC//amn//glgC//argI//aceA//mhpB//torA//paaA//gatD//metH//paaI//torA//purK//bioB//ldtC//lysA//dmsA//argA//purA//fumB//treC//bglB//xylA//alkB//sgbH//argI//nanK//glpQ//mhpF//glcE//gcd//nanE//fadE//gpsA//ynfF//ynfE//glcD//cysK//serC//truB//hycF//citD//paaG//deoD//glgC//frdC//
FhlA-Formate	rbsD//argE//uxuA//gadB//yjeF//mhpE//aceF//
FucR-L-fuculose-1-phosphate	adhE//glcF//frc//speC//aceA//cynS//
Fur-Fe2+	hmp//cyaA//purH//hycG//fadD//allC//prs//metF//entD//argA//phnL//treC//dkgB//ung//trpA//allC//bcsB//ilvG_1//ilvG_1//puuC//pnp//patZ//recF//ilvG_1//paaA//phnH//aroL//bacA//gapA//pck//mhpD//bglB//hycG//lsrG//rhaA//oxc//purK//uxuB//yfbR//yqjH//uxaC//speA//metL//glyA//lysU//fabZ//cyoE//rnpB//glpA//lysU//glcB//araB//prpC//nagB//ldtB//bcsA//prpB//ynfF//galE//thrS//hycB//fumA//rbsK//mpl//prpB//fdhF//sgbH//caiC//nanK//
Fur-Mn2+	aceE//pnp//caiC//hflX//gadB//guaA//ansB//ubiC//ung//napG//lsrK//xylB//aroA//sdhC//glpE//bacA//lacZ//guaB//deoA//uxaC//betB//yqjH//cysH//pflB//recF//ubiX//gatZ//nrfD//ilvN//mdh//dmsA//chbF//gatD//fadI//cpdB//aroG//metH//paaE//gcvP//alkB//dapD//caiD//tdcE//lyxK//xdhB//sdhA//citG//gatZ//udp//malZ//hycB//napC//yfeW//rutA//appA//astA//puuC//sgbU//cysG//yfeW//garR//fau//narH//phnP//idnD//speB//sgbU//cyoE//alaS//
GlcC-Acetate	epd//ubiG//ldtB//
GlcC-Glycolate	mhpB//entB//alkB//
GlrR-Pasp56	
