# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	lysC//sgbE//purC//sgbE//
AlaS-L-alanine	trpE//
AllS-allantoin	polA//phnO//bcsZ//
AraC-L-arabinose	sodA//tam//paaC//hyaA//purD//ssuD//rhaD//
ArcA-Phosphorylated	slt//pck//metF//pyrC//rutE//cadA//araB//hflX//hycD//abgB//xylB//ssuD//nrfD//lpxA//ilvN//chbF//glcD//torA//gdhA//mpl//rbsK//acnB//ogt//slt//nirB//entH//cysJ//rbsD//lsrK//sdhD//talA//argF//rutE//fumB//yfbR//ynfE//sgbE//pheT//gpmA//gatZ//rutE//moaE//gltB//frdC//nirB//allE//ppiA//dusB//pta//dmsB//pncB//fucU//dmsB//lsrK//xdhC//glpA//frc//frdC//idnD//fau//ilvI//tdh//yjeF//argC//purD//lpxD//glcD//ilvN//cysJ//caiB//atoA//cheR//ugpQ//cdd//betB//acnA//ilvM//xapA//zwf//pflB//sdhD//entD//purD//udp//fadA//adhE//argA//bcsZ//agp//caiD//ulaF//paaF//dapB//fabZ//frdB//trpD//lhgO//
ArgP-L-arginine	ssuD//ilvB//bioC//yiaK//bioC//ogt//moaD//atoB//mpl//treC//lpxB//
ArgR-L-arginine	avtA//folA//moaA//aroG//fucU//hflX//lsrG//malY//nrdD//malS//purH//chbF//pck//sdhB//citC//gatZ//xylB//manA//zwf//ampD//tsaE//caiA//napA//
AtoC-phosphorylated	cysM//cheR//phnP//
BaeR-Phosphorylated	araB//frc//
BirA-bio-5-AMP	lsrF//aspA//tadA//cheB//hycF//
CRP-cAMP	araA//purC//tktB//paaA//aceA//speB//ampD//sucD//phnO//cheR//narG//frdC//hcp//aceE//napA//moaA//ynfE//tnaA//prmC//pheS//citF//fadJ//ssuE//pnp//rbsK//tyrA//preT//tsaE//malZ//nrdB//sucA//phnM//ahpC//garL//uvrA//cysG//dmsB//fdhF//malS//metF//lhgO//tyrB//tdcB//garL//glpC//deoB//phnG//eda//araA//deoD//hycG//citG//hpt//rutB//mdh//fucO//talA//glpC//rhaA//cysH//ung//trpE//dusB//citF//sdaA//nrfD//sodA//gpsA//betB//abgB//dadA//cyoE//prpE//speB//caiC//frc//yqjH//acnB//paaJ//gntK//glpX//glgC//tdcE//alaA//bioF//nagA//citC//xdhB//malS//gabT//ftnA//argC//tdh//aroF//hycB//hemA//ilvB//uvrA//sgbE//tdcB//argD//fadE//metA//prpB//cyoE//phnI//ynfF//aroF//galT//pncB//bioA//pheT//cdd//ulaF//fes//hycF//tdh//pyrD//gutQ//fadA//yfdE//agp//sdhB//gatD//pncB//hycE//sufS//purH//avtA//frdD//fadJ//glcE//hflX//bacA//glpE//fucI//dadA//ilvI//dadA//glpD//lpxA//katE//entH//betA//prpC//udp//pgaC//alkA//tauD//fdhF//idnD//cysG//dapD//dnaE//sdhA//ulaE//pgpC//bioC//tsaE//ubiX//rutA//astE//uidA//fdhF//malS//glcE//galT//nanK//lldD//argH//folA//frdA//metA//nrdA//dmsC//paaI//moaD//gabT//paaF//dgcZ//purD//gnd//treC//fumA//glgA//sufS//glpD//treC//cadA//fadH//cyaA//gcvP//tdcD//allD//cysD//deoB//aceB//phoA//fau//napH//treC//puuB//phnJ//astA//guaB//hyaC//paaZ//tdh//glnA//hcp//uxaB//metE//cpdB//ascB//phnG//betB//iscS//paaF//serC//bcsZ//astA//hflX//allE//mdh//hemL//sgbE//paaJ//hyaB//bioD//nrdF//glgC//murQ//pheS//dsdA//fdhF//fadJ//glpX//aspC//ubiX//pck//paaC//paaA//nirD//entF//ilvC//alkB//mhpB//fumA//yiaK//glgP//entA//moeA//ubiC//treC//mutL//purM//kbaZ//hypF//folE//tdcD//adhE//tam//phnI//metK//entH//glpD//bcsB//fucO//ndh//prmC//tyrB//betB//deoA//tsaE//caiB//moeA//ispE//purD//fumA//mhpF//rhaB//puuB//alaS//nirD//atoA//nrdB//nrdA//epd//psd//paaG//
