# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	tdcD//dinB//
Ada	amn//lhgO//napG//mhpF//
AdiY	fadA//fabG//gltD//ynfH//
AgaR	epd//
AidB	yiaK//
AlaS-L-alanine	poxB//
AllR-allantoin	speB//allB//leuC//guaB//fucU//aroL//
AllS-allantoin	recD//cysK//glcF//
AlsR	betB//uxuA//leuB//
AppY	ulaD//trpD//
AraC	astB//prpB//fadE//
AraC-arabinose	atoA//rimK//idnO//ulaE//deoB//alkA//ilvM//rnpB//
ArgP	yeaG//poxB//paaY//grxA//galK//phnG//malY//eda//
ArgP-arginine	guaA//
ArgR-L-arginine	gntK//glcF//citD//talA//hcaF//araB//pgpC//malZ//purH//fadJ//dhaL//lacA//folE//ugpQ//sucA//paaB//fadA//lysC//truB//murQ//araB//allB//mhpB//
ArsR	phnJ//aspC//
AscG	treC//dhaK//
AsnC	moaC//fumB//
AtoC-Phosphorylated	acnA//astA//puuD//
BCCP	tyrB//
BaeR-Phosphorylated	citG//gloA//
BasR-Phosphorylated	fadJ//eno//atoA//
BetI	ilvH//murD//ynfF//
BirA-biotinyl-5-adenylate	bioB//lysA//metL//hyaC//yfdE//
BluR	
BolA	alkA//aceA//
BtsR-Phosphorylated	allA//
CadC	phnM//cyoE//xylA//
CaiF-L-carnitine	gdhA//torC//citE//fucU//citC//
Cbl	alaC//hemH//purM//galE//waaH//
CdaR	yeaG//tnaA//ung//fdhF//lyxK//hycD//fumB//pheS//fadJ//
CecR	pyrD//
ChbR	rtcB//pgpC//appA//
ChbR-N-monoacetylchitobiose-6-phosphate	eno//frdD//fabA//
ComR	
CpxR-Phosphorylated	tauD//dkgA//malZ//phoA//garD//gadA//paaA//paaF//glpA//ogt//adiA//metB//hemL//trpD//ynfF//hyaC//aceA//frdC//fabG//glmS//citX//
Cra	carB//aceB//recF//moaC//nagA//murD//purM//moaD//ilvI//cadA//rutC//ogt//polA//dgcC//aldA//sucC//slt//hycF//yqhD//ilvH//pepD//phr//sdhB//dmsC//malZ//fadI//mazG//purF//wrbA//gatZ//frdB//polA//phnH//lpxA//leuB//cysG//ubiC//yqjH//wzc//iscS//gadA//moaD//thrS//leuA//ydcS//fabD//aroH//dadX//phnN//rimK//pgaB//idnK//katG//metB//deoD//dacC//ychF//pgi//nrdD//
CreB-Phosphorylated	tpiA//thrS//
CsgD	trpB//purE//allE//tdcB//dadX//
CsiR	alaS//aspC//dsdA//torC//
CspA	paaK//
CueR-Cu	leuB//fucI//polB//mtlD//purA//
CusR-Pasp	fau//feaB//glmS//ynfE//
CynR	
CynR-cyanate	purK//lyxK//ppiA//
CysB	mdh//atoB//
CysB-O-acetyl-L-serine	entH//gor//nrdE//idnK//glcB//ygeA//malQ//argB//alaS//lysU//entH//pnp//glcE//hcaB//phnI//
CytR	malP//arsC//yqjH//ruvA//argA//aroL//purH//aroL//cysH//dinB//
Dan-L-tartrate	yeaG//torA//
DcuR-Phosphorylated	puuE//ulaD//phoA//bioD//
DeoR	caiC//nagA//lpd//carB//aspC//ssuE//
DhaR	uxaA//
DicA	
DinJ-YafQ	ilvG_1//
DnaA-ATP	sbcC//purA//leuB//lldD//ilvC//cysD//
DpiA-Pasp	gloA//torA//ugpQ//argH//hyaA//
DsdC-D-serine	luxS//phr//
EbgR	
EnvR	murQ//caiB//
EnvY	rutB//ycjG//
EvgA-Phosphorylated	ftnA//tauD//talA//fabB//trpE//entC//
ExuR	rffH//ftsI//moaE//argE//lyxK//glcB//
ExuR-alpha-D-galacturonate	
FabR	bioD//entA//lpd//
FadR	mtlD//sdhC//gor//cysK//speB//mhpD//idnK//rutB//ssuE//ybjG//gcvH//melA//dacC//murE//tdcG//uvrB//folE//pdeR//pgi//
FadR-acyl-CoA	
FeaR	yfdE//truB//
FhlA-formate	argI//folE//nanK//cysD//accD//garK//dmsA//paaK//
FlhDC	pgm//hcaC//dkgA//aspA//fadD//bioB//sucC//lpd//allA//fadM//ubiC//nrdB//pyrC//patD//
FliZ	garR//prpD//narG//lhgO//gpmM//
FucR-L-fuculose-1-P	glcE//mhpA//uxuA//glnA//recD//murE//
Fur-Fe2	hycG//gcl//araD//cysG//rffG//ribA//eda//murD//kbl//fadE//leuD//torA//lpxC//paaI//aroF//ccp//cysG//ruvA//citD//nagA//citX//yqjH//dsdA//rutD//uvrB//acnB//phnM//mhpF//gabD//astE//sbcC//lsrG//aceA//accC//bioD//deoB//carB//ulaD//gapA//yqhD//lpd//oxc//hycG//moaE//malQ//eda//fumB//ilvM//lpxC//murI//recF//malY//yfdE//folE//cysI//dapB//patD//thrS//gltB//eda//hcaB//waaZ//
GadE	dinB//mtlD//argA//ulaD//murG//moaA//caiD//bioB//yedX//argC//
GadE-RcsB	mhpC//gcvP//tpiA//ttdB//icd//
GadW	sodA//allD//fau//ldtD//
GadX	hcaE//pheS//cysM//murF//bacA//galM//paaH//metF//cysK//guaA//frc//oxc//dkgA//ampC//
GalR	asnB//paaI//uvrB//avtA//purM//wzb//
GalR-beta-D-galactose	fadJ//feaB//yfdE//recF//fumC//
GalS	hyi//cadA//rutD//caiD//asnB//uidA//
GalS-beta-D-galactose	fadI//metF//gpmM//talA//dacC//
GatR	deoC//nadB//prs//
GcvA	pykF//purA//napH//
GlcC-glycolate	umpH//phnL//gatY//
GlpR	fabZ//melA//betA//mpaA//rffT//fumB//rhaB//
GlrR-Pasp56	
GntR	rffG//eda//fbaA//mhpD//caiD//nrdA//dmsC//citX//hcaC//
GutM	recD//hypB//pyrC//
HU	sgbE//mnmG//srlD//metK//uxuA//mazG//cysN//
HcaR	
HcaR-HCA	bacA//umuD//
HdfR	
HigA	ynfG//
HigB-HigA	mhpF//
HipAB	accD//galE//
HipB	torA//guaB//fabH//
HprR-Phosphorylated	phoA//wrbA//ribA//ubiA//
HyfR	speG//
HypT-Met-oxidized	lacZ//deoD//puuD//purF//phnG//uxaB//uxuB//
IclR-pyruvate	nanE//mpl//gloA//
IdnR-5-ketogluconate	pfkA//rhaB//garK//sucD//fabB//
IlvY	
IlvY-S-2-acetolactate	ubiA//
IscR	talA//lpd//zwf//rtcB//moaE//idnK//
IscR-2Fe-2S	fabH//paaI//
KdgR	moeB//garD//
KdpE-Phosphorylated	chbG//
LacI	galK//nadA//leuC//
LeuO	fadE//glgA//uxaB//ynfE//alkB//nrdE//
LexA	tdcE//phnN//phnO//zwf//aldA//lldD//idnO//glgA//ychF//argE//umuD//fadI//ftnA//glpQ//ssuE//chbF//fucK//nanK//deoA//dsdA//glpX//adhE//nfsA//
LldR	dhaM//sodB//
LldR-S-lactate	ilvH//sucC//
LrhA	
Lrp	aceB//waaH//ftsI//glgA//entC//glxK//purA//sgbH//melA//pncB//aspC//frc//ccp//fdhF//lysC//hycC//trpA//sdaA//rnpB//ynfH//pspE//ssuE//nanM//amn//alaC//glsA//nfsB//polB//purB//bioB//allC//
Lrp-leucine	deoD//dadX//narI//rhaA//hypB//deoD//acnB//torC//araD//glpQ//uvrA//rtcA//tpiA//ogt//mtlD//pspE//yeaG//
LsrR	uxaB//paaE//ubiX//mpl//garD//
LysR	tadA//
MalI	ilvC//pgaD//
MalT-maltotriose-ATP	hyaA//entF//paaA//sgbH//puuB//glpK//
MarA	phnH//lysU//ilvC//hycG//phnL//dgcN//moaC//ubiA//argB//thrS//uvrC//nfsB//rutA//hcaD//ilvA//phnO//pheT//arsC//purN//aceB//ttdA//ung//purB//nrfD//
MarR	
MatA	phnP//
MazE	alkA//
MazE-MazF	nrdB//
McbR	
MelR	dadX//ycjG//
MelR-melibiose	pdeL//murC//
MetJ-adenosylmethionine	yqhD//malQ//katG//puuD//nanE//entA//glxK//pck//purN//astA//
MetR	gcvP//accD//
MetR-L-homocysteine	murE//pgm//
MhpR-3HPP	ilvD//folE//wzb//nrfC//glmU//nadB//
Mlc	moaA//mhpB//ilvD//phr//
MlrA	araB//
MngR	alaS//aceA//
MntR-Mn2+	cdd//purF//
ModE-MoO42-	speG//sbcD//paaG//phnG//ulaE//yfdE//alsE//glcD//paaB//kbl//ldtB//kbaZ//pgpC//gatD//aceB//argE//paaA//
MprA	pgk//galT//guaA//
MqsA	ttdA//fucU//
