# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	edd//rhaD//
Ada	fadM//carA//fbaA//gpmM//
AdiY	caiB//hycF//codA//uxaC//
AgaR	ydcS//
AidB	gabD//
AlaS-L-alanine	katG//
AllR-allantoin	ynfF//hyaA//paaY//cynT//tdcB//nemA//
AllS-allantoin	rutE//nemA//ndh//
AlsR	lldD//dgcN//ilvA//
AppY	zwf//cysN//
AraC	fau//zwf//nrdF//
AraC-arabinose	xylB//fau//ndh//sdaA//paaF//gapA//astC//nanM//
ArgP	argC//araD//uidA//ynfF//ldtD//tdh//dapB//rtcB//
ArgP-arginine	ynfH//
ArgR-L-arginine	glpQ//glk//fabB//argF//phnJ//dmsA//guaB//tnaA//ttdB//hycG//paaC//entA//galT//argA//trpB//katG//ugpQ//ldtB//gatY//nrfA//aceB//phnO//entE//
ArsR	purN//dmsC//
AscG	glpQ//dinB//
AsnC	frdD//gadB//
AtoC-Phosphorylated	aspA//mhpB//dgkA//
BCCP	glpC//
BaeR-Phosphorylated	purN//lsrF//
BasR-Phosphorylated	fucA//kbl//glpD//
BetI	tehB//rbsD//wecB//
BirA-biotinyl-5-adenylate	lpxA//cysM//idnD//uvrA//phnI//
BluR	
BolA	allD//murG//
BtsR-Phosphorylated	hcaC//
CadC	rhaA//purA//lysU//
CaiF-L-carnitine	idnD//ubiC//araD//xylA//prs//
Cbl	nagB//gudD//phnG//glgP//nagA//
CdaR	sdaA//pgaC//carA//cysK//fumB//glmU//ygeA//dmsC//purB//
CecR	icd//
ChbR	aldA//nrfC//recD//
ChbR-N-monoacetylchitobiose-6-phosphate	ada//aroL//umpH//
ComR	
CpxR-Phosphorylated	dapB//mhpF//treC//leuB//hcaE//pgpC//adiA//phnG//frdC//pspE//phnJ//fucO//entE//paaJ//murE//poxB//yiaK//fucA//citF//srkA//entH//
Cra	ynfG//aldA//folE//cysI//cueO//galK//argI//hypB//ynfH//nanA//entC//tpiA//napB//ung//oxc//ttdA//bioB//ruvA//phnO//hypB//cysN//rhaD//narI//malQ//tauD//fabA//gutQ//garD//ldtB//hycB//astE//cdd//mhpE//dadX//murC//poxB//arsC//paaA//trpB//mltF//ttdA//sgbH//glmU//rpiB//prpD//ycjG//ynfF//lysA//cysN//glsA//mraY//purA//napA//lysA//mpaA//rutA//fadM//argF//ydcS//
CreB-Phosphorylated	araD//putA//
CsgD	accD//pdeH//moaE//moeB//glxK//
CsiR	fadB//hcaB//polA//bioF//
CspA	rbsK//
CueR-Cu	rnpB//ulaG//grxA//cysM//rfe//
CusR-Pasp	dmsA//rutB//gcvT//kbaZ//
CynR	
CynR-cyanate	purB//talA//sucC//
CysB	frdB//fucK//
CysB-O-acetyl-L-serine	purK//mhpD//sgbE//avtA//deoC//glmU//grxA//lacA//fadH//slt//nrdE//glpC//cyoE//malP//hyaC//
CytR	purK//fruK//phnN//phnP//ilvM//mhpE//lpd//polB//murD//glpX//
Dan-L-tartrate	rpiB//dacC//
DcuR-Phosphorylated	ilvA//ugpQ//nrdA//fumB//
DeoR	dmsC//murC//argC//idnD//garK//nrfD//
DhaR	katG//
DicA	
DinJ-YafQ	rutA//
DnaA-ATP	polA//lacA//aspC//citF//lpxD//yqjH//
DpiA-Pasp	caiC//katG//caiC//lldD//metC//
DsdC-D-serine	entE//gnd//
EbgR	
EnvR	dapD//phnG//
EnvY	sucD//uxaA//
EvgA-Phosphorylated	pheS//fabZ//glpC//sdaA//rutB//uxuA//
ExuR	nemA//codA//polB//ppiA//sucD//dapB//
ExuR-alpha-D-galacturonate	
FabR	nrdD//hemH//lsrK//
FadR	chbF//malQ//yqjH//pnp//torC//ruvA//adiA//pepD//pgk//hemL//nadB//yeaE//patD//araB//tam//garR//thrS//rffC//glgP//
FadR-acyl-CoA	
FeaR	lpxA//prs//
FhlA-formate	fucI//paaA//pyrC//cysC//mraY//glcE//rffT//mpaA//
FlhDC	citC//treC//nanE//dapB//glcD//phnG//phnH//ttdA//hycC//fruK//aspA//yqjH//alkA//wecE//
FliZ	citC//gabT//sucD//fabI//sucD//
FucR-L-fuculose-1-P	glyA//hcaF//citF//talA//icd//rffM//
