# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	deoA//carA//
Ada	ugpQ//hemH//aspA//pfkA//
AdiY	caiB//fucI//tehB//glpB//
AgaR	metF//
AidB	glgB//
AlaS-L-alanine	mltF//
AllR-allantoin	atoB//mtlD//talA//sufS//wecE//paaY//
AllS-allantoin	glpD//sodA//umuC//
AlsR	gltB//adhE//phnL//
AppY	nagB//speB//
AraC	phnL//udp//pdeH//
AraC-arabinose	ttdA//entF//mhpB//carB//ilvD//pgi//ycjG//ilvE//
ArgP	nrfC//sodA//rutA//narH//ynfG//metE//tyrB//argE//
ArgP-arginine	katG//
ArgR-L-arginine	sdhA//cysH//narG//mraY//tdcE//uxuA//astB//glgA//amn//allE//dapD//sdhC//ydcS//citE//ynfE//betA//idnK//murF//sucA//umuC//bacA//argF//fadH//
ArsR	sdhC//cyoE//
AscG	wecE//prpC//
AsnC	glnA//wzc//
AtoC-Phosphorylated	narG//metA//glgX//
BCCP	nirB//
BaeR-Phosphorylated	napB//eda//
BasR-Phosphorylated	puuC//torC//pck//
BetI	atoD//ldtD//paaE//
BirA-biotinyl-5-adenylate	mraY//trpD//acnB//murD//adiA//
BluR	
BolA	moaC//fadD//
BtsR-Phosphorylated	gabD//
CadC	uvrA//tdcG//ychF//
CaiF-L-carnitine	idnO//bioD//recF//pspE//udp//
Cbl	dkgA//pheT//lsrK//nanM//putA//
CdaR	ilvE//ilvC//mhpF//hyi//recB//pdeH//fbaA//malZ//glpA//
CecR	fadH//
ChbR	ynfF//alsE//alaA//
ChbR-N-monoacetylchitobiose-6-phosphate	asnA//serC//kbaY//
ComR	
CpxR-Phosphorylated	mhpC//chbF//glgX//fabZ//dgkA//avtA//dgcC//glmS//caiA//rffH//nrdB//tauD//uvrA//dapB//phnI//paaE//sbcD//glgX//frdD//nirD//glpC//
Cra	tdh//phnG//glgB//gapA//guaB//uvrA//sodB//cadA//torC//lldD//sgbH//dhaK//polB//lpxC//glgB//ulaE//paaF//garK//rutC//purB//hcaF//carB//serA//fau//hypB//xylA//fbaB//speA//ychF//wecB//garK//pdeL//phoA//alaC//murI//gatD//ulaF//trpD//ycjG//metK//aroF//entH//hyaA//umuC//pnp//prpE//fabG//gdhA//lyxK//paaB//nrdF//citE//mhpA//fadA//sufS//aroF//aroH//ubiC//tauD//
CreB-Phosphorylated	ccp//frdC//
CsgD	patD//pepD//dgcC//katG//narH//
CsiR	bglB//tam//ssuE//wecC//
CspA	sdhD//
CueR-Cu	ssuE//lyxK//fucU//ilvC//recD//
CusR-Pasp	dgkA//trpB//trpB//dmsA//
CynR	
CynR-cyanate	metK//udp//argI//
CysB	leuD//gapA//
CysB-O-acetyl-L-serine	entE//adiA//ilvG_1//ttdB//puuC//hycB//purK//glgB//lacA//rnpB//phnP//hmp//mhpE//argF//polB//
CytR	dapB//aceE//gadA//pgm//guaA//waaZ//dmsB//garK//gapA//guaB//
Dan-L-tartrate	paaJ//cynT//
DcuR-Phosphorylated	tdcE//ubiC//mltF//ddlB//
DeoR	cysD//glgC//gpmA//atoB//amn//citX//
DhaR	trpD//
DicA	
DinJ-YafQ	hyaB//
DnaA-ATP	phr//relA//fucU//mazG//galM//cadA//
DpiA-Pasp	purD//fadI//trpE//deoA//prs//
DsdC-D-serine	dgcN//wzc//
EbgR	
EnvR	hmp//alkB//
EnvY	allC//rbsK//
EvgA-Phosphorylated	rutB//nanA//pgaC//sucB//pagP//rsmH//
ExuR	nrdD//mhpA//frdD//udp//umuC//pck//
ExuR-alpha-D-galacturonate	
FabR	gadA//fadJ//ugpQ//
FadR	ycjG//mpl//hemH//sdhB//phnL//speB//ccp//cysD//mhpA//deoD//allA//ilvM//sdhA//metL//bioC//alkB//hyi//gabD//cysK//
FadR-acyl-CoA	
FeaR	cysM//purN//
FhlA-formate	frdC//waaZ//uxuB//sgbH//bioB//ugpQ//ulaD//uxaB//
FlhDC	araA//idnK//tynA//eno//dadX//rutE//napA//gcvH//ruvB//ynfF//idnO//glmS//metA//glcB//
FliZ	pdeH//argG//ogt//cysE//entC//
FucR-L-fuculose-1-P	metK//ftsI//trpC//gadB//fucU//sufS//
Fur-Fe2	murC//ubiC//sdhA//bioA//rutE//deoB//atoD//entB//metB//dadX//fabA//ilvI//glmU//acnA//rbsD//bioA//paaY//mhpE//sufS//nrdD//folA//paaY//hypB//fes//hyaA//leuC//folA//frc//sdhC//fes//gnd//ulaF//gatZ//citE//ilvM//ccp//nrdF//hemL//cysE//ppsA//purF//metC//pgaD//patD//nrdF//mhpC//recB//hyaB//dadA//nanE//nrfC//dhaM//pdeR//fabG//fucU//sdhB//glcE//tyrB//ugpQ//glcB//metA//amn//
GadE	gltD//allC//srlD//uvrA//caiD//fadB//cysI//entH//glpB//metA//
