# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	lsrK//nadB//
Ada	trpE//xylB//phnI//gcvT//
AdiY	yiaK//ttdB//mhpA//xapA//
AgaR	astB//
AidB	metL//
AlaS-L-alanine	tdcE//
AllR-allantoin	entF//bioD//speA//nrdD//lpd//ccp//
AllS-allantoin	pncB//nadB//edd//
AlsR	fabA//citD//cysE//
AppY	ubiX//phoA//
AraC	glpK//bioC//nirB//
AraC-arabinose	entE//tdh//ssuE//trpD//bacA//sufS//hemH//lsrF//
ArgP	hcaF//nrfA//dmsC//arsC//cysH//fabA//hcaB//napB//
ArgP-arginine	nanK//
ArgR-L-arginine	aspA//atoA//sbcD//cynT//gpmM//fes//ygeA//moeB//serA//carA//cysH//allA//hcaB//gutQ//phnH//umpH//rbsK//pyrD//fucK//ruvA//yeaG//pgm//ulaG//
ArsR	allB//metE//
AscG	xapA//uxaC//
AsnC	phnG//tnaA//
AtoC-Phosphorylated	argF//hyaA//pdeR//
BCCP	murE//
BaeR-Phosphorylated	deoA//metA//
BasR-Phosphorylated	dhaL//polB//garD//
BetI	fucU//araA//cysC//
BirA-biotinyl-5-adenylate	ugpQ//waaY//napA//glmS//dapB//
BluR	
BolA	ddlB//malQ//
BtsR-Phosphorylated	pdeL//
CadC	ilvD//pyrD//hyi//
CaiF-L-carnitine	torC//malP//accD//ssuD//speA//
Cbl	gcvH//sbcC//udp//dkgB//tdcB//
CdaR	wzc//rffT//srlD//ulaG//speB//umuC//tdh//gabT//sdhD//
CecR	narG//
ChbR	ftsI//rutC//tpiA//
ChbR-N-monoacetylchitobiose-6-phosphate	prpD//malY//tadA//
ComR	
CpxR-Phosphorylated	ycjG//ynfH//wrbA//allC//hypF//purC//fabA//deoB//caiB//allD//eda//fadB//amn//mdh//gcvP//hcaE//prpE//betB//leuB//ilvM//malQ//
Cra	hycD//glgX//guaB//gcvH//glmU//dapD//rbsD//ilvC//alaS//lyxK//glgC//aroG//purE//ascB//aspA//glpA//nanE//citX//waaY//adhE//pnp//waaH//yedX//fruK//argE//metB//arsC//gatZ//nagA//glmU//metF//fumC//dinB//gatZ//murF//ldtD//phnG//moaD//fumC//argE//cysM//gpmM//dmsB//pgaC//hcaC//umpH//glmU//nemA//betB//ftsI//ynfG//entB//hypF//hcp//entH//trpB//gor//citX//glgX//
CreB-Phosphorylated	tdh//nanE//
CsgD	ilvH//fucI//hycE//ccp//uvrB//
CsiR	recB//rfe//hyaA//nadB//
CspA	sgbE//
CueR-Cu	truB//argI//fadE//tktB//lpxA//
CusR-Pasp	dkgA//sgbE//allA//gloA//
CynR	
CynR-cyanate	frdB//murI//ppiA//
CysB	araB//pgk//
CysB-O-acetyl-L-serine	hyaC//dhaM//nadA//argG//wecE//murQ//bioB//pgi//yqjH//purN//paaJ//cadA//cyoE//fabD//ttdB//
CytR	treC//glpX//allD//tdcD//nrdF//carB//betA//ruvA//ydcS//gutQ//
Dan-L-tartrate	aldA//nrdE//
DcuR-Phosphorylated	sucB//hycD//gpmM//phnJ//
DeoR	idnK//kbaY//rbsD//fruK//allB//nanA//
DhaR	sucB//
DicA	
DinJ-YafQ	paaJ//
DnaA-ATP	kbl//narI//tdcB//xapA//ycjG//bioD//
DpiA-Pasp	paaH//uidA//cadA//hypF//yiaK//
DsdC-D-serine	ychF//ldtB//
EbgR	
EnvR	uidA//aceA//
EnvY	metA//leuB//
EvgA-Phosphorylated	napA//ynfF//ppc//rfe//rutD//paaZ//
ExuR	bioD//malS//nanE//paaF//fucI//gpmM//
ExuR-alpha-D-galacturonate	
FabR	patD//phnH//gadA//
FadR	purL//puuC//trpB//umuD//mpl//ldtB//recF//cynS//hyi//atoB//puuA//tdcB//glcD//ugpQ//bglB//nanM//nagB//lsrK//metA//
FadR-acyl-CoA	
FeaR	recD//pdeR//
FhlA-formate	pfkA//rfe//fucI//phnJ//argD//gcvT//pflB//appA//
FlhDC	citD//lpxA//caiD//waaZ//glcE//umuD//ldtD//purL//gltD//moaD//paaH//nrdE//leuD//glpC//
FliZ	hycG//paaF//aspA//eda//argC//
FucR-L-fuculose-1-P	ppiA//pflB//hycE//pdeL//gadA//rutB//
Fur-Fe2	rffH//bacA//avtA//betB//paaK//dadX//hycB//patA//pflB//xylA//aspC//yfdE//paaH//garR//lpxD//malP//nagB//lpxC//napG//argD//ilvI//pepD//nrdB//gpmA//rsmH//ybjG//cyoE//ndh//nagA//fbaA//tadA//deoD//glgC//prpC//nrfA//fabG//sucD//gltD//nemA//gloA//entA//ldtD//cysE//prpD//cysJ//gutQ//polA//ilvH//rhaA//ahpF//accC//murC//fadA//dinB//ftsI//eda//sucB//hcaB//cysM//fabI//entF//pgaB//
GadE	fabI//wzb//garL//torC//fdhF//rutD//wzc//umuC//gltB//atoB//
GadE-RcsB	fadE//tdcD//sodB//gdhA//ydcS//
GadW	tdcB//aldA//ldtD//astE//
GadX	narG//recB//uxaB//sucA//idnD//cyoE//phnH//pgaC//fbaA//phoA//hemH//gudD//recF//aceA//
GalR	prs//entB//mdh//moaE//glpX//cysE//
GalR-beta-D-galactose	trpD//phnJ//gltB//nirD//ada//
GalS	cysC//pgaB//hypF//puuB//phnL//pepD//
GalS-beta-D-galactose	pgpC//glcB//ilvC//fabG//purA//
GatR	hycF//sufS//recB//
GcvA	paaC//napA//tynA//
GlcC-glycolate	yeaE//grxA//lacZ//
GlpR	garD//gor//glpX//ygeA//glmS//purC//moaD//
GlrR-Pasp56	
GntR	glmU//yedX//nfsB//lpxA//mhpB//alkA//argE//entD//sdhC//
GutM	guaA//glxR//guaB//
HU	mltF//mazG//speA//purK//sdhD//rtcA//glcE//
HcaR	
HcaR-HCA	phnG//fadD//
HdfR	
HigA	gcvP//
HigB-HigA	ftnA//
HipAB	ndh//ynfG//
HipB	caiC//deoA//cueO//
HprR-Phosphorylated	polA//sbcD//fadA//metA//
HyfR	gutQ//
HypT-Met-oxidized	sdhB//garR//pgi//idnK//gcvH//aceA//speA//
IclR-pyruvate	hemL//aspA//serC//
IdnR-5-ketogluconate	cdd//patA//tdh//moaE//ilvI//
IlvY	
IlvY-S-2-acetolactate	fes//
IscR	fumC//lysU//malZ//edd//ubiX//aroF//
IscR-2Fe-2S	ddlB//dapD//
KdgR	pgaD//ugpQ//
KdpE-Phosphorylated	argA//
LacI	ldtB//nrfD//ribA//
LeuO	gatY//purD//nirB//mngB//sodA//phnM//
LexA	argC//glgX//katG//truB//phnO//glgP//tdcE//aroF//sbcD//murF//ldtC//yedX//asnB//astA//citC//torC//sucD//patD//leuC//lysC//mnmG//rfe//cueO//
LldR	adhE//guaA//
LldR-S-lactate	lsrF//lacA//
LrhA	
Lrp	napH//hyaA//ruvA//fadM//acnA//ppiA//gcvH//hcaF//fabI//bioB//gnd//mhpE//frc//melA//moeA//rutC//carB//bioD//yiaK//fruK//malZ//pgpC//aceA//ilvH//patA//sdhD//phnI//sbcC//fucU//ppc//ruvA//
Lrp-leucine	nrdE//fabB//entA//guaB//sdhC//hyaC//ynfF//pflB//sdhD//yedX//gadB//nanA//ilvC//ynfE//hyaB//fau//yeaG//
LsrR	xylB//puuE//napB//fucI//aroA//
LysR	rffM//
MalI	argB//prpC//
MalT-maltotriose-ATP	pdeR//bioA//nfsB//fabB//purE//cdd//
MarA	ugpQ//aceB//entC//purN//mngB//nfsA//rutE//cysN//uxaB//pepD//glcE//cysE//argC//pgi//wzc//murC//murE//pyrC//paaG//entE//glpX//glsA//glgC//argG//
MarR	
MatA	udp//
MazE	glgA//
MazE-MazF	hemL//
McbR	
MelR	pdeH//glmU//
MelR-melibiose	malZ//slt//
MetJ-adenosylmethionine	frdB//metF//truB//trpA//pagP//accA//ynfH//nrfC//dhaK//allB//
MetR	bioF//ttdB//
MetR-L-homocysteine	phnN//rffT//
MhpR-3HPP	gadA//murC//uxaC//fadA//adiA//allB//
Mlc	sdhB//pck//aceB//rutA//
MlrA	purH//
MngR	nfsB//pheS//
MntR-Mn2+	malP//pheT//
