# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	araA//talA//
Ada	galK//putA//gutQ//uxaB//
AdiY	asnA//paaZ//treC//guaB//
AgaR	glpC//
AidB	idnD//
AlaS-L-alanine	purL//
AllR-allantoin	phnJ//fucO//murQ//katE//phnN//nanE//
AllS-allantoin	mpaA//mhpD//trpA//
AlsR	nrdB//araA//hyi//
AppY	nanM//fadE//
AraC	phoA//mdh//glgA//
AraC-arabinose	glgA//murD//allE//napB//tktB//allC//phnJ//tpiA//
ArgP	ppc//speG//bglB//waaZ//gcvH//atoB//cysJ//dacC//
ArgP-arginine	dgcC//
ArgR-L-arginine	rutB//ycjG//gcl//kbaY//ttdB//glpX//gntK//murF//araB//fadB//hemH//rffT//gntK//caiD//tynA//malP//metA//rnpB//moeB//phnJ//entH//argD//cyoE//
ArsR	murF//purL//
AscG	frdD//pnp//
AsnC	uxuB//gapA//
AtoC-Phosphorylated	sdhA//sdhC//ppiA//
BCCP	caiB//
BaeR-Phosphorylated	pagP//betB//
BasR-Phosphorylated	katE//dgkA//astE//
BetI	fabH//tdcG//allB//
BirA-biotinyl-5-adenylate	ulaF//sodB//nfsB//rffT//appA//
BluR	
BolA	cynS//accA//
BtsR-Phosphorylated	glpA//
CadC	yedX//polB//glpA//
CaiF-L-carnitine	sgbH//sodA//sodA//gadA//napG//
Cbl	puuD//atoA//allB//allD//tdh//
CdaR	slt//frdB//gntK//ilvI//cysJ//metL//murG//alkA//glmU//
CecR	dmsA//
ChbR	sucB//mazG//tauD//
ChbR-N-monoacetylchitobiose-6-phosphate	wzc//icd//cysC//
ComR	
CpxR-Phosphorylated	guaB//nemA//fucA//dsdA//recD//argB//aceB//betB//cadA//mazG//tdcB//ubiX//idnD//dmsB//dapB//ulaE//allC//dmsA//asnB//rimK//entC//
Cra	uvrB//galK//pdeR//puuE//gapA//caiD//asnB//atoA//gadB//ssuD//gltB//mraY//hcaE//glgA//moaC//recD//sdhB//rffM//alsE//nrdF//alaS//moeB//hycE//hypB//nfsA//folA//frdD//hycF//lpxA//lacZ//waaY//bioB//phnM//rtcA//gntK//fadE//glpC//phnG//speG//uvrC//metE//xylA//dapD//cysM//folE//sodB//murI//chbG//nanM//sgbH//fes//mhpD//frdC//aroA//ulaD//pdeR//nfsB//malQ//prpE//
CreB-Phosphorylated	umuC//napH//
CsgD	hycD//gatZ//phnI//ilvM//chbF//
CsiR	ynfF//pnp//napH//paaB//
CspA	entC//
CueR-Cu	asnA//luxS//pheS//tehB//ribA//
CusR-Pasp	astD//gloA//narH//fbaA//
CynR	
CynR-cyanate	rutA//ilvH//tyrB//
CysB	pdeH//argE//
CysB-O-acetyl-L-serine	sbcD//glxK//gcl//bioD//metB//rtcA//cadA//srlD//ulaF//pnp//malQ//murF//torC//gpmA//bioC//
CytR	napB//trpB//phnJ//adiA//patD//phnO//truB//fabA//dkgA//gcvH//
Dan-L-tartrate	astB//uxuA//
DcuR-Phosphorylated	nrdF//phnM//yiaK//ppiA//
DeoR	argC//prpB//ynfH//puuD//deoD//narH//
DhaR	metB//
DicA	
DinJ-YafQ	deoC//
DnaA-ATP	uxaB//uidA//sgbE//ddlB//ynfF//hyaB//
DpiA-Pasp	puuD//talA//hcaB//rffH//guaB//
DsdC-D-serine	ccp//glpC//
EbgR	
EnvR	lyxK//mhpB//
EnvY	napB//ldtB//
EvgA-Phosphorylated	polB//dadA//malQ//ccp//mpaA//trpE//
ExuR	pykF//hcaD//gnd//umuC//gapA//garD//
ExuR-alpha-D-galacturonate	
FabR	alkA//ppc//fes//
FadR	wzb//epd//murD//lhgO//talA//ulaD//ldtD//allC//fbaB//caiA//rsmH//aspA//phnO//narI//idnD//ahpF//aceB//dhaM//epd//
FadR-acyl-CoA	
FeaR	sdaA//hcaC//
FhlA-formate	mhpE//adhE//citE//wzb//rutB//entF//tdcG//pgaD//
FlhDC	nrdF//sdhC//glpQ//treC//mpaA//sdhD//narH//dgcN//bioF//mdh//murG//uidA//rutA//allB//
FliZ	umuD//nrfA//appA//paaC//bioA//
FucR-L-fuculose-1-P	serA//phnH//cynT//dhaK//wzc//puuD//
Fur-Fe2	wzb//nadA//fruK//sufS//purE//tadA//cysK//tyrA//pfkA//mhpC//galK//dhaM//hcp//folA//ychF//murF//ynfG//pheT//hyaB//dgkA//idnK//ynfF//bioB//gutQ//feaB//pncB//argE//hycF//fucI//mtlD//napH//puuC//moaE//astC//speB//deoD//astD//cysI//tynA//paaY//nanA//garR//uidA//dhaM//sodA//alaS//ndh//amn//alaS//dacC//gudD//astA//phnN//rhaA//mpl//uxuA//hyi//hyi//dgcN//malP//fucU//frdB//
GadE	sgbE//dapD//ulaG//dmsA//rffG//uvrB//leuB//nfsB//paaF//guaB//
GadE-RcsB	dkgA//speG//fadE//cynT//nrfA//
GadW	fabZ//nadB//purC//tyrB//
GadX	sgbU//astB//nanA//patA//glnA//cysJ//ilvH//hypB//uvrA//pdeL//udp//deoD//gadA//paaB//
GalR	rnpB//aroL//aroA//ppc//alaS//ldtC//
GalR-beta-D-galactose	ruvA//cysE//mpaA//nemA//eda//
GalS	citC//fdhF//uxaC//allC//yeaE//cysH//
GalS-beta-D-galactose	entH//pck//deoA//accC//murI//
GatR	narH//tdh//nfsA//
GcvA	fadA//lacA//ilvI//
GlcC-glycolate	fadE//sufS//phnH//
GlpR	sucD//malY//lysA//hypB//gcl//rimK//ftnA//
GlrR-Pasp56	
GntR	argC//alkA//rutC//tehB//ubiC//metL//ubiC//eda//gdhA//
GutM	caiC//pheT//tdcD//
HU	eno//mngB//ilvD//patA//glk//gltD//aroF//
HcaR	
HcaR-HCA	mhpC//hycG//
HdfR	
HigA	moaA//
HigB-HigA	mpl//
HipAB	tdh//iscS//
HipB	fau//murF//paaF//
HprR-Phosphorylated	ssuE//puuE//citE//glgB//
HyfR	glmS//
HypT-Met-oxidized	iscS//prpC//glsA//fabA//pncB//recD//atoB//
IclR-pyruvate	ulaG//dacC//accD//
IdnR-5-ketogluconate	napG//edd//pykF//fau//puuE//
IlvY	
IlvY-S-2-acetolactate	glcD//
IscR	tdh//deoC//phnI//aceE//thrS//umpH//
IscR-2Fe-2S	atoD//metK//
KdgR	iscS//uxaB//
KdpE-Phosphorylated	purN//
LacI	fucU//putA//dadA//
LeuO	purD//phnH//phr//tdcE//fucU//cysH//
LexA	aspC//leuA//rffC//tnaA//pykF//hycE//sucA//gltB//paaY//aroF//malS//glsA//hycF//citX//malZ//fadH//rutC//fumC//gloA//glgP//paaK//pdeR//hcaF//
LldR	uidA//polA//
LldR-S-lactate	lpxD//cysN//
LrhA	
Lrp	tpiA//sdaA//cysM//ppc//glcE//garL//aceB//phnN//uvrC//glnA//betB//recB//umpH//murE//ynfF//caiD//ruvB//purN//tynA//rffG//citE//glmS//garD//slt//dmsC//yqhD//kbaZ//pyrD//katG//xylA//glgA//
Lrp-leucine	ilvG_1//mdh//appA//pfkA//phnM//gpmA//moaA//glpA//leuB//rimK//murE//pyrD//chbG//frdC//pspE//ilvI//adiA//
LsrR	fadB//alaS//poxB//gatY//tnaA//
LysR	nrfA//
MalI	guaA//asnA//
MalT-maltotriose-ATP	citD//rutB//fumC//lpxD//lysU//yedX//
MarA	tynA//araD//rffG//tynA//purM//prpB//nrdF//fabH//caiD//rutC//rtcB//lyxK//purA//prpC//hycB//allD//nfsB//argB//caiA//murD//sdaA//uvrB//cysC//tdcE//
MarR	
MatA	dsdA//
MazE	dapB//
MazE-MazF	metK//
McbR	
MelR	gcvP//folE//
MelR-melibiose	tadA//mnmG//
MetJ-adenosylmethionine	rffT//gcvH//wecE//nfsB//xylB//pflB//wzc//ilvM//metB//nanM//
MetR	glgB//sdhC//
MetR-L-homocysteine	ulaG//hycE//
MhpR-3HPP	garK//aspA//ribA//katG//ttdB//sodA//
Mlc	bioC//narG//fucU//waaH//
MlrA	paaJ//
MngR	hycD//asnA//
MntR-Mn2+	ilvH//gdhA//
ModE-MoO42-	phnN//xapA//ybjG//tdcG//gcl//argE//trpC//rsmH//leuA//icd//tktB//ddlB//torC//ychF//aldA//ulaF//sodB//
MprA	ubiA//pck//phoA//
MqsA	gnd//pgk//
MraZ	glgC//entH//mhpD//epd//ada//pagP//cysK//ilvI//ydcS//fadA//
MurR	ilvM//nrdE//prs//
Nac	mhpD//truB//trpD//allA//moaA//sgbH//puuB//rutA//dkgB//codA//ampC//
NadR	murD//purB//glpD//tynA//
NagC	mazG//aceE//prpB//dgkA//lpd//paaA//polA//allB//citE//patA//feaB//gatY//fucK//mtlD//allA//glsA//pdeL//putA//gatD//
NanR	cysK//ilvI//fumC//sbcD//bglB//purD//
