# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gatY//paaJ//
Ada	ilvG_1//srkA//ruvA//nrdA//
AdiY	xapA//glxK//ccp//pck//
AgaR	sgbH//
AidB	ldtD//
AlaS-L-alanine	fes//
AllR-allantoin	moaA//truB//nfsA//dgcC//astB//glgC//
AllS-allantoin	pfkA//tpiA//ascB//
AlsR	sdhD//cysC//paaG//
AppY	purC//dmsB//
AraC	relA//phnN//yqhD//
AraC-arabinose	murF//gltB//fabG//yqjH//sodB//yqhD//uxuA//tynA//
ArgP	moaC//glpA//dsdA//aroG//prpB//paaE//gor//gcvP//
ArgP-arginine	alkB//
ArgR-L-arginine	yqjH//fabI//ahpC//argC//lpd//ulaD//bioB//mhpE//nrdE//alaC//sgbU//entF//hycD//pgi//metK//gor//pflB//phnH//rtcB//fau//ulaE//purB//nadB//
ArsR	sdhA//hycB//
AscG	garK//ddlB//
AsnC	paaB//alaC//
AtoC-Phosphorylated	katG//puuB//bioC//
BCCP	dgkA//
BaeR-Phosphorylated	relA//astC//
BasR-Phosphorylated	paaC//dmsB//deoC//
BetI	pnp//ascB//psd//
BirA-biotinyl-5-adenylate	gpmM//fumB//idnK//mraY//alaS//
BluR	
BolA	glxR//argG//
BtsR-Phosphorylated	nrdF//
CadC	aroA//malQ//ftsI//
CaiF-L-carnitine	cysH//eda//rutE//slt//icd//
Cbl	caiA//argC//fumB//entE//glxR//
CdaR	cysI//allD//narI//cysM//argI//appA//wzc//araA//thrS//
CecR	rimK//
ChbR	wzc//aldA//glpB//
ChbR-N-monoacetylchitobiose-6-phosphate	waaH//bioD//polB//
ComR	
CpxR-Phosphorylated	paaI//rhaD//lpxA//gadA//yeaE//moaD//ycjG//sucA//ydcS//phnG//alkA//srlD//codA//leuB//fes//ruvB//fumB//argD//bioD//murQ//glcB//
Cra	dgcN//aroG//sodA//hcaB//cadA//entH//cynS//yeaG//fabI//cysN//moaA//fabZ//pgk//metH//nadA//asnB//umuC//ampC//ynfE//wecC//fabA//putA//wzc//adhE//alkA//aldA//phnO//accD//astB//fabZ//gntK//pnp//ydcS//glpB//uvrC//purC//glgB//melA//rffG//paaK//lsrK//prpE//speB//narI//ilvH//atoD//fabA//dmsC//fadH//fabB//yqhD//glmS//rnpB//luxS//gapA//nrdF//hycE//glmU//recB//
CreB-Phosphorylated	rhaA//phnM//
CsgD	pagP//purN//dkgB//deoA//appA//
CsiR	adiA//caiB//lldD//mhpD//
CspA	nanA//
CueR-Cu	polB//mngB//frdA//nfsA//gpmA//
CusR-Pasp	entB//rffC//gntK//ilvM//
CynR	
CynR-cyanate	murE//glpQ//umuC//
CysB	lysA//yfdE//
CysB-O-acetyl-L-serine	asnB//hemH//trpD//leuC//fumB//glpK//recF//ftsI//pykF//lysU//fadI//wzb//fadB//recF//rffH//
CytR	glpQ//napH//pheS//fumB//mtlD//wecE//cysD//glnA//caiD//fabD//
Dan-L-tartrate	pdeH//pgaC//
DcuR-Phosphorylated	fucU//paaJ//gor//tdh//
DeoR	pnp//pykF//astE//gloA//galT//mpl//
DhaR	glgC//
DicA	
DinJ-YafQ	dhaK//
DnaA-ATP	fadD//nanK//tyrA//uidA//mnmG//mdh//
DpiA-Pasp	rutE//citX//dkgB//glpQ//ada//
DsdC-D-serine	accC//ppiA//
EbgR	
EnvR	trpE//fabH//
EnvY	hcp//uxaA//
EvgA-Phosphorylated	phnI//hycG//mnmG//cysN//dhaL//speA//
ExuR	tyrA//edd//puuA//fbaB//ahpF//asnA//
ExuR-alpha-D-galacturonate	
FabR	deoD//ilvC//astD//
FadR	ygeA//napA//ynfF//paaG//aroL//carB//uxaC//tdcG//kbaY//fadA//fadE//pgi//nirD//hcaC//gloA//fadD//cynS//polB//paaJ//
FadR-acyl-CoA	
FeaR	pyrD//patD//
FhlA-formate	uxaB//cysI//bioA//tauD//aroG//hmp//pyrC//yiaK//
FlhDC	ilvE//glmS//cysI//fbaA//fes//sucB//lhgO//ruvB//glk//nrdA//cysD//paaB//dmsB//araD//
FliZ	melA//guaA//paaI//prpD//dsdA//
FucR-L-fuculose-1-P	bioD//entB//paaF//chbG//ubiC//rbsK//
Fur-Fe2	speG//hycC//glpB//paaC//aroH//acnB//fadI//betA//gadB//nadB//xylB//katG//moaC//nirB//kbl//fabA//rffH//paaG//hemL//feaB//rfe//ahpC//tktB//pgaB//cysG//fucI//rffT//purA//ilvA//hyaA//mhpD//phnI//tnaA//murF//mhpD//tyrB//rutD//dapB//aceB//nrfC//hycF//uxuA//yeaE//leuD//hyaA//purL//rpiB//recF//alkA//guaB//ubiC//dkgB//aroL//purF//metK//rpiB//recB//nrdD//araA//ugpQ//asnB//hyaA//
GadE	truB//allA//gcvH//mhpC//pgaB//hyaC//dhaL//kbl//recD//recF//
GadE-RcsB	argC//mngB//trpE//glpD//iscS//
GadW	srkA//entB//lysA//rtcA//
GadX	carA//acnA//ttdA//citG//puuA//yfdE//ubiC//lhgO//sodB//prpB//nfsB//nirD//nfsB//hemH//
GalR	nagB//tehB//frdB//murG//paaC//deoA//
GalR-beta-D-galactose	citD//polA//dhaM//alaC//hemL//
GalS	argA//nanE//nanM//ilvE//ahpF//uxaC//
GalS-beta-D-galactose	treC//cysD//pspE//puuE//dadA//
GatR	alaC//trpC//umuD//
GcvA	pepD//uxaB//alaA//
GlcC-glycolate	yqhD//paaB//gapA//
GlpR	mngB//ldtD//gcvT//leuC//aceF//glmU//bioB//
GlrR-Pasp56	
GntR	talA//astC//napG//murC//citC//cadA//nirD//nadB//recD//
GutM	entB//metH//bioB//
HU	frdB//ugpQ//chbF//acnA//arsC//nanK//cysD//
HcaR	
HcaR-HCA	paaA//prpE//
HdfR	
HigA	patA//
HigB-HigA	gdhA//
HipAB	lysU//garK//
HipB	astD//tpiA//folA//
HprR-Phosphorylated	frdD//moaD//glcD//puuD//
HyfR	garD//
HypT-Met-oxidized	sucD//pheT//leuD//tauD//pgm//purA//uvrA//
IclR-pyruvate	adiA//ldtC//ppiA//
IdnR-5-ketogluconate	narH//dmsA//rtcA//srkA//astC//
IlvY	
IlvY-S-2-acetolactate	grxA//
IscR	cysD//paaF//pgm//fabZ//metK//hycE//
IscR-2Fe-2S	aceB//tam//
KdgR	fadJ//ilvM//
KdpE-Phosphorylated	waaZ//
LacI	nrdE//ynfE//gatZ//
LeuO	glpQ//ttdB//pyrD//mtlD//fadJ//ulaD//
LexA	metH//gpmM//fabB//citC//ahpF//tyrB//rtcA//deoB//rtcB//pspE//fadJ//mazG//cysG//ahpC//rsmH//nagA//gabT//malY//phnO//glpX//entH//gabD//wzc//
LldR	citD//waaH//
LldR-S-lactate	pgk//alaS//
LrhA	
Lrp	fucK//purH//psd//hcp//araA//dsdA//sdhB//lacA//argI//ribA//uxuB//fumC//argG//rutA//lysU//ribA//pheT//ilvI//dmsC//nrdE//metF//glcD//sdhD//glsA//ydcS//metE//citC//phnG//poxB//ilvE//citF//
Lrp-leucine	phnM//puuB//waaZ//rimK//dmsB//sdhA//allD//phnN//purC//purE//paaB//fabZ//slt//aspC//cueO//fucU//bglB//
LsrR	sufS//purL//puuB//astB//uxuA//
LysR	ftnA//
MalI	glcF//gutQ//
