# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	lysU//ilvH//
Ada	cysH//fadM//aroF//hmp//
AdiY	rpiB//feaB//moaE//rnpB//
AgaR	purC//
AidB	frdB//
AlaS-L-alanine	metA//
AllR-allantoin	srlD//glpB//entF//moeA//aceA//dapB//
AllS-allantoin	treC//rfe//purE//
AlsR	uxaB//hycE//ldtB//
AppY	fabB//cysN//
AraC	sbcC//uxaA//luxS//
AraC-arabinose	glgX//fbaB//ppc//pck//purK//carB//yeaG//hyaB//
ArgP	purK//bglB//ahpC//sdhB//lsrG//srkA//paaF//ahpF//
ArgP-arginine	entH//
ArgR-L-arginine	cadA//mhpA//glcB//ilvG_1//srlD//moaC//puuA//hmp//citC//glpD//asnB//nrdE//rutA//xapA//prpD//leuA//lysA//aceB//leuD//ydcS//ribA//ulaD//waaH//
ArsR	oxc//malZ//
AscG	polB//murF//
AsnC	paaE//pnp//
AtoC-Phosphorylated	rtcA//phnM//ribA//
BCCP	sodB//
BaeR-Phosphorylated	lacA//speA//
BasR-Phosphorylated	ftnA//murD//mraY//
BetI	folE//guaA//leuD//
BirA-biotinyl-5-adenylate	malZ//sucB//dadA//yqhD//sbcC//
BluR	
BolA	cadA//cysM//
BtsR-Phosphorylated	astD//
CadC	ung//kbaZ//idnD//
CaiF-L-carnitine	citG//phnM//cadA//dhaL//adhE//
Cbl	nanE//dadX//hmp//sodB//pagP//
CdaR	feaB//xapA//hyaA//purK//gltB//hcaB//ddlB//mhpE//glpC//
CecR	murQ//
ChbR	cysK//kbaZ//murQ//
ChbR-N-monoacetylchitobiose-6-phosphate	cysJ//mraY//speG//
ComR	
