# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mhpB//waaZ//
Ada	lhgO//moaD//purN//folE//
AdiY	lpxA//lldD//nanK//entA//
AgaR	torC//
AidB	ung//
AlaS-L-alanine	dsdA//
AllR-allantoin	lpxC//pck//citG//gpmM//chbF//pyrC//
AllS-allantoin	rtcB//rffH//argC//
AlsR	narG//puuD//fucK//
AppY	ilvH//ynfG//
AraC	sgbU//cysK//gudD//
AraC-arabinose	sdhC//tnaA//glnA//edd//atoB//nanA//tyrA//ulaF//
ArgP	argH//nrdF//astB//ulaE//glyA//caiA//srkA//argC//
ArgP-arginine	tynA//
ArgR-L-arginine	lsrK//glcD//allB//rnpB//sgbU//narG//rnpB//lsrK//tyrB//fucO//sucB//purF//ulaF//nrdA//pgk//ftnA//guaB//lsrF//aroF//yqhD//paaA//cysJ//leuB//
ArsR	cysE//phnP//
AscG	fadE//fadD//
AsnC	kbl//allA//
AtoC-Phosphorylated	galE//hycD//cysJ//
BCCP	sdhA//
BaeR-Phosphorylated	phnH//phnN//
BasR-Phosphorylated	icd//ppiA//astB//
BetI	glgC//garD//rutB//
BirA-biotinyl-5-adenylate	serC//paaJ//pheT//leuA//trpB//
BluR	
BolA	uidA//dapD//
BtsR-Phosphorylated	murE//
CadC	allD//malP//dmsB//
CaiF-L-carnitine	aroF//napA//lsrF//ygeA//nrfA//
Cbl	guaB//fadH//puuB//nfsB//trpD//
CdaR	dgcC//pykF//tnaA//wzc//codA//hycD//ycjG//nagB//sodA//
CecR	frdC//
ChbR	accA//sbcC//ldtB//
ChbR-N-monoacetylchitobiose-6-phosphate	bglB//gcl//sodB//
ComR	
CpxR-Phosphorylated	aspC//pgm//dinB//lpd//fau//dgcN//nanE//hycF//ubiX//gudD//ilvA//psd//hycE//astB//metB//gudD//bioB//sbcD//guaA//garK//serC//
Cra	pncB//ampC//fabH//puuB//garD//rpiB//hypF//ahpF//carB//yeaG//nfsB//nrdA//hyaC//ccp//polB//recB//pdeR//phoA//gpmM//truB//nrdF//gcvT//talA//edd//umuC//glxK//entA//pgaC//fumC//srkA//accA//putA//phr//sucD//idnO//rutD//lldD//lpxA//ygeA//allE//rutC//moeB//nanM//ldtC//hypF//dmsC//wecC//gdhA//ugpQ//allA//guaA//trpD//asnB//ppiA//sgbU//glmS//frdC//fbaA//tktB//
CreB-Phosphorylated	nfsB//gadB//
CsgD	ogt//pgm//fabI//nanE//entE//
CsiR	paaJ//putA//mpaA//sodB//
CspA	rbsD//
CueR-Cu	mltF//talA//xylB//paaK//yeaG//
CusR-Pasp	alaS//dhaK//wrbA//glgA//
CynR	
CynR-cyanate	mdh//dhaM//dsdA//
CysB	nemA//metH//
CysB-O-acetyl-L-serine	hcp//entF//srlD//leuC//tauD//paaB//gcl//fadD//prpE//moaC//napG//dhaL//phnO//cysH//paaE//
CytR	hycD//hyaC//glgC//uvrA//chbG//paaH//umuD//epd//pgpC//hycC//
Dan-L-tartrate	cysC//gatY//
DcuR-Phosphorylated	atoB//tynA//prpC//psd//
DeoR	ynfG//cynT//uxaC//ppsA//sucA//yfdE//
DhaR	dapD//
DicA	
DinJ-YafQ	ttdB//
DnaA-ATP	sufS//purL//cysD//sdaA//trpE//gloA//
