# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	entC//lacZ//
Ada	gabD//mhpA//leuC//fabA//
AdiY	murG//metC//citE//glcF//
AgaR	cynT//
AidB	kbl//
AlaS-L-alanine	phnJ//
AllR-allantoin	pheS//cysN//rhaD//nirD//polB//nanM//
AllS-allantoin	pykF//sucD//dinB//
AlsR	fucI//ldtB//astC//
AppY	frdA//metF//
AraC	gpmM//hemH//tynA//
AraC-arabinose	oxc//prpD//uxuB//paaK//pgaB//nemA//nfsB//rutD//
ArgP	moaA//cysK//dgcN//lpd//slt//glcB//rpiB//atoA//
ArgP-arginine	tam//
ArgR-L-arginine	puuD//paaK//cysI//wecC//paaK//paaK//nirD//hcaE//purL//fabB//malS//hcaC//argG//gatY//entB//ugpQ//garK//sbcC//epd//napB//putA//moaD//fucI//
ArsR	tehB//eno//
AscG	polB//murQ//
AsnC	tdcD//eda//
AtoC-Phosphorylated	pykF//waaH//hmp//
BCCP	entD//
BaeR-Phosphorylated	ssuD//rutD//
BasR-Phosphorylated	xapA//ilvH//slt//
BetI	tktB//tnaA//dapD//
BirA-biotinyl-5-adenylate	edd//lsrK//moaE//lpd//glpD//
BluR	
BolA	metL//glpK//
BtsR-Phosphorylated	purM//
CadC	fadM//mnmG//fucU//
CaiF-L-carnitine	guaB//kbaZ//malS//fau//yedX//
Cbl	trpA//rutC//fadI//fucA//fruK//
CdaR	avtA//moeA//ldtB//wzb//talA//narH//dgcZ//cysK//paaA//
CecR	serA//
ChbR	acnA//eno//glmS//
ChbR-N-monoacetylchitobiose-6-phosphate	purC//ilvI//argH//
ComR	
CpxR-Phosphorylated	paaB//phnJ//sufS//gabT//dinB//fabZ//ilvE//rffH//hyaC//glxK//waaH//rffM//entF//narG//glpB//glgC//fucK//sdhB//asnB//wecB//accD//
Cra	metF//fruK//gapA//psd//pgaB//cynS//garD//puuD//pgm//uxuA//mhpD//lsrK//entC//sodB//pgaB//garK//tadA//cysM//accA//murD//dinB//cysC//psd//glsA//hycC//rutC//gatZ//edd//avtA//ugpQ//aroL//lsrF//fucO//metH//purM//dmsB//rffM//frdB//napG//wecE//fdhF//fadD//gutQ//torC//frdA//glgX//rhaD//ynfF//yqhD//gadB//lpxA//udp//rsmH//narH//nrdE//umuC//hycF//deoC//fadE//
CreB-Phosphorylated	slt//eno//
CsgD	allB//citC//fau//tyrB//nadB//
CsiR	ascB//nanE//ndh//napG//
CspA	thrS//
CueR-Cu	deoD//sucD//fucK//ilvH//pspE//
CusR-Pasp	aldA//lpxA//aceE//dapD//
CynR	
CynR-cyanate	patD//asnB//glpK//
CysB	recB//tam//
CysB-O-acetyl-L-serine	rutE//garL//uxaA//puuA//ttdA//yqjH//fumC//argE//araD//ppsA//alsE//argD//glnA//fadD//fucI//
CytR	tdcG//ubiC//ubiX//uvrA//dhaL//rutC//ascB//purK//xylA//udp//
Dan-L-tartrate	purK//phnG//
DcuR-Phosphorylated	fabZ//fbaB//moeB//phoA//
DeoR	pdeR//sdaA//glcB//acnB//nanE//purC//
DhaR	zwf//
DicA	
DinJ-YafQ	speG//
DnaA-ATP	idnK//uxaB//bioD//caiD//uxuB//hyaB//
DpiA-Pasp	galM//nemA//ccp//astE//gor//
DsdC-D-serine	ampC//ubiA//
EbgR	
EnvR	ilvC//uxaB//
EnvY	ydcS//fabI//
EvgA-Phosphorylated	rutC//paaI//glpC//ilvH//epd//murF//
ExuR	rffM//tyrA//nrfA//glxK//rpiB//mazG//
ExuR-alpha-D-galacturonate	
FabR	tnaA//rfe//kbaZ//
FadR	paaH//fadJ//moaD//umuD//eno//feaB//argH//recB//dgkA//malZ//umuC//phnH//lldD//nfsB//accA//argI//trpC//prpE//napB//
FadR-acyl-CoA	
FeaR	tdcG//cysK//
FhlA-formate	gcvH//fadA//ppsA//malY//ulaE//nadA//puuE//purE//
FlhDC	nrdD//lysC//pdeR//glpD//asnA//yqhD//glgA//gapA//ftnA//wecB//astC//recF//paaH//fabB//
FliZ	citG//tdcE//atoB//torA//prs//
FucR-L-fuculose-1-P	lhgO//sucB//glpK//ruvA//frdB//argE//
Fur-Fe2	slt//nemA//mnmG//rutD//sbcD//uxaB//purA//leuA//nanA//ubiX//sbcC//rutB//mdh//ulaF//nanK//sucA//galT//fadI//feaB//tktB//alaC//thrS//chbF//frdD//astC//rffM//bioD//rffG//hcaD//tehB//ulaD//glpX//gabT//acnB//pspE//paaI//uidA//garR//garL//dmsC//sbcC//gabT//galE//umuD//allE//yiaK//dgcN//lysC//citF//hycG//entB//wecC//argF//rtcB//uidA//bioA//bioC//dapB//gcvT//lpxD//argA//allD//
GadE	srkA//citC//ttdB//tam//dadX//rutA//betA//idnK//fabD//hyi//
GadE-RcsB	nrfD//araA//ddlB//dgkA//umpH//
GadW	lysA//mpaA//ydcS//ldtB//
GadX	fabG//deoA//lpxA//waaY//purC//nfsB//ppc//argC//uxaC//nanA//metB//umuC//sdhD//gatD//
GalR	fadA//napB//argA//moaD//iscS//citD//
GalR-beta-D-galactose	feaB//astD//cysJ//metE//argA//
GalS	tam//uvrC//tehB//dhaK//idnK//hcp//
GalS-beta-D-galactose	galM//wecE//tyrA//ilvE//araA//
GatR	puuA//nadA//mhpE//
GcvA	fes//ilvM//deoC//
GlcC-glycolate	pheS//paaF//glgX//
GlpR	luxS//ldtC//rffH//mltF//phnN//cysD//pheS//
GlrR-Pasp56	
GntR	caiC//eno//umpH//alsE//hycE//caiB//cadA//lldD//paaF//
GutM	thrS//aroL//ilvD//
HU	fadM//bioD//malQ//gcvT//tyrA//cysH//paaB//
HcaR	
HcaR-HCA	yedX//citC//
HdfR	
HigA	glgB//
HigB-HigA	eno//
HipAB	napB//lsrF//
HipB	purE//cdd//purM//
HprR-Phosphorylated	truB//gcvP//icd//paaH//
HyfR	leuC//
HypT-Met-oxidized	fabZ//yqjH//sgbH//umuD//nrdE//treC//amn//
IclR-pyruvate	ahpF//uxaB//argD//
IdnR-5-ketogluconate	arsC//gltB//ilvD//eno//oxc//
IlvY	
IlvY-S-2-acetolactate	uxuB//
IscR	cysD//fumB//cynS//ilvM//galK//deoD//
IscR-2Fe-2S	tpiA//lysA//
KdgR	gabD//asnA//
KdpE-Phosphorylated	guaB//
LacI	citF//purM//paaZ//
LeuO	sucC//aceA//lpd//tynA//fbaB//dhaL//
LexA	citD//bioF//ynfG//fumB//gcvP//pgm//pheT//napH//deoB//cyoE//entE//sucB//glpX//gpmA//leuA//waaZ//carB//thrS//leuB//cysC//ilvA//lysU//argD//
LldR	acnB//glpC//
LldR-S-lactate	trpD//mpaA//
LrhA	
Lrp	cysC//prpB//amn//pgk//feaB//wrbA//purH//metE//uvrA//glpC//gatY//phnJ//dhaK//garD//ubiC//ynfH//lhgO//icd//relA//mdh//frc//fadH//prpB//glpX//hcaD//lsrK//argB//pspE//phnJ//dgkA//hycB//
Lrp-leucine	sucD//aceF//phoA//fabA//sodB//gadA//gcvP//betA//dmsC//phnN//ugpQ//idnK//pncB//carB//waaH//metE//rffM//
LsrR	prpC//uxaA//bioA//ybjG//yiaK//
LysR	argH//
MalI	entC//paaK//
MalT-maltotriose-ATP	moaE//lsrK//napA//hyaA//glxR//entC//
MarA	ynfE//betB//hypF//ulaD//astA//dgcC//atoA//aspA//frdC//galM//dgkA//uxaC//hcaE//srlD//ulaE//argF//zwf//caiA//rutA//cdd//adiA//tpiA//speA//hcaE//
MarR	
MatA	chbF//
MazE	paaG//
MazE-MazF	tnaA//
McbR	
MelR	ung//uvrC//
MelR-melibiose	nrfA//aceF//
MetJ-adenosylmethionine	fucU//astC//rbsK//melA//murD//glyA//rutD//nrdB//glgB//ydcS//
MetR	speB//aceE//
MetR-L-homocysteine	relA//fucK//
