# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	moeA//gnd//
Ada	astE//accC//pgaC//hycG//
AdiY	fumB//bioB//pgaB//rsmH//
AgaR	carA//
AidB	fadA//
AlaS-L-alanine	argB//
AllR-allantoin	nrfC//speG//pgm//dacC//fucA//phoA//
AllS-allantoin	cyoE//yfdE//cadA//
AlsR	gnd//talA//glmU//
AppY	pheS//slt//
AraC	mhpB//paaC//ribA//
AraC-arabinose	wecE//kbaZ//fadJ//waaZ//hcp//accA//yfdE//cadA//
ArgP	waaZ//alkA//sgbH//lyxK//pdeR//gpmM//hyaA//rsmH//
ArgP-arginine	purD//
ArgR-L-arginine	cysI//wzb//hcaC//paaE//mhpB//aroF//gcvP//purB//tktB//caiD//xylA//tauD//argB//hcaB//rffM//fucI//ada//hycD//hycC//paaF//tyrB//yqhD//ada//
ArsR	paaF//purA//
AscG	ppiA//recF//
AsnC	deoB//rtcB//
AtoC-Phosphorylated	purM//cysK//sdaA//
BCCP	astE//
BaeR-Phosphorylated	rutA//oxc//
BasR-Phosphorylated	mhpD//rutB//patA//
BetI	tdcD//lpd//phoA//
BirA-biotinyl-5-adenylate	phnM//fucO//ubiA//ppsA//waaZ//
BluR	
BolA	aceA//bglB//
BtsR-Phosphorylated	sucC//
CadC	entD//narI//carA//
CaiF-L-carnitine	glgA//lysU//purN//truB//rhaB//
Cbl	paaE//glk//murQ//fau//gpmA//
CdaR	glmU//lacA//tpiA//torC//putA//mhpF//sdaA//gadB//alaA//
CecR	allA//
ChbR	idnD//fbaB//glk//
ChbR-N-monoacetylchitobiose-6-phosphate	thrS//pgaB//tehB//
ComR	
CpxR-Phosphorylated	srlD//glcB//glk//tnaA//paaB//nrdE//gcvH//glpK//deoD//glmU//patD//lyxK//torA//paaZ//argI//hycF//dmsA//uidA//caiB//citE//guaA//
Cra	gloA//ilvD//phnO//sucB//tauD//pdeH//fabZ//cysJ//rbsK//purL//ydcS//sbcD//purN//phnL//araB//moaC//recD//rtcA//uvrC//ssuD//tdcD//nrdD//fabD//uidA//idnK//sgbH//kbaZ//atoB//phnO//purE//glpX//ung//betA//glnA//rffM//ung//lsrG//glgA//ilvD//hemH//oxc//malP//sgbE//gdhA//gadA//ilvM//yeaE//hcaE//malY//paaZ//mhpD//cynS//idnD//caiA//accC//aceA//ttdA//prpC//sbcD//
CreB-Phosphorylated	alaC//psd//
CsgD	prpD//phnP//guaA//idnO//purL//
CsiR	cysM//fadE//glcE//rutD//
CspA	malY//
CueR-Cu	umuC//caiA//fau//purL//sodB//
CusR-Pasp	aroA//dmsC//frdB//fabB//
CynR	
CynR-cyanate	cysE//sgbE//glmU//
CysB	nfsB//ppc//
CysB-O-acetyl-L-serine	napH//ahpF//ilvI//putA//ruvA//ttdA//paaK//narH//sbcC//ruvB//nrdF//lpxA//aspA//arsC//aldA//
CytR	sgbH//prpD//aroA//nanM//adiA//galT//ulaD//allB//napA//purL//
Dan-L-tartrate	glgA//glyA//
DcuR-Phosphorylated	fadD//mnmG//moaC//pgi//
DeoR	hyaC//hemH//nemA//dmsC//aroL//ulaE//
DhaR	serC//
DicA	
DinJ-YafQ	hcaD//
DnaA-ATP	gltD//arsC//metF//pnp//metE//lhgO//
DpiA-Pasp	gabT//aroF//fucO//tdcD//yeaE//
DsdC-D-serine	astA//hycC//
EbgR	
EnvR	uxaA//yeaE//
EnvY	ilvH//lpd//
EvgA-Phosphorylated	malS//pgaD//nrdF//bioC//betB//lsrK//
ExuR	aroA//ppsA//gdhA//udp//hcaB//yqjH//
ExuR-alpha-D-galacturonate	
FabR	moaC//argH//yedX//
