# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	paaE//aspA//
Ada	serC//uvrB//ccp//citD//
AdiY	dmsB//adhE//metE//eda//
AgaR	rutE//
AidB	chbF//
AlaS-L-alanine	nemA//
AllR-allantoin	uvrC//ulaG//aldA//carB//leuC//lacA//
AllS-allantoin	glmS//ilvG_1//recB//
AlsR	phnI//leuA//citG//
AppY	rutA//paaC//
AraC	garR//gcvP//pdeR//
AraC-arabinose	speA//entH//ppiA//waaZ//rtcB//ppc//recD//waaY//
ArgP	icd//cdd//pncB//dkgB//atoA//ascB//gadA//ftnA//
ArgP-arginine	alkA//
ArgR-L-arginine	dmsA//betB//purE//epd//ssuE//rnpB//mngB//wrbA//trpE//idnO//glpX//citF//uvrA//talA//garR//aceF//dadX//melA//tnaA//rutA//idnD//lsrK//hycG//
ArsR	uvrC//chbG//
AscG	gnd//idnD//
AsnC	kbaZ//ttdB//
AtoC-Phosphorylated	nrfD//fabB//ssuE//
BCCP	treC//
BaeR-Phosphorylated	rffM//rutD//
BasR-Phosphorylated	tdcG//phnJ//sucC//
BetI	frdA//lpd//truB//
BirA-biotinyl-5-adenylate	paaJ//hyaB//aspC//fabA//uvrB//
BluR	
BolA	asnB//rutC//
BtsR-Phosphorylated	fadB//
CadC	allD//fabG//mhpC//
CaiF-L-carnitine	gltD//fumB//tynA//moaC//sdhB//
Cbl	ahpF//luxS//hcaD//pncB//paaC//
CdaR	phnP//carA//patA//nanM//metK//aroG//rpiB//ruvB//hmp//
CecR	glpX//
ChbR	cysM//uxaB//moaD//
ChbR-N-monoacetylchitobiose-6-phosphate	allC//yeaG//tdcE//
ComR	
CpxR-Phosphorylated	fadH//glpA//rhaA//dhaL//moaC//narI//tdcG//sdhA//ampC//glgP//malS//fumB//mhpE//dapB//aroL//murC//torC//alsE//guaB//wecE//ftsI//
Cra	cysJ//glcE//nrdF//mtlD//ugpQ//alaS//paaE//psd//pdeR//prpD//hycC//ruvA//katE//alaC//fdhF//gntK//aceB//pgaB//ung//garK//nrdE//dgcN//garD//fucI//chbG//tyrB//sdhA//rhaB//ttdA//glgX//fadH//ulaD//katG//yqjH//nanE//yqhD//gadA//ycjG//tktB//adiA//alaS//tktB//cysK//paaB//sgbU//fadM//rtcB//gapA//prpB//carB//fadI//napG//uxaB//gudD//idnK//chbG//cadA//glgX//sucA//
CreB-Phosphorylated	ugpQ//fadA//
CsgD	xylA//fucA//hyaC//sdaA//pgm//
CsiR	uvrA//ccp//pepD//dgcC//
CspA	speB//
CueR-Cu	guaA//idnK//caiA//ftsI//ilvH//
