# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mazG//cueO//
Ada	pflB//astE//bioB//arsC//
AdiY	ung//paaY//recF//aceF//
AgaR	uvrA//
AidB	gapA//
AlaS-L-alanine	lysU//
AllR-allantoin	nrdF//ddlB//dinB//fabG//ung//prs//
AllS-allantoin	folE//metA//ldtB//
AlsR	caiD//ynfE//aroA//
AppY	ppc//wrbA//
AraC	uvrB//gadB//frdB//
AraC-arabinose	nrfC//bioB//wzb//putA//cysM//waaH//nagB//glpK//
ArgP	ybjG//mraY//dhaM//pgaD//argE//nanA//puuD//purA//
ArgP-arginine	hycC//
ArgR-L-arginine	alaC//gcvH//nanM//ubiA//astB//nrfD//ldtD//mraY//aspC//mhpD//hycG//sufS//luxS//serC//wzb//argG//moeB//gatY//pncB//oxc//sdhD//uvrA//astC//
ArsR	metL//pgpC//
AscG	allE//prpD//
AsnC	cysM//bioB//
AtoC-Phosphorylated	kbaY//ttdA//phnH//
BCCP	sucC//
BaeR-Phosphorylated	hycD//polA//
BasR-Phosphorylated	galM//napA//entF//
BetI	accD//malS//lpd//
BirA-biotinyl-5-adenylate	mtlD//prpC//bglB//relA//polA//
BluR	
BolA	grxA//idnD//
BtsR-Phosphorylated	lpxC//
CadC	fadE//fucK//zwf//
CaiF-L-carnitine	katG//rhaD//pgk//nrdD//metC//
Cbl	lpxA//cysH//dmsC//glk//fabG//
CdaR	bioF//lacZ//metH//prpE//folA//edd//glpB//argG//mpaA//
CecR	mhpD//
ChbR	hypF//appA//rtcB//
ChbR-N-monoacetylchitobiose-6-phosphate	cysN//gabT//wecB//
ComR	
CpxR-Phosphorylated	uxuB//fabD//folE//edd//alsE//glyA//phnG//astD//paaY//lpd//wzc//bioF//torA//atoD//fadD//epd//argA//glmS//alaC//paaE//narH//
Cra	truB//argC//idnD//psd//gudD//glgC//nirB//mpaA//rffT//dsdA//uvrB//purN//feaB//yeaE//hcaB//rimK//putA//rfe//paaE//codA//serC//murD//moeB//uxaB//idnO//relA//metA//bglB//speB//wecE//mhpE//ldtB//aceA//udp//lsrG//ynfE//pheT//asnB//rffC//ubiC//sodB//ulaG//moeB//allD//cysI//trpA//accA//fabI//ung//epd//cdd//gltB//galE//paaH//gcvP//astB//xylA//tadA//waaZ//
CreB-Phosphorylated	speG//ndh//
CsgD	tdcG//citC//srlD//dgcZ//rfe//
CsiR	dgkA//acnB//chbG//rpiB//
CspA	leuB//
CueR-Cu	paaA//fabZ//tauD//gltB//hycE//
CusR-Pasp	ilvH//sucD//yqhD//deoD//
CynR	
CynR-cyanate	bioB//pgaD//ada//
CysB	acnA//sdaA//
CysB-O-acetyl-L-serine	yqjH//ftnA//pgaB//polA//cynT//paaF//pdeL//dkgB//citD//murI//dadA//tdcB//speA//aroH//ssuD//
CytR	mhpF//ilvI//bacA//ppsA//cysK//ldtC//uvrA//gapA//luxS//rpiB//
Dan-L-tartrate	citD//purN//
DcuR-Phosphorylated	glpA//atoD//avtA//entF//
DeoR	cadA//wrbA//metH//araA//relA//sodA//
DhaR	paaA//
DicA	
DinJ-YafQ	glsA//
DnaA-ATP	katG//uvrA//mhpE//mhpB//uxaC//fadB//
DpiA-Pasp	gabT//paaK//dmsC//ppc//alkB//
DsdC-D-serine	ftsI//mhpD//
EbgR	
EnvR	patA//paaI//
EnvY	prpE//araD//
EvgA-Phosphorylated	moeB//fucU//phnO//sucD//bglB//malZ//
ExuR	udp//citF//hycB//amn//cysK//luxS//
ExuR-alpha-D-galacturonate	
FabR	leuD//nagA//pgk//
FadR	purN//fabI//rhaA//ssuD//paaK//luxS//malQ//pheT//ynfH//cadA//rutA//glmS//nrfA//lysA//ulaF//murG//nadA//nanE//yfdE//
FadR-acyl-CoA	
FeaR	rbsK//rffG//
FhlA-formate	hcaE//uvrA//waaZ//caiB//serC//sucD//pfkA//ilvE//
FlhDC	glpA//fabI//carB//sdaA//glnA//gatD//paaB//pnp//malS//serC//torC//idnO//malZ//talA//
FliZ	avtA//adhE//argD//phnO//hycD//
FucR-L-fuculose-1-P	entF//sodB//asnA//sgbE//ydcS//hyi//
Fur-Fe2	eno//gpmA//astA//deoD//sucD//fumC//argE//sodB//ldtD//frdD//sodB//tyrB//cueO//guaA//fumC//puuC//narI//hyaC//argC//frdD//paaE//glxR//ppiA//nirD//tauD//tam//pgi//sodB//psd//poxB//fucU//aspA//dmsA//fes//entF//umuD//ilvD//rutA//malY//tdh//pykF//tdcD//deoA//yqhD//cysJ//cysH//truB//trpD//atoD//accC//yeaE//tadA//fucA//glgA//fadM//glsA//tktB//moaD//fabI//xylB//ddlB//galK//
GadE	glxK//glxK//rutE//purA//allB//torA//aldA//adiA//garR//ulaF//
GadE-RcsB	ynfH//paaE//gadA//torC//malS//
GadW	gatZ//mpl//dkgA//moaD//
GadX	folA//araB//acnA//leuC//ycjG//paaF//lpxA//dadA//pgaB//atoB//citE//hcaC//rutB//waaZ//
GalR	dhaM//chbF//nanE//ribA//aceE//fbaB//
GalR-beta-D-galactose	entD//tdh//lysU//glcB//metH//
GalS	yeaE//phnP//glpA//ilvG_1//rtcA//idnD//
GalS-beta-D-galactose	metB//polB//trpC//eno//fadH//
GatR	rnpB//tyrA//paaG//
GcvA	pdeL//lpxC//tyrA//
GlcC-glycolate	purH//fbaA//ftnA//
GlpR	garL//thrS//tehB//uxaB//poxB//moaC//dkgA//
GlrR-Pasp56	
GntR	ampC//pflB//thrS//fadJ//aspC//hycD//dgcZ//argE//ahpF//
GutM	phnJ//hcaE//deoB//
HU	betB//entC//betA//uxuB//moeB//glgC//xylB//
HcaR	
HcaR-HCA	ydcS//ilvC//
HdfR	
HigA	pgaD//
HigB-HigA	speA//
HipAB	speB//argC//
HipB	gudD//gcvT//nadB//
HprR-Phosphorylated	xylB//hyaB//fabB//entD//
HyfR	rffH//
HypT-Met-oxidized	aspA//glgA//moeA//sucC//purF//ilvD//ahpF//
IclR-pyruvate	chbF//citE//mhpA//
IdnR-5-ketogluconate	moaA//garD//leuD//glpC//deoD//
IlvY	
IlvY-S-2-acetolactate	nanK//
IscR	accC//fabZ//adhE//glnA//glxK//nrdD//
IscR-2Fe-2S	fabZ//pgpC//
KdgR	rtcB//sbcD//
KdpE-Phosphorylated	allB//
LacI	napH//glmU//argD//
LeuO	purF//kbaZ//paaA//puuB//psd//purF//
LexA	nadB//tam//aroF//mhpB//asnB//fruK//paaB//idnK//lsrG//wecC//ttdA//recD//sgbH//gabD//lyxK//nanE//asnA//folA//ilvD//nrdB//nadB//leuA//lsrK//
LldR	ssuE//sdhD//
LldR-S-lactate	malS//rsmH//
LrhA	
Lrp	ilvC//hycE//napA//rffG//glgB//entC//trpE//alaC//trpD//phnL//gcl//entA//uvrA//fruK//cadA//cueO//lsrG//ilvC//mhpF//rutC//uvrA//purM//ygeA//purD//mnmG//trpD//srlD//glgP//ubiX//caiD//yedX//
Lrp-leucine	hcaC//dgcC//nfsA//aroG//mhpA//dapB//yqjH//tam//hypB//napG//tam//patA//pgi//umuC//gabT//alaS//moeA//
LsrR	malP//glpD//pdeH//polB//hcp//
LysR	tyrB//
MalI	deoC//hycF//
MalT-maltotriose-ATP	gutQ//xylA//recF//glgB//ssuD//nrdE//
MarA	gpmM//xapA//rtcB//accD//wecC//gpmA//betB//ulaD//uxuB//argG//gcvT//gadA//paaA//mngB//garD//fabZ//malS//nrfC//ttdA//lysC//narG//puuE//napB//pheS//
MarR	
MatA	gpmA//
MazE	bioD//
MazE-MazF	trpC//
McbR	
MelR	fes//dgkA//
MelR-melibiose	alaA//ynfF//
MetJ-adenosylmethionine	iscS//acnA//nanA//moaA//citD//nrdF//gadA//torA//pheT//purB//
MetR	uvrC//tdh//
MetR-L-homocysteine	fdhF//napB//
MhpR-3HPP	phoA//mhpB//relA//folE//eno//lysA//
Mlc	tauD//fes//murC//hcaD//
MlrA	atoD//
MngR	ynfG//purM//
MntR-Mn2+	nanE//puuD//
ModE-MoO42-	acnB//trpE//asnA//tam//gcl//napB//mpl//ubiX//adhE//lsrG//cysH//astE//sodA//araA//mpl//rutA//cysM//
MprA	araA//bglB//uxaA//
MqsA	gutQ//phr//
MraZ	sbcD//ssuE//pgi//phnP//sodB//sdaA//frdC//glgX//ftsI//fadE//
MurR	adhE//xapA//hcaF//
Nac	prpB//gapA//leuD//phnI//ftnA//carA//malZ//gutQ//tpiA//speB//metH//
NadR	ulaD//cysH//lsrF//aceF//
NagC	dmsC//fadI//gcvT//malZ//tauD//puuC//speA//rsmH//leuD//zwf//avtA//cysI//folE//mhpA//glgP//ilvH//ilvA//aceF//uidA//
NanR	treC//mpl//cysM//gabT//recF//hemH//
NarL-Phosphorylated	tktB//phnH//cynS//caiC//phnM//argB//accD//idnD//asnB//ynfH//galE//polB//sucD//truB//ynfF//sucA//cynS//metL//dhaL//murQ//entF//dmsB//serC//hyi//glpQ//tyrB//paaG//ttdB//galE//fucI//malS//rpiB//talA//aldA//glpQ//glnA//gadB//pgpC//ubiX//cynS//purE//
NarP-Phosphorylated	kbaY//pgaC//lacA//wecC//pyrD//glgB//idnD//hcaF//hycG//purC//prpE//gadA//mdh//nrfA//purF//
NemR	ycjG//ribA//
NhaR-Na+	patD//yiaK//galK//gnd//nrdA//
NikR-Ni2+	ccp//
NimR	rffT//
NorR	napH//
NrdR-Zn2+	oxc//rhaA//bioF//malP//
NsrR	metH//hycE//purD//dmsB//entB//uxaC//feaB//lsrF//iscS//mpaA//gatZ//speG//fabG//alsE//dgcN//dgcZ//prpE//gloA//aceE//ilvC//ung//fucK//napA//uvrA//metC//citF//pgpC//gpmA//sdhD//prpB//citX//hcp//uvrA//astE//gpmA//puuD//glpB//patA//alkB//pgaB//
