# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	atoA//sucB//
Ada	allC//cynT//trpE//glpA//
AdiY	glcF//kbl//metK//mazG//
AgaR	narH//
AidB	purM//
AlaS-L-alanine	gcvH//
AllR-allantoin	glcE//amn//wrbA//nfsA//ccp//rutA//
AllS-allantoin	mhpD//nagA//nadA//
AlsR	narH//aspA//umuC//
AppY	pgaB//gdhA//
AraC	sdhA//lsrG//speB//
AraC-arabinose	aceF//leuA//lacZ//citE//glmS//hypF//ccp//gcvH//
ArgP	murI//metK//yqhD//asnA//entC//araD//ilvA//dacC//
ArgP-arginine	hcp//
ArgR-L-arginine	purD//paaJ//trpD//ulaD//uvrA//cysK//malZ//wzb//paaJ//gadA//gcl//paaK//arsC//ilvE//edd//icd//gpmM//tdh//ynfE//entC//bioF//ahpF//ilvE//
ArsR	nfsB//hyaC//
AscG	dhaM//tpiA//
AsnC	uxuB//fabZ//
AtoC-Phosphorylated	rbsD//umpH//psd//
BCCP	nagA//
BaeR-Phosphorylated	nagB//fadB//
BasR-Phosphorylated	hcaB//dsdA//rbsK//
BetI	pgaB//pgi//nagA//
BirA-biotinyl-5-adenylate	galK//ndh//lacA//cysE//glgX//
BluR	
BolA	rffM//prs//
BtsR-Phosphorylated	speG//
CadC	pnp//talA//rutD//
CaiF-L-carnitine	ldtB//citG//cadA//uxuA//pdeL//
Cbl	gdhA//uvrC//umuC//alsE//sdaA//
CdaR	thrS//sdaA//ogt//tdh//ubiA//trpE//thrS//alaS//gatY//
CecR	paaC//
ChbR	citE//citX//amn//
ChbR-N-monoacetylchitobiose-6-phosphate	entD//sgbH//tdcB//
ComR	
