# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	cueO//aroH//
Ada	frdB//rffC//torA//galK//
AdiY	glxR//glxK//pgi//cysH//
AgaR	malY//
AidB	cysE//
AlaS-L-alanine	ftnA//
AllR-allantoin	phnP//tdcG//lpxD//gltD//ccp//mhpC//
AllS-allantoin	lsrF//hycC//fruK//
AlsR	ynfF//wrbA//guaB//
AppY	ycjG//phnI//
AraC	fruK//bioF//nadB//
AraC-arabinose	sgbH//ada//ilvD//chbG//cyoE//putA//rutA//cadA//
ArgP	trpE//gntK//mhpD//acnB//argE//pyrC//murC//hypB//
ArgP-arginine	narH//
ArgR-L-arginine	poxB//rbsD//cysG//fadD//truB//allB//tdh//puuE//aspC//glgC//rtcA//dacC//napG//gcl//prpC//pdeH//dgcN//treC//glcE//pgpC//gpmM//ynfE//wrbA//
ArsR	acnA//nrdE//
AscG	fbaB//mhpF//
AsnC	puuD//slt//
AtoC-Phosphorylated	purD//chbG//napA//
BCCP	hemH//
BaeR-Phosphorylated	wrbA//hcaC//
BasR-Phosphorylated	cadA//nfsB//dgcC//
BetI	murD//iscS//phoA//
BirA-biotinyl-5-adenylate	puuE//ldtD//dkgA//ldtC//talA//
BluR	
BolA	rtcA//nadA//
BtsR-Phosphorylated	hyaB//
CadC	rffG//gcl//cysM//
CaiF-L-carnitine	narI//ung//hcaC//malS//tdcG//
Cbl	gloA//citC//dsdA//dadX//zwf//
CdaR	gudD//tam//icd//purE//paaE//wzc//glxR//puuE//puuD//
CecR	moeA//
ChbR	fes//uxaC//deoA//
ChbR-N-monoacetylchitobiose-6-phosphate	entA//wecC//pyrD//
ComR	
CpxR-Phosphorylated	hycB//purD//bioD//lpxA//alkA//nirD//gor//garD//metF//gcvH//astA//garR//argI//sucA//paaH//acnB//sdhD//murF//gadA//gabT//edd//
Cra	lyxK//argG//katG//pdeH//alsE//gadB//paaK//gatD//cysH//xylA//hycG//allC//hycB//ruvA//glcF//ynfE//trpA//feaB//metE//purL//glk//umpH//lldD//uvrC//sdhD//hycG//purH//dapD//ldtC//recF//hcaE//mhpF//aceB//recD//ynfF//caiD//arsC//rtcA//rhaD//recD//napH//caiD//deoD//codA//paaJ//wrbA//mhpC//ychF//nrfC//rpiB//caiD//garD//allD//cysE//pgm//dgkA//serA//nadB//allB//
CreB-Phosphorylated	recD//fabI//
CsgD	sdhA//nanA//araB//phnG//rhaD//
CsiR	polB//dadA//eda//allB//
CspA	puuA//
CueR-Cu	dgcC//purF//hycE//uvrC//paaJ//
CusR-Pasp	nrdA//mpaA//pdeR//malQ//
CynR	
CynR-cyanate	recF//dmsC//tpiA//
CysB	leuB//garL//
CysB-O-acetyl-L-serine	paaF//rffT//puuB//leuB//glyA//uxaB//phnL//tauD//cysM//hmp//sucB//kbaY//patA//ilvC//dgkA//
CytR	metF//metK//pdeR//phnH//hemH//luxS//torC//caiD//entD//citF//
Dan-L-tartrate	hcaB//bioD//
DcuR-Phosphorylated	folE//ppiA//idnD//mltF//
DeoR	fumC//purD//cyoE//lysU//ldtC//cysD//
DhaR	fadE//
DicA	
DinJ-YafQ	gcvH//
DnaA-ATP	mpl//mpaA//gadB//paaH//fadI//phnM//
DpiA-Pasp	purL//gcvT//arsC//thrS//mhpF//
DsdC-D-serine	atoA//mltF//
EbgR	
EnvR	mtlD//fabA//
EnvY	purN//glpK//
EvgA-Phosphorylated	nadB//rutB//arsC//ulaG//atoD//murD//
ExuR	aceA//tynA//phnJ//ascB//accD//polA//
ExuR-alpha-D-galacturonate	
FabR	aroA//tdcD//hcp//
FadR	mtlD//phnI//cysN//chbG//bioA//pdeL//glcD//pyrC//glpB//fabZ//gcvP//ulaF//carA//cueO//malS//purL//lpxD//sdaA//torA//
FadR-acyl-CoA	
FeaR	paaE//hcaB//
FhlA-formate	lhgO//phnG//lpxA//purM//ung//gatD//uvrB//bglB//
FlhDC	nrfC//polA//glgX//tdcB//aceE//cysD//trpC//rutD//gatY//polA//nadB//citD//paaK//xylB//
FliZ	srlD//purD//dadA//waaH//nrdD//
FucR-L-fuculose-1-P	pagP//trpC//malS//alaA//nirD//glgB//
Fur-Fe2	mtlD//gltD//lacA//phnG//pgaD//kbaY//rutA//araB//putA//lysA//oxc//hypB//murI//argC//phnL//dhaK//dhaL//leuC//dgkA//mhpA//ugpQ//fabG//sucB//nfsA//hyaC//fabB//talA//mhpF//lsrF//glcD//hycD//dmsA//fbaA//gcvH//paaI//betB//pheT//pgaB//murF//truB//puuA//dkgA//entC//leuC//pagP//pdeL//dkgA//purF//nrfC//allB//ccp//tam//ribA//cynT//sucA//trpB//icd//glsA//murD//yeaG//polB//hycC//
GadE	lsrF//prpB//adhE//gadB//talA//fabG//speA//glnA//phnO//yqjH//
GadE-RcsB	murC//rffH//eda//tktB//murC//
GadW	lysC//cadA//pgi//argB//
GadX	ilvI//paaZ//pheS//glcB//tdcD//aceE//fadD//mhpE//dapB//rffC//caiA//citG//waaZ//galE//
GalR	murI//astD//purL//gadB//cysM//moeA//
GalR-beta-D-galactose	citD//mhpA//prpB//pgm//glcB//
GalS	phnG//paaE//accA//gcvH//glnA//sbcC//
GalS-beta-D-galactose	ldtD//hmp//citC//nanK//gapA//
GatR	cysE//ugpQ//moaD//
GcvA	argD//icd//ynfE//
GlcC-glycolate	nanK//guaA//nagB//
GlpR	purB//metF//uxuA//glxR//rfe//sodA//prpC//
GlrR-Pasp56	
GntR	trpD//ddlB//hyaB//ung//glk//ldtD//ssuE//citG//ung//
GutM	fabD//lacZ//ldtB//
HU	mhpA//phnI//malP//accC//dadA//alaC//prpC//
HcaR	
HcaR-HCA	gloA//ubiA//
HdfR	
HigA	aroL//
HigB-HigA	ilvI//
HipAB	bioF//glcF//
HipB	treC//argA//murC//
HprR-Phosphorylated	entA//ilvI//caiA//pgaD//
HyfR	bioA//
HypT-Met-oxidized	fdhF//fabD//glpK//purF//alkA//astC//napA//
IclR-pyruvate	ygeA//paaA//dkgB//
IdnR-5-ketogluconate	yfdE//lhgO//bglB//accD//metA//
IlvY	
IlvY-S-2-acetolactate	patA//
IscR	uxaB//puuD//dgkA//tadA//yfdE//paaF//
IscR-2Fe-2S	aceE//ascB//
KdgR	glcB//ahpC//
KdpE-Phosphorylated	pdeH//
LacI	purN//allE//uxaC//
LeuO	ogt//ynfG//yfdE//aroG//garR//cysC//
LexA	nirD//fabB//rfe//uxuA//phnP//garL//wzb//ogt//hycF//gcvT//idnD//murQ//galK//purB//pncB//uidA//hcaC//glcF//cysC//deoA//ada//yqhD//serC//
LldR	tnaA//patA//
LldR-S-lactate	chbG//hcaB//
LrhA	
Lrp	lpxD//glgP//yeaG//citD//ulaG//tynA//pykF//glgC//aroA//mhpC//folA//folA//entE//nanE//araD//hycC//accD//dhaK//wrbA//tnaA//paaB//nrfC//glpK//ribA//fadA//dhaL//fabG//glcE//bioD//nirD//adiA//
Lrp-leucine	aroG//tehB//tauD//argA//ilvE//aceE//gor//glpA//murC//avtA//rutD//hypB//umpH//caiA//metK//napB//pgi//
LsrR	cdd//uxaA//treC//ftsI//uxuB//
LysR	nfsA//
MalI	srkA//glpB//
MalT-maltotriose-ATP	allC//purN//paaJ//accC//rsmH//guaA//
MarA	gcvP//fabI//nfsB//relA//glgB//metE//trpE//prs//malS//nrfA//katE//prpC//galK//mtlD//kbl//aldA//moaC//sgbH//pspE//appA//cysN//argD//fabZ//mraY//
MarR	
MatA	entE//
MazE	tnaA//
MazE-MazF	uxuB//
McbR	
MelR	pnp//hycC//
MelR-melibiose	argC//rhaA//
MetJ-adenosylmethionine	ldtD//ftsI//hcaF//nagA//purA//pgaD//cysE//glgP//ldtB//pdeH//
MetR	dhaL//nanA//
MetR-L-homocysteine	aroF//malP//
MhpR-3HPP	tpiA//pheS//pgk//gadA//caiB//pck//
Mlc	napG//bioC//fadI//pck//
MlrA	serA//
MngR	ilvH//entC//
MntR-Mn2+	srkA//idnK//
ModE-MoO42-	purC//hypF//paaA//gpmM//fadJ//aspA//aroA//rutB//rffG//zwf//hycB//ldtD//carB//ilvM//glyA//nirB//rffH//
MprA	sgbU//sgbU//sbcC//
MqsA	hycG//purC//
MraZ	bioC//phr//rpiB//recD//cysJ//frdD//glgB//paaG//murG//rtcB//
MurR	aroF//uvrA//glpD//
Nac	paaY//avtA//galK//gatY//tdcG//trpB//aroH//wecC//hcaC//bioA//glpD//
NadR	mnmG//galE//paaK//patD//
NagC	rffH//purC//ldtC//murQ//gabD//cysC//ldtB//ynfH//ychF//kbaZ//umuC//ung//ygeA//purL//moaD//gabT//ssuD//nfsB//metC//
NanR	hyaC//ruvA//cdd//rnpB//rffC//mltF//
NarL-Phosphorylated	rtcB//rutA//glgC//wecE//pheS//lpd//ynfH//argF//ppsA//lpd//puuA//dmsA//zwf//pgm//entF//ampC//deoC//astC//mhpB//ychF//phnI//thrS//allC//eno//nrfA//frdB//allA//speG//guaA//phnG//purN//hycC//prpE//sucA//garD//argE//hemL//katE//murE//ilvM//rutC//
