# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	paaY//accC//
Ada	nirB//citG//glcF//moaE//
AdiY	metA//wrbA//ttdB//hycD//
AgaR	purE//
AidB	putA//
AlaS-L-alanine	fadA//
AllR-allantoin	leuA//rutB//fbaB//murE//dhaK//ascB//
AllS-allantoin	metL//phnP//glgX//
AlsR	aroF//fumC//napA//
AppY	glcD//nadB//
AraC	sufS//accA//yiaK//
AraC-arabinose	luxS//serA//argD//wecE//lsrK//purB//gatY//murQ//
ArgP	moaE//guaA//eda//sdhA//paaY//cysJ//uidA//rtcB//
ArgP-arginine	fucO//
ArgR-L-arginine	ppsA//fdhF//metH//caiB//gudD//galT//purK//aroG//rffG//ulaD//cadA//torC//rffG//araB//tynA//ppc//puuA//glgP//dhaK//rutB//fadJ//umpH//entA//
ArsR	rutD//hcaC//
AscG	phoA//mazG//
AsnC	dadA//lpd//
AtoC-Phosphorylated	metC//paaC//cysJ//
BCCP	bioB//
BaeR-Phosphorylated	mhpE//galT//
BasR-Phosphorylated	fadD//rffC//mhpE//
BetI	cynT//accC//katE//
BirA-biotinyl-5-adenylate	gloA//alaC//grxA//trpC//frc//
BluR	
BolA	ulaF//zwf//
BtsR-Phosphorylated	allC//
CadC	fabZ//frdC//atoD//
CaiF-L-carnitine	uxaC//hyi//ddlB//ssuE//paaJ//
Cbl	atoB//nfsA//lhgO//adhE//hyi//
CdaR	entF//frdD//hycF//gutQ//gor//ribA//glpX//glmS//hycF//
CecR	mngB//
ChbR	ldtC//murE//adiA//
ChbR-N-monoacetylchitobiose-6-phosphate	astD//purA//rimK//
ComR	
CpxR-Phosphorylated	phnO//speG//asnB//citG//chbG//icd//fadB//pyrD//accC//cysN//srkA//lyxK//purH//dhaL//metH//fruK//pgaC//chbG//phnI//glpC//gpmM//
Cra	leuD//mnmG//nfsA//tdcE//wecB//gabD//pdeL//lyxK//galE//phnO//moaC//rtcB//yiaK//iscS//glcD//ilvM//fucI//entD//lpxA//dmsB//pnp//pgpC//uvrB//rtcA//purD//ilvM//nrdF//glcD//gapA//hyaC//aceE//sdhC//lsrG//caiD//deoA//speA//cyoE//iscS//dgkA//ppiA//gatY//adhE//entF//gnd//xylB//pdeL//kbl//bioA//accA//adhE//sbcD//fadJ//deoB//paaF//ubiA//moeA//galT//pck//fes//
CreB-Phosphorylated	pdeL//astE//
CsgD	garD//mhpC//ssuD//ilvG_1//trpA//
CsiR	nfsA//dgkA//gloA//rimK//
CspA	eno//
CueR-Cu	glpK//asnB//glgB//paaH//ccp//
CusR-Pasp	allE//tdcE//argH//metF//
CynR	
CynR-cyanate	ilvG_1//phoA//ilvI//
CysB	metE//astE//
CysB-O-acetyl-L-serine	fucU//ubiC//phnL//phnL//lpxD//glpD//ada//leuC//mdh//wecC//hemL//cysN//mtlD//entF//rutA//
CytR	entB//glcF//grxA//ldtD//dapB//speG//mraY//bioD//mhpE//puuD//
Dan-L-tartrate	glcE//nrdE//
DcuR-Phosphorylated	trpD//nrdB//hemL//ung//
DeoR	fadH//ftnA//ilvC//pgpC//xapA//wecE//
DhaR	uxaC//
DicA	
DinJ-YafQ	rsmH//
DnaA-ATP	sdaA//yeaE//gcvH//ssuD//rffT//pykF//
DpiA-Pasp	glcF//ulaE//ybjG//waaY//dinB//
DsdC-D-serine	uvrB//hcaE//
EbgR	
EnvR	purE//waaY//
EnvY	pgi//hyaA//
EvgA-Phosphorylated	hcaE//argB//pyrC//acnA//tdcD//ygeA//
ExuR	glyA//idnO//wrbA//murE//hypF//cysN//
ExuR-alpha-D-galacturonate	
FabR	sdhD//ynfH//idnD//
FadR	dgcZ//nadA//ulaG//xapA//ulaE//trpE//aroG//deoB//puuE//gntK//zwf//patA//carA//umuC//caiD//araD//lsrG//fucU//gpmA//
FadR-acyl-CoA	
FeaR	caiB//polB//
FhlA-formate	paaK//ruvB//tyrB//cysN//gcvP//accD//torC//phnJ//
