# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	fabD//fumC//
Ada	citG//umpH//chbF//icd//
AdiY	ulaE//glgP//garD//ilvD//
AgaR	recF//
AidB	rnpB//
AlaS-L-alanine	rimK//
AllR-allantoin	metK//fabH//hypF//puuD//allE//malQ//
AllS-allantoin	yedX//argG//sgbU//
AlsR	dhaK//fabB//adhE//
AppY	purE//dapB//
AraC	murC//talA//caiD//
AraC-arabinose	sgbH//ribA//nrdA//argE//mpl//puuD//wzc//hcaE//
ArgP	murD//paaK//phnM//argH//bacA//citF//fes//garD//
ArgP-arginine	aroA//
ArgR-L-arginine	tdcD//lysU//phnH//nrdF//prpB//glgB//accD//cdd//argA//idnK//gcvH//fes//paaZ//fucI//purE//poxB//aldA//napG//rfe//gapA//entF//luxS//chbF//
ArsR	yfdE//ilvE//
AscG	lsrF//glpA//
AsnC	codA//hycE//
AtoC-Phosphorylated	paaY//dapD//sbcC//
BCCP	fadJ//
BaeR-Phosphorylated	dhaK//paaE//
BasR-Phosphorylated	wzc//metL//ribA//
BetI	gadA//lacZ//idnK//
BirA-biotinyl-5-adenylate	araA//nrfA//dmsB//lysC//mazG//
BluR	
BolA	nrfA//cysM//
BtsR-Phosphorylated	ilvE//
CadC	chbG//hycF//glpD//
CaiF-L-carnitine	phnL//cadA//phnP//ppiA//fucO//
Cbl	dgcN//puuE//katG//phr//hcaF//
CdaR	tdh//metL//rffC//fadI//aceF//pheT//gadB//paaY//hcp//
CecR	thrS//
ChbR	paaY//lpxD//mhpC//
ChbR-N-monoacetylchitobiose-6-phosphate	pykF//talA//guaB//
ComR	
CpxR-Phosphorylated	ldtD//tpiA//bioD//frc//paaC//asnB//codA//malZ//phnO//sdhA//ilvM//rutC//pflB//pyrD//phnP//lyxK//glpD//nrfD//dhaK//gapA//ilvD//
Cra	purM//sucA//sufS//dhaM//patD//alaA//polB//puuD//argH//sucC//ilvC//napG//paaZ//tdcD//tnaA//gadB//cueO//rffT//cysC//dmsC//frc//nrdB//uvrA//glgP//napG//dhaM//nfsB//glcD//astD//gcvP//galM//aspA//lyxK//ilvD//recF//idnO//recD//gnd//narH//entE//lysU//glxR//sdhC//uxaA//ada//frc//entC//yeaG//idnK//purE//wecE//caiB//rbsD//feaB//nadB//recF//accA//citF//accA//
CreB-Phosphorylated	glsA//frdB//
CsgD	paaE//ilvE//uxaB//bioD//bglB//
CsiR	ddlB//ttdA//allD//ilvH//
CspA	phnO//
CueR-Cu	glgC//caiC//ftsI//lldD//purF//
CusR-Pasp	rpiB//narI//ruvA//idnD//
CynR	
CynR-cyanate	purD//ppiA//tdcE//
CysB	ulaF//fes//
CysB-O-acetyl-L-serine	metL//ndh//purH//fadA//ldtB//rimK//gcvP//cadA//cysI//gcvH//caiB//dmsC//xapA//hyi//rffG//
CytR	argF//prpE//ccp//glxK//hcaE//ynfE//bioB//dapB//paaI//eda//
Dan-L-tartrate	galM//phnL//
DcuR-Phosphorylated	uvrA//deoC//ydcS//prpE//
DeoR	phnJ//gcl//astB//nemA//puuD//fruK//
DhaR	xylB//
DicA	
DinJ-YafQ	mhpB//
DnaA-ATP	aceB//metC//guaA//gadA//alsE//glpX//
DpiA-Pasp	ssuE//dsdA//cysD//ynfF//hmp//
DsdC-D-serine	nrdA//umuD//
EbgR	
EnvR	edd//sucD//
EnvY	speA//argB//
EvgA-Phosphorylated	chbF//hycE//pgk//trpC//lacA//iscS//
ExuR	hycD//argE//tauD//carB//moaA//rutE//
ExuR-alpha-D-galacturonate	
FabR	pykF//trpD//pck//
FadR	uxaC//ogt//lsrK//bioB//glpC//rnpB//pyrC//malS//galE//patD//kbl//hcaB//alkA//hcaC//alkA//entE//asnA//uvrC//glk//
FadR-acyl-CoA	
FeaR	rutC//lyxK//
FhlA-formate	rffG//wrbA//ccp//allE//frdB//fabH//hycG//rsmH//
FlhDC	hycB//yfdE//iscS//dhaL//deoD//idnD//ldtB//nanK//tdcB//purA//accA//wzc//aceA//yqhD//
FliZ	speG//hypF//ung//carB//gudD//
FucR-L-fuculose-1-P	uxuA//cysN//speB//ccp//fucI//phnM//
Fur-Fe2	mngB//metL//tpiA//umuD//ulaF//prpC//fadB//ribA//recD//cysG//pheT//cynS//wzb//wecC//rtcB//rutE//mhpB//frc//entE//galM//gadB//pdeL//aspC//cynT//recB//alaC//serA//cyoE//mpl//truB//ubiC//mnmG//glpA//dadA//caiB//argG//moaD//pheS//sdaA//gloA//dapB//fruK//alkA//fabI//fbaB//moaC//fumB//cysN//puuC//garD//rffH//garR//pgaB//malS//glpA//aldA//paaI//argE//ubiC//allB//dmsC//napG//
GadE	rffH//aceA//rutB//murD//sodB//metC//ascB//metC//paaH//aroL//
GadE-RcsB	hycF//garD//cysH//gatZ//lpxA//
GadW	purA//nadA//rutD//tyrB//
GadX	allE//ppiA//fucK//fau//dadX//purM//dmsA//puuE//ogt//frdD//ulaE//astD//wecB//asnA//
GalR	nrdE//argG//fbaA//pyrC//citE//bioA//
GalR-beta-D-galactose	uxuA//yqhD//purK//speA//hycF//
GalS	gatY//mhpC//cysD//rtcA//citC//alkA//
GalS-beta-D-galactose	wecE//speB//cysN//malP//phnH//
GatR	dapD//lysA//uxaC//
GcvA	hyaA//lpxC//sgbE//
GlcC-glycolate	mltF//nanK//nagA//
GlpR	lysC//folA//pyrC//ccp//leuD//mazG//gabD//
GlrR-Pasp56	
GntR	cueO//udp//kbl//caiD//aldA//rffM//ilvE//ubiC//sucD//
GutM	ppsA//fruK//cynT//
HU	katE//codA//hycG//araB//umpH//aroH//xapA//
HcaR	
HcaR-HCA	hypB//rffH//
HdfR	
HigA	recB//
HigB-HigA	fabZ//
HipAB	argI//deoD//
HipB	aroL//entA//ldtB//
HprR-Phosphorylated	dhaL//murI//yfdE//pyrD//
HyfR	bioB//
HypT-Met-oxidized	gatZ//caiD//waaZ//narI//gatD//tpiA//frdD//
IclR-pyruvate	oxc//srkA//glpA//
IdnR-5-ketogluconate	glsA//ubiA//hyaB//gloA//glcF//
IlvY	
IlvY-S-2-acetolactate	phr//
IscR	dacC//gcl//frdD//fadA//purC//fes//
IscR-2Fe-2S	argH//dhaL//
KdgR	grxA//mltF//
KdpE-Phosphorylated	mngB//
LacI	moeB//nemA//dsdA//
LeuO	dacC//tehB//metC//caiA//dsdA//uxuB//
LexA	pgaD//yedX//gltD//pheS//mpl//aspC//aceE//astB//bioB//prpC//pdeR//hypB//narI//amn//sucC//nrfC//rutC//mpaA//lsrG//deoB//entA//tyrA//pheT//
LldR	hyaA//purE//
LldR-S-lactate	sdaA//bioD//
LrhA	
Lrp	hycC//sodB//puuC//cysN//glgB//trpD//glcE//glxK//pgaB//hemL//malP//ychF//dhaL//dkgA//metC//ampC//purA//ldtD//umuC//ilvD//ruvA//rfe//nirD//glmU//narH//speA//pheS//entF//hyaB//tadA//uxaC//
Lrp-leucine	purD//gnd//leuB//hyaB//pgi//hycF//ulaD//nagB//garK//sgbU//metH//aceE//tdcD//pepD//rimK//ynfH//tadA//
LsrR	phr//purF//idnK//cysK//fadH//
LysR	yeaG//
MalI	atoA//glxR//
