# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	hcaC//cysN//
Ada_neg	zwf//hycD//
Ada_pos	aroH//betB//ppc//glgP//
AdiY_pos	dmsC//yeaE//moeB//yqjH//
AgaR_neg	nrfD//
AidB_neg	citD//
AlaS-L-alanine_neg	gutQ//
AllR-allantoin_neg	umpH//entF//bioD//ygeA//dapD//mltF//
AllS-allantoin_pos	wecC//fucI//tehB//
AlsR_neg	leuD//frdD//waaY//
AppY_pos	glmU//bacA//
AraC-arabinose_neg	glgB//pyrD//rffT//tktB//glsA//
AraC-arabinose_pos	wecE//ftnA//argF//fadH//astB//hycF//
AraC_neg	icd//dacC//purB//
AraC_pos	moaD//phnG//mpl//
ArgP-arginine_neg	
ArgP-arginine_pos	asnB//
ArgP_pos	purM//uidA//metA//acnB//deoB//glmU//eda//ynfH//
ArgR-L-arginine_neg	gltB//napG//edd//murQ//folA//ldtB//bioD//fbaA//argC//polB//murI//paaC//umuD//glcE//aroH//pspE//phnG//trpB//
ArgR-L-arginine_pos	yfdE//cysE//glcB//aroF//ulaF//
ArsR_neg	cysC//pheS//
AscG_neg	hycG//hcaD//
AsnC_neg	alaC//
AsnC_pos	entD//
AtoC-Phosphorylated_pos	psd//mhpD//sdhA//
BCCP_neg	carB//
BaeR-Phosphorylated_pos	nagA//lysC//
BasR-Phosphorylated_neg	cysC//
BasR-Phosphorylated_pos	phnJ//uxaC//
BetI_neg	melA//fucA//lacZ//
BirA-biotinyl-5-adenylate_neg	rffH//ascB//fadE//katE//murQ//
BluR_neg	
BolA_neg	nrfA//pgaB//
BolA_pos	dgcC//hycE//
BtsR-Phosphorylated_pos	ulaE//
CadC_pos	tehB//hycB//bacA//
CaiF-L-carnitine_pos	tadA//rffT//entD//paaB//tnaA//
Cbl_pos	speB//yqhD//dhaK//nanA//citD//
CdaR_pos	sucB//hyaC//fadH//dsdA//purD//talA//rbsD//ldtC//argB//
CecR_neg	phr//
ChbR-N-monoacetylchitobiose6-phosphate_neg	nrfD//narG//narI//
ChbR-N-monoacetylchitobiose6-phosphate_pos	dgcC//gatZ//umuC//
ChbR_neg	nrdE//glsA//astB//
ChbR_pos	rutD//torA//phr//
ComR_neg	
CpxR-Phosphorylated_neg	allE//sdhA//aroH//
CpxR-Phosphorylated_pos	yfdE//acnA//ilvC//ycjG//trpD//zwf//garK//moaD//hcaE//gapA//puuD//yfdE//narG//galK//trpD//bioF//lsrG//yeaG//
Cra_neg	bacA//glpB//bioD//purF//rtcB//glpQ//nemA//cysD//argF//paaI//lacA//mraY//accA//pgi//mnmG//mhpC//ynfF//paaH//astA//dapD//sgbE//fbaB//idnO//rffH//mhpF//yeaG//phnL//phnH//hycC//rutC//bioA//galT//hcaE//putA//argI//ynfG//entA//dacC//argC//allC//metB//hyaC//hcaB//mhpC//nadA//
Cra_pos	dacC//argA//hcaC//aroL//yeaE//trpB//hycC//malZ//torC//purF//chbF//gnd//ada//ulaE//paaG//dgcZ//aroG//
CreB-Phosphorylated_neg	uidA//
CreB-Phosphorylated_pos	tadA//
CsgD_neg	argH//cysK//
CsgD_pos	entH//galK//murD//
CsiR_neg	wecE//sbcC//yfdE//caiD//
CspA_pos	nadA//
CueR-Cu_neg	rbsD//sdhD//alaC//
CueR-Cu_pos	purB//citX//
CusR-Pasp_pos	entD//ilvC//fadA//polA//
CynR-cyanate_pos	mnmG//mazG//metE//
CynR_neg	
CysB-O-acetyl-L-serine_neg	cysI//cueO//caiC//
CysB-O-acetyl-L-serine_pos	atoD//bioD//gor//fdhF//paaK//grxA//cysH//bioF//rhaB//moaD//xylA//accA//
CysB_neg	
CysB_pos	tyrA//phnN//
CytR_neg	arsC//ogt//paaF//ssuE//xapA//citF//glcE//fadI//metK//phnL//
Dan-L-tartrate_pos	dinB//trpE//
DcuR-Phosphorylated_pos	atoA//gpmA//kbaY//gatZ//
DeoR_neg	gdhA//amn//waaZ//phnM//yeaE//rpiB//
DhaR_neg	
DhaR_pos	prpE//
DicA_neg	
DinJ-YafQ_neg	pgaD//
DnaA-ATP_neg	udp//citE//caiC//paaH//ddlB//
DnaA-ATP_pos	rhaB//waaH//umuC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	puuA//argI//fabG//nrdE//allB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	pfkA//argE//
EbgR_neg	
EnvR_neg	thrS//glpC//
EnvY_pos	galM//malZ//
EvgA-Phosphorylated_pos	hyaC//ogt//oxc//alkB//hyaB//aceB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	napG//fadH//nrfA//eno//fadE//rtcB//
FabR_neg	glxK//citD//mhpE//
FadR-acyl-CoA_pos	
FadR_neg	mtlD//ruvB//prpE//hyaC//asnA//rffH//purA//argA//trpD//
FadR_pos	glcE//entE//ilvC//sbcC//cysE//puuD//yiaK//glpX//yedX//ldtD//
FeaR_pos	ung//pck//
FhlA-formate_pos	aroF//puuE//aroL//ruvA//yedX//codA//cysC//glyA//
FlhDC_neg	lyxK//ahpF//
FlhDC_pos	nrdB//phnJ//narG//hmp//prs//ldtC//tdcG//ttdA//alaS//dgkA//metA//argC//
FliZ_neg	fbaA//metB//hcaC//phnM//glpC//
FucR-L-fuculose-1-P_pos	gatD//asnA//atoA//murQ//lhgO//hyaA//
