# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	murF//allB//
Ada_neg	ruvB//nfsB//
Ada_pos	ribA//carB//napB//speG//
AdiY_pos	nirB//fadH//fabD//pflB//
AgaR_neg	trpC//
AidB_neg	nrdD//
AlaS-L-alanine_neg	entE//
AllR-allantoin_neg	narG//ybjG//psd//uxaB//phnN//betA//
AllS-allantoin_pos	prpB//ccp//hypB//
AlsR_neg	fabH//acnB//paaJ//
AppY_pos	wzb//rffH//
AraC-arabinose_neg	zwf//appA//garR//lpd//trpB//
AraC-arabinose_pos	phnI//pdeL//sdhB//fadA//mltF//phnO//
AraC_neg	ndh//hypF//purH//
AraC_pos	gcvH//citD//rnpB//
ArgP-arginine_neg	
ArgP-arginine_pos	chbF//
ArgP_pos	paaK//gntK//entF//amn//glgP//moeA//aceF//nagA//
ArgR-L-arginine_neg	entB//argC//pheS//fumB//glpK//waaY//cysN//rhaB//pyrC//gabT//ulaD//puuB//purE//uxuB//pspE//glk//glcE//alaS//
ArgR-L-arginine_pos	bglB//fadD//grxA//rhaB//sucD//
ArsR_neg	nrfC//speA//
AscG_neg	gutQ//entC//
AsnC_neg	ruvB//
AsnC_pos	fabH//
AtoC-Phosphorylated_pos	glmU//yfdE//metL//
BCCP_neg	rtcB//
BaeR-Phosphorylated_pos	aceA//garD//
BasR-Phosphorylated_neg	yiaK//
BasR-Phosphorylated_pos	pspE//slt//
BetI_neg	argE//fucO//tdcD//
BirA-biotinyl-5-adenylate_neg	sodB//moeA//metA//alaS//pgaC//
BluR_neg	
BolA_neg	ynfH//bglB//
BolA_pos	glyA//waaY//
BtsR-Phosphorylated_pos	argA//
CadC_pos	cysK//pepD//fumC//
CaiF-L-carnitine_pos	mhpB//puuB//slt//ynfE//frdD//
Cbl_pos	rutC//tktB//dmsB//glgP//mltF//
CdaR_pos	nrfD//purK//hycB//mpl//argG//hycF//uxaB//hycD//gcl//
CecR_neg	fbaA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	pyrD//serA//yeaG//
ChbR-N-monoacetylchitobiose6-phosphate_pos	fadD//gltB//ppsA//
ChbR_neg	hyaB//allE//ychF//
ChbR_pos	caiB//lsrG//moaD//
ComR_neg	
CpxR-Phosphorylated_neg	araB//allE//prpD//
CpxR-Phosphorylated_pos	nrfA//tnaA//cadA//nirD//yqhD//fadM//nrfA//bioC//moaE//sodA//uxaB//moaD//gdhA//aroL//lysC//phnJ//putA//betA//
Cra_neg	purE//ygeA//nrdE//pagP//wecC//fabG//trpD//torA//gdhA//paaJ//melA//nirB//fabA//ddlB//glcE//moaE//ldtB//fadM//moaE//folE//aroG//fadD//metF//pspE//yiaK//trpD//ulaE//allA//entD//ftnA//nrfA//purH//pagP//guaB//puuE//bioD//mdh//cysC//hemH//idnK//alkB//uvrA//narH//narH//gnd//
Cra_pos	purC//mraY//caiA//entA//uxaB//pgpC//waaY//hypF//astC//garR//speG//xylB//ftnA//nfsB//glpB//pyrD//rutD//
CreB-Phosphorylated_neg	ftsI//
CreB-Phosphorylated_pos	nfsB//
CsgD_neg	ppsA//phnI//
CsgD_pos	dgkA//umpH//torA//
CsiR_neg	mpl//moeA//kbaY//eno//
CspA_pos	srkA//
CueR-Cu_neg	glcE//recB//murG//
CueR-Cu_pos	hycB//ppc//
CusR-Pasp_pos	nanA//uvrA//nrdB//ribA//
CynR-cyanate_pos	leuC//idnO//gloA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	uvrC//cysK//frdB//
CysB-O-acetyl-L-serine_pos	sdhD//rbsD//nrdD//polB//galE//fes//hycG//tdcE//rutA//lldD//lysA//cynT//
CysB_neg	
CysB_pos	pdeL//rhaB//
CytR_neg	argE//sdhC//recF//kbaY//astC//glgA//fabA//pgi//alkA//bioF//
Dan-L-tartrate_pos	cysN//ccp//
DcuR-Phosphorylated_pos	uxaA//yedX//hycD//gabT//
DeoR_neg	glk//araB//glgX//trpA//murF//gapA//
DhaR_neg	
DhaR_pos	moaA//
DicA_neg	
DinJ-YafQ_neg	tynA//
DnaA-ATP_neg	fadB//zwf//napH//galM//cysE//
DnaA-ATP_pos	glgB//lpxC//hyaA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	nrfA//xylA//xylA//ychF//paaB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	mpl//glyA//
EbgR_neg	
EnvR_neg	glcB//ulaG//
EnvY_pos	tpiA//ygeA//
EvgA-Phosphorylated_pos	frdB//hmp//carA//garL//treC//fabH//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	pgk//mhpA//aspA//sbcD//pgm//pgpC//
FabR_neg	chbF//truB//frdA//
FadR-acyl-CoA_pos	
FadR_neg	ttdB//fabD//entD//bioB//oxc//guaB//ynfG//allC//sbcD//
FadR_pos	phnG//deoA//amn//luxS//argG//nirD//nfsA//phnJ//polA//dinB//
FeaR_pos	gadB//udp//
FhlA-formate_pos	rhaA//napB//dacC//aceA//nfsB//phoA//gltB//tam//
FlhDC_neg	metH//ynfE//
FlhDC_pos	hcaB//hyaB//mhpA//frdD//umuC//murE//paaG//sucD//bioA//purB//ubiA//argH//
FliZ_neg	moaA//rffH//argG//yeaG//arsC//
FucR-L-fuculose-1-P_pos	glpK//pheS//lysC//pgpC//mnmG//lsrF//
