# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	mdh//mngB//
Ada_neg	pdeH//uxuB//
Ada_pos	sdhC//hcaC//sbcC//fabB//
AdiY_pos	rffM//pgpC//hypB//umuD//
AgaR_neg	ccp//
AidB_neg	lacZ//
AlaS-L-alanine_neg	sgbE//
AllR-allantoin_neg	galK//prpB//phnO//glsA//polB//dkgA//
AllS-allantoin_pos	hcp//prpE//yiaK//
AlsR_neg	paaC//leuB//folE//
AppY_pos	rhaA//aceB//
AraC-arabinose_neg	yqhD//paaF//aceA//torA//entH//
AraC-arabinose_pos	hcaD//glpQ//argG//waaY//mhpD//pyrC//
AraC_neg	gabT//zwf//nrdB//
AraC_pos	gatZ//putA//frdB//
ArgP-arginine_neg	
ArgP-arginine_pos	dhaK//
ArgP_pos	fumB//rpiB//moaD//lsrF//metH//bioD//gatY//ssuD//
ArgR-L-arginine_neg	phnJ//ynfF//mhpD//folE//ulaF//alkB//uidA//uxuB//uxaB//cadA//glcF//guaA//rffG//atoA//fucU//ttdA//sdhC//yfdE//
ArgR-L-arginine_pos	srlD//bacA//ssuE//pflB//trpD//
ArsR_neg	gltB//phr//
AscG_neg	paaA//cysE//
AsnC_neg	ldtD//
AsnC_pos	dhaL//
AtoC-Phosphorylated_pos	wrbA//hypB//ilvC//
BCCP_neg	purE//
BaeR-Phosphorylated_pos	hcaC//recD//
BasR-Phosphorylated_neg	ppiA//
BasR-Phosphorylated_pos	rfe//malY//
BetI_neg	fucA//metF//purE//
BirA-biotinyl-5-adenylate_neg	nfsB//bioA//phnN//torC//polA//
BluR_neg	
BolA_neg	cdd//speG//
BolA_pos	gltB//nrfC//
BtsR-Phosphorylated_pos	gcvP//
CadC_pos	glcB//idnD//paaA//
CaiF-L-carnitine_pos	citX//ttdB//nrdF//frdD//fabG//
Cbl_pos	aceA//mltF//paaK//ulaF//wrbA//
CdaR_pos	yeaG//waaZ//atoB//acnA//malZ//guaA//cueO//glmS//gutQ//
CecR_neg	paaE//
ChbR-N-monoacetylchitobiose6-phosphate_neg	prpE//paaB//galM//
ChbR-N-monoacetylchitobiose6-phosphate_pos	citE//recB//lsrF//
ChbR_neg	bioD//lldD//metL//
ChbR_pos	glpD//ldtC//gor//
ComR_neg	
CpxR-Phosphorylated_neg	iscS//paaZ//dkgA//
CpxR-Phosphorylated_pos	fdhF//ulaE//atoD//caiD//recD//fdhF//dapB//pheT//nrfA//pflB//cynT//hycB//paaF//alsE//pagP//lhgO//ycjG//allB//
Cra_neg	puuC//narI//gnd//fumB//phoA//purM//pdeL//folA//bioC//trpA//truB//gatY//bacA//purC//mltF//tdcB//ddlB//ndh//dgkA//fabD//allC//rutD//lpxA//purH//ccp//leuD//patD//hycC//araD//paaH//relA//cyoE//lsrF//malS//epd//paaF//glnA//malP//mraY//aroL//yeaG//asnA//cynS//hemH//ftsI//
Cra_pos	lpd//fabH//tyrB//cysH//gloA//rpiB//atoB//xylA//pheT//glcE//pgm//rutC//argB//pgk//bioB//tyrA//cdd//
CreB-Phosphorylated_neg	speB//
CreB-Phosphorylated_pos	malS//
CsgD_neg	frdB//glcB//
CsgD_pos	glpK//nfsA//bioC//
CsiR_neg	phnH//dhaM//hyaB//bioB//
CspA_pos	lysA//
CueR-Cu_neg	rhaB//dgcN//gdhA//
CueR-Cu_pos	wzc//napA//
CusR-Pasp_pos	cueO//acnA//cysE//sodB//
CynR-cyanate_pos	nagA//hyaB//carB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	sucD//ppsA//mraY//
CysB-O-acetyl-L-serine_pos	puuB//alsE//hyaB//adhE//rnpB//sucD//thrS//idnD//fadI//ssuD//ftnA//aroG//
CysB_neg	
CysB_pos	pheS//yqjH//
CytR_neg	aspC//hemH//cynT//truB//paaH//dgcZ//cysJ//rbsD//hypF//deoC//
Dan-L-tartrate_pos	dkgB//adhE//
DcuR-Phosphorylated_pos	fucA//gdhA//alaC//ldtC//
DeoR_neg	pflB//uvrB//nfsA//fruK//cysK//rffT//
DhaR_neg	
DhaR_pos	rutB//
DicA_neg	
DinJ-YafQ_neg	gatD//
DnaA-ATP_neg	paaB//pyrC//citX//pyrD//araA//
DnaA-ATP_pos	yiaK//purD//tauD//
DpiA-Pasp_neg	
