# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	leuD//pncB//
Ada_neg	fadJ//paaJ//
Ada_pos	slt//wecC//aspC//dhaL//
AdiY_pos	iscS//glmU//gabD//astC//
AgaR_neg	citE//
AidB_neg	mhpA//
AlaS-L-alanine_neg	aceA//
AllR-allantoin_neg	pgi//gatZ//pgaD//dmsA//fdhF//purH//
AllS-allantoin_pos	glxK//gdhA//tnaA//
AlsR_neg	lysA//rpiB//gltB//
AppY_pos	mhpC//xylB//
AraC-arabinose_neg	tehB//cysH//phnL//aroF//purD//
AraC-arabinose_pos	fadE//kbaY//garL//moaE//phnG//galM//
AraC_neg	mhpE//tdcB//fumC//
AraC_pos	gatY//nanM//cysG//
ArgP-arginine_neg	
ArgP-arginine_pos	nanE//
ArgP_pos	murD//dhaM//astE//fucA//gabT//paaI//sucC//murE//
ArgR-L-arginine_neg	cdd//ulaE//purK//cysJ//aldA//araA//argA//tyrA//rffT//gpmA//nanE//puuA//bioF//fucU//gcvT//paaJ//bioA//bioC//
ArgR-L-arginine_pos	phoA//sbcD//malQ//gltB//narH//
ArsR_neg	katE//sucD//
AscG_neg	sgbH//ygeA//
AsnC_neg	sgbE//
AsnC_pos	idnD//
AtoC-Phosphorylated_pos	yeaE//hycD//caiA//
BCCP_neg	phnJ//
BaeR-Phosphorylated_pos	uxaA//yqhD//
BasR-Phosphorylated_neg	fabB//
BasR-Phosphorylated_pos	argI//idnK//
BetI_neg	xapA//glpC//psd//
BirA-biotinyl-5-adenylate_neg	cysN//fadM//fau//metB//sucC//
BluR_neg	
BolA_neg	waaZ//tyrB//
BolA_pos	mazG//malY//
BtsR-Phosphorylated_pos	yeaG//
CadC_pos	lhgO//rnpB//pyrC//
CaiF-L-carnitine_pos	rffC//uxuA//folA//metH//astC//
Cbl_pos	ppc//lysC//nrdE//oxc//katG//
CdaR_pos	dsdA//chbG//hcaB//phnP//metC//glgB//glpK//ttdA//citG//
CecR_neg	paaB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	lpxD//ldtD//carA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	gatY//dmsA//fruK//
ChbR_neg	purM//fadJ//narG//
ChbR_pos	mraY//hycE//fau//
ComR_neg	
CpxR-Phosphorylated_neg	malY//murI//sucD//
CpxR-Phosphorylated_pos	fadM//tdcG//nrdB//dapD//garR//hmp//gcl//gatD//speA//ulaD//fbaB//atoB//hyaC//ahpC//napA//narG//ynfG//rffT//
Cra_neg	cyoE//aldA//slt//rfe//malZ//nagA//pgpC//purD//fucI//glpD//nfsA//trpC//talA//dmsB//gadA//purE//leuC//gabD//rtcB//astE//phr//idnK//eno//yfdE//rffM//gntK//tnaA//rfe//wecC//patD//chbF//caiD//fadE//trpB//pheT//pykF//guaB//allA//lpd//dkgA//metB//caiC//lhgO//lldD//malZ//
Cra_pos	fucI//hcaF//entH//ndh//bioA//gudD//chbF//wrbA//rffH//metH//ulaG//hycG//moaA//hycC//aceA//argH//waaY//
CreB-Phosphorylated_neg	glmS//
CreB-Phosphorylated_pos	fumC//
CsgD_neg	uvrA//citD//
CsgD_pos	phnL//gadA//araD//
CsiR_neg	ychF//purN//lldD//uxaC//
CspA_pos	yqhD//
CueR-Cu_neg	ubiA//aceB//tdcD//
CueR-Cu_pos	nfsA//lpxC//
CusR-Pasp_pos	frc//bglB//leuC//argF//
CynR-cyanate_pos	fruK//glpK//xylB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	sdhD//idnO//betA//
CysB-O-acetyl-L-serine_pos	mazG//argC//entF//gutQ//sucB//sgbU//dhaM//hyaC//metL//wecC//gltD//hcaD//
CysB_neg	
CysB_pos	allD//garR//
CytR_neg	pgm//tdcG//hcaB//betB//idnO//astD//gnd//araA//gabD//glnA//
Dan-L-tartrate_pos	hycB//sufS//
DcuR-Phosphorylated_pos	yeaG//accC//paaC//murF//
DeoR_neg	sucD//nirB//katE//purF//cueO//nirB//
