# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ftsI//melA//
Ada_neg	paaK//wrbA//
Ada_pos	pdeL//aceB//rhaB//eno//
AdiY_pos	arsC//sdhD//moeA//cysE//
AgaR_neg	lsrK//
AidB_neg	cysJ//
AlaS-L-alanine_neg	polB//
AllR-allantoin_neg	idnO//garD//dmsB//phnN//icd//ruvB//
AllS-allantoin_pos	paaA//lysC//amn//
AlsR_neg	ttdA//rffM//udp//
AppY_pos	hyi//entB//
AraC-arabinose_neg	carA//leuC//tdcE//garD//ldtC//
AraC-arabinose_pos	puuB//lysC//idnK//argI//gutQ//idnO//
AraC_neg	iscS//pyrD//gudD//
AraC_pos	waaY//glmS//yeaE//
ArgP-arginine_neg	
ArgP-arginine_pos	aceB//
ArgP_pos	hypF//leuC//moaE//tdcB//mhpC//pck//trpC//pepD//
ArgR-L-arginine_neg	cysK//entE//carB//aroL//moaE//uxaC//guaA//mltF//gloA//galK//moaA//moaE//gdhA//mpaA//deoB//acnB//pykF//ilvC//
ArgR-L-arginine_pos	trpC//cdd//pgaB//yedX//tktB//
ArsR_neg	leuA//sodA//
AscG_neg	sgbU//hyaA//
AsnC_neg	murD//
AsnC_pos	yedX//
AtoC-Phosphorylated_pos	thrS//glpD//mngB//
BCCP_neg	ldtB//
BaeR-Phosphorylated_pos	betB//moaE//
BasR-Phosphorylated_neg	pgaB//
BasR-Phosphorylated_pos	sucA//paaZ//
BetI_neg	cysI//entB//phnH//
BirA-biotinyl-5-adenylate_neg	ulaE//atoD//ssuD//frdB//frdB//
BluR_neg	
BolA_neg	uxuA//rffG//
BolA_pos	astA//pgaB//
BtsR-Phosphorylated_pos	hypB//
CadC_pos	tdcE//accA//ftsI//
CaiF-L-carnitine_pos	lsrG//hemH//cynT//ynfE//mpl//
Cbl_pos	ftsI//dhaL//moaA//umuD//rsmH//
CdaR_pos	accC//asnA//arsC//phnN//ahpC//nrfC//mhpD//sgbE//rtcB//
CecR_neg	sucA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	uxaA//ogt//prpC//
ChbR-N-monoacetylchitobiose6-phosphate_pos	tdcG//argH//leuB//
ChbR_neg	fabD//nirB//pheT//
ChbR_pos	entF//dgcN//rffG//
ComR_neg	
CpxR-Phosphorylated_neg	malZ//pagP//fucO//
CpxR-Phosphorylated_pos	rutD//entH//bioD//phnI//glnA//entC//fadD//bacA//glpX//rutC//serA//tyrB//yqhD//appA//entA//mhpB//rffC//rffG//
Cra_neg	betA//purA//deoA//murQ//uvrB//speG//glpK//fucI//deoC//rhaA//ddlB//argD//accD//alaC//ulaE//purL//cysD//sgbH//metH//citE//aceE//guaB//purK//glgP//mazG//wzc//eda//folA//murG//aceE//umuC//rffM//entB//cyoE//moaA//alkB//grxA//katE//paaF//metK//fadM//codA//nrfA//putA//zwf//
Cra_pos	dhaK//lyxK//araA//codA//glgA//citD//bioB//pfkA//malS//moaA//asnA//paaZ//ppiA//ilvC//bioC//citF//tktB//
CreB-Phosphorylated_neg	dmsC//
CreB-Phosphorylated_pos	bioC//
CsgD_neg	glsA//rtcB//
CsgD_pos	hycG//phnO//fabI//
CsiR_neg	pyrD//puuB//prpB//chbG//
CspA_pos	fabH//
CueR-Cu_neg	murQ//metL//srkA//
CueR-Cu_pos	dapB//caiB//
CusR-Pasp_pos	phnM//pgaD//malQ//gltB//
CynR-cyanate_pos	rbsK//ldtD//lacA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	folE//guaA//phnI//
CysB-O-acetyl-L-serine_pos	ascB//treC//nirB//purC//nagA//ppsA//ycjG//mpl//leuC//speG//prpC//polB//
CysB_neg	
CysB_pos	rffH//sucA//
CytR_neg	cysG//purN//tadA//hycE//alaS//asnB//mhpD//mhpA//pykF//hyaA//
Dan-L-tartrate_pos	puuC//nrdB//
DcuR-Phosphorylated_pos	cyoE//fucO//gadB//aspA//
DeoR_neg	paaJ//glpQ//dkgA//ampC//sucD//ahpF//
DhaR_neg	
DhaR_pos	paaB//
DicA_neg	
DinJ-YafQ_neg	aceF//
DnaA-ATP_neg	fabH//fabI//hcaE//gadB//glsA//
DnaA-ATP_pos	metF//pgaD//pepD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	ulaF//allC//cynS//argA//trpD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	purF//hyaB//
EbgR_neg	
EnvR_neg	thrS//purA//
EnvY_pos	fadM//rfe//
EvgA-Phosphorylated_pos	glk//gloA//ynfH//rhaD//moaD//pgk//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	ppc//paaB//arsC//paaI//fabH//ldtC//
FabR_neg	asnA//prpB//glmU//
FadR-acyl-CoA_pos	
FadR_neg	sdhD//glpX//metB//lacZ//citC//aceF//pepD//sucB//hyaB//
FadR_pos	metF//glnA//cysD//phnO//sdhC//torC//fadI//uvrC//rffM//acnB//
FeaR_pos	gudD//ynfE//
FhlA-formate_pos	prpC//argH//fumB//atoA//ftnA//mpl//uvrC//malY//
FlhDC_neg	xapA//hyaC//
FlhDC_pos	deoA//aceB//fucO//prpD//citX//appA//idnK//ahpF//gatY//amn//recD//mhpD//
FliZ_neg	purH//ulaG//caiC//cynS//mhpA//
FucR-L-fuculose-1-P_pos	ssuE//ribA//fucI//mhpF//rimK//ubiX//
Fur-Fe2_neg	murF//grxA//citD//phnN//putA//paaG//hyaA//tadA//kbaZ//kbaZ//pdeR//pagP//mpaA//citD//grxA//purM//fabI//eno//citE//feaB//malY//nrdF//oxc//pgaC//pgm//argE//pgaC//rhaB//treC//sbcD//carA//bacA//hyi//hcaB//fbaB//astA//caiB//leuD//cysH//gatY//speG//rffC//lpxA//sdhD//guaB//frdA//glxK//glcD//argG//phnG//ampC//mpl//citE//
Fur-Fe2_pos	sdhA//ychF//hycE//accA//cueO//phnP//hemL//frdC//pgm//phnJ//rutB//aldA//napB//trpD//betA//glgC//
GadE-RcsB_pos	ttdA//srlD//cysN//pheT//xapA//
GadE_pos	atoB//rffG//purL//nfsA//fabZ//ttdB//trpC//gabD//gltD//mazG//
GadW_neg	ruvB//murQ//chbF//
GadW_pos	mtlD//fucI//ndh//glgC//
GadX_neg	purE//narH//eda//
GadX_pos	aspA//paaG//codA//rnpB//ynfF//glnA//nadA//entD//fabA//fucO//nanM//
GalR-beta-D-galactose_neg	rutE//fucO//purL//araD//galM//
GalR-beta-D-galactose_pos	fau//prpD//citF//sucD//
GalR_neg	puuC//phnO//purE//nirD//tdcE//aspA//
GalR_pos	pncB//aceF//gcvT//recB//
GalS-beta-D-galactose_neg	xapA//purF//carA//hcaD//rutE//
GalS-beta-D-galactose_pos	argE//bioF//ubiC//icd//
GalS_neg	rffG//fucI//nrdD//tynA//nemA//fadA//
GalS_pos	uxaA//poxB//dgcZ//grxA//
GatR_neg	carA//argA//alkB//
GcvA_neg	yiaK//gcvP//murI//
GcvA_pos	allA//hycG//umuD//
GlcC-glycolate_neg	
