# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ynfG//talA//
Ada_neg	nanE//sucA//
Ada_pos	lyxK//fbaA//glmS//trpD//
AdiY_pos	prs//serA//sucA//fbaB//
AgaR_neg	entH//
AidB_neg	lacA//
AlaS-L-alanine_neg	waaH//
AllR-allantoin_neg	paaA//cysE//glpQ//accD//gntK//metK//
AllS-allantoin_pos	gcvT//gor//cdd//
AlsR_neg	tyrB//allD//sucD//
AppY_pos	paaC//atoB//
AraC-arabinose_neg	trpE//ddlB//glpA//lysA//aspC//
AraC-arabinose_pos	fucA//ulaD//metC//fadH//eda//atoD//
AraC_neg	ampC//slt//fabD//
AraC_pos	xapA//treC//phnN//
ArgP-arginine_neg	
ArgP-arginine_pos	hmp//
ArgP_pos	metH//frdA//dgkA//phnI//mhpF//cysK//icd//hycG//
ArgR-L-arginine_neg	entC//folE//glpA//nrfC//glpX//asnA//gcvH//aroG//paaC//dsdA//fadD//hycC//nrdE//mnmG//katE//gatY//tdcE//ruvA//
ArgR-L-arginine_pos	pgaD//gadB//ycjG//pgk//bioB//
ArsR_neg	ynfE//xapA//
AscG_neg	argA//accC//
AsnC_neg	nfsB//
AsnC_pos	bacA//
AtoC-Phosphorylated_pos	prpE//bglB//mazG//
BCCP_neg	gloA//
BaeR-Phosphorylated_pos	ilvC//dgkA//
BasR-Phosphorylated_neg	argC//
BasR-Phosphorylated_pos	malQ//hypF//
BetI_neg	dmsC//tadA//polA//
BirA-biotinyl-5-adenylate_neg	citC//aspC//waaH//mhpA//mhpB//
BluR_neg	
BolA_neg	wrbA//ssuE//
BolA_pos	cysK//accD//
BtsR-Phosphorylated_pos	puuC//
CadC_pos	fucU//cysD//treC//
CaiF-L-carnitine_pos	glgP//sucB//ung//rbsK//ahpC//
Cbl_pos	gatZ//astA//recD//sbcC//uxaC//
CdaR_pos	nirD//fabH//araA//purE//gudD//nrfD//mnmG//wecE//sucB//
CecR_neg	frdC//
ChbR-N-monoacetylchitobiose6-phosphate_neg	nrfC//nirD//asnA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	pgaD//hemH//ppiA//
ChbR_neg	katE//nagA//hyaA//
ChbR_pos	dgcN//tehB//entD//
ComR_neg	
CpxR-Phosphorylated_neg	napB//puuA//dgcZ//
CpxR-Phosphorylated_pos	nrdB//ftsI//ftsI//cynS//deoA//glk//mpaA//glxR//fadM//carA//glk//rutD//napA//tdcG//narI//patD//yqjH//putA//
Cra_neg	ldtD//gltB//sdhC//gpmM//speB//gntK//ygeA//lyxK//glgA//icd//nanK//moaE//rhaD//poxB//gapA//yqhD//ilvC//waaH//hycE//nagB//murF//tdcG//phnJ//trpD//entF//glgX//gor//tdcD//hcaE//phnP//talA//argH//sucD//ulaD//paaC//ndh//citG//pheT//nrfC//dgcN//yedX//sucA//ccp//entE//ung//
Cra_pos	sbcD//puuE//cysN//araD//argD//codA//ppc//accC//paaA//nirD//cynT//bioA//fucK//patA//purK//cysG//ftsI//
CreB-Phosphorylated_neg	ttdA//
CreB-Phosphorylated_pos	uxaA//
CsgD_neg	yqjH//araD//
CsgD_pos	ndh//deoB//ugpQ//
CsiR_neg	fadH//dgcN//leuD//ldtB//
CspA_pos	glmS//
CueR-Cu_neg	dsdA//aroL//alaC//
CueR-Cu_pos	rtcB//relA//
CusR-Pasp_pos	fadJ//yqjH//purA//uxaB//
CynR-cyanate_pos	paaB//ulaE//argH//
CynR_neg	
CysB-O-acetyl-L-serine_neg	allB//napA//phnJ//
CysB-O-acetyl-L-serine_pos	leuC//sgbU//pyrC//fes//aroH//puuB//phnO//mraY//metE//cynS//mhpD//rtcA//
CysB_neg	
CysB_pos	acnB//edd//
CytR_neg	cysD//carA//dapD//argA//metB//appA//argF//moeB//phnN//tyrA//
Dan-L-tartrate_pos	cyoE//puuD//
DcuR-Phosphorylated_pos	metE//wzc//mazG//prpE//
DeoR_neg	wzb//serA//carA//rtcA//ulaE//galT//
DhaR_neg	
DhaR_pos	fabA//
DicA_neg	
DinJ-YafQ_neg	murF//
DnaA-ATP_neg	phnJ//trpE//uxaA//lpd//gnd//
DnaA-ATP_pos	frdB//cysD//pgaB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	icd//mhpC//argB//astD//eda//
DsdC-D-serine_neg	
DsdC-D-serine_pos	rffG//fadA//
EbgR_neg	
EnvR_neg	aroG//fucO//
EnvY_pos	galK//purF//
EvgA-Phosphorylated_pos	caiC//udp//tehB//araB//rsmH//putA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	pdeH//ddlB//zwf//ubiC//nemA//eno//
FabR_neg	fadA//bacA//leuB//
FadR-acyl-CoA_pos	
FadR_neg	bioC//chbF//aceB//bioC//garD//bglB//relA//treC//deoC//
FadR_pos	dgcZ//ascB//metL//deoC//fes//argG//gcl//phnL//rnpB//pdeL//
FeaR_pos	bacA//allC//
FhlA-formate_pos	citD//gnd//gntK//rffC//waaH//tauD//pncB//hycC//
FlhDC_neg	glcB//glpQ//
FlhDC_pos	mpl//nanA//mhpD//bglB//phnM//argB//nfsA//glcF//metC//idnK//allE//galT//
FliZ_neg	rpiB//tnaA//gadA//murE//ppsA//
FucR-L-fuculose-1-P_pos	gatD//uvrB//tam//rbsK//pdeH//phnN//
Fur-Fe2_neg	lpxC//relA//accC//pncB//glxK//dkgB//napH//eda//sgbH//allA//idnO//guaB//rpiB//dhaK//uxaC//astC//uxaB//ssuD//udp//dhaK//murE//fes//mnmG//ychF//rutE//cysG//malZ//caiB//paaG//malY//nanE//ccp//pdeR//nanK//srlD//pncB//wzb//hcp//recD//cysC//napH//dapD//purN//kbaZ//betB//gpmA//guaB//glmU//rtcB//mdh//yeaG//uxaA//paaK//
Fur-Fe2_pos	slt//murF//aldA//folE//mhpE//glpB//murC//garK//asnA//nfsA//rsmH//murC//codA//lpxD//eda//paaZ//
GadE-RcsB_pos	metC//dkgB//ydcS//polB//sdhB//
GadE_pos	pspE//ascB//sodB//rhaD//narH//nfsA//narI//sgbE//ahpF//fadA//
GadW_neg	nrfC//mpaA//pfkA//
GadW_pos	treC//patA//rutD//glmS//
GadX_neg	prpD//patA//dacC//
GadX_pos	tauD//glcB//hycG//yiaK//nirB//waaH//hycD//ydcS//hcp//hycG//puuC//
GalR-beta-D-galactose_neg	glxK//fadE//treC//bglB//wrbA//
GalR-beta-D-galactose_pos	wrbA//puuC//patD//pagP//
GalR_neg	edd//ubiA//malQ//ttdA//malZ//aceE//
GalR_pos	deoA//lpxC//gpmM//rutB//
GalS-beta-D-galactose_neg	nagA//hyaC//fbaA//sucD//puuD//
GalS-beta-D-galactose_pos	waaY//nrdB//ribA//ynfE//
GalS_neg	pheT//glgX//phnO//lacZ//phoA//umuC//
GalS_pos	glpX//nanE//fabZ//phoA//
GatR_neg	putA//ulaE//moaD//
GcvA_neg	napA//glgC//gloA//
GcvA_pos	recD//narI//argG//
GlcC-glycolate_neg	
GlcC-glycolate_pos	guaB//rffC//mhpB//
GlpR_neg	leuA//ndh//citF//rhaA//uxaC//puuA//rutE//
GlrR-Pasp56_pos	
GntR_neg	atoB//bioD//paaE//hcaE//speB//fucO//narG//rbsD//sbcD//
GutM_pos	arsC//rimK//nrdF//
HU_neg	yfdE//gcvH//yqjH//caiD//aspC//astD//gcvT//
HU_pos	
HcaR-HCA_pos	pgpC//nagB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	ruvA//
HigB-HigA_neg	phr//
HipAB_neg	ynfH//entA//
HipB_neg	tdcB//glk//bioB//
HprR-Phosphorylated_neg	glpC//glsA//
HprR-Phosphorylated_pos	idnK//recD//
HyfR_pos	accA//
HypT-Met-oxidized_neg	folA//leuB//
HypT-Met-oxidized_pos	pdeL//glpD//dgkA//aceB//lsrK//
IclR-pyruvate_neg	ftsI//alaC//glcE//
IdnR-5-ketogluconate_neg	bioF//galM//
IdnR-5-ketogluconate_pos	malP//caiC//metF//
IlvY-2-acetolactate_pos	tnaA//
IlvY_neg	
IscR-2Fe-2S_neg	patA//citG//
IscR_neg	accC//cadA//moaD//nrdF//
IscR_pos	deoC//glpB//
KdgR_neg	uxaA//ppiA//
KdpE-Phosphorylated_pos	sodB//
LacI_neg	waaH//fadH//glmU//
LeuO_neg	
LeuO_pos	polA//pgaB//cysD//deoD//sbcC//frdD//
