# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ulaE//ruvA//
Ada_neg	dmsC//paaA//
Ada_pos	nrfD//mnmG//nadB//sodB//
AdiY_pos	glpB//epd//ung//uvrA//
AgaR_neg	rimK//
AidB_neg	nadA//
AlaS-L-alanine_neg	mhpD//
AllR-allantoin_neg	rtcB//gcvP//pspE//cynS//cysN//fabH//
AllS-allantoin_pos	eda//pgk//poxB//
AlsR_neg	gatY//kbaZ//recD//
AppY_pos	ynfH//pgk//
AraC-arabinose_neg	eda//yeaG//waaY//narH//betA//
AraC-arabinose_pos	hemL//atoD//ahpF//pfkA//ynfH//pdeL//
AraC_neg	astC//hyi//cyoE//
AraC_pos	fadB//tynA//purM//
ArgP-arginine_neg	
ArgP-arginine_pos	fadD//
ArgP_pos	pepD//recF//nrdF//uvrA//sgbU//pgm//galK//ldtB//
ArgR-L-arginine_neg	rtcA//fabG//aspC//glxK//narI//citE//paaZ//gcvP//ogt//cynT//frdB//aceE//pnp//glmS//ldtC//fumB//hmp//nrdE//
ArgR-L-arginine_pos	dhaL//wzc//pgaC//asnB//edd//
ArsR_neg	dmsC//cysH//
AscG_neg	rbsD//xylB//
AsnC_neg	malS//
AsnC_pos	malP//
AtoC-Phosphorylated_pos	truB//dhaM//ldtC//
BCCP_neg	slt//
BaeR-Phosphorylated_pos	citE//cysD//
BasR-Phosphorylated_neg	moeB//
BasR-Phosphorylated_pos	aspA//allE//
BetI_neg	murG//sdhC//truB//
BirA-biotinyl-5-adenylate_neg	glgX//ulaD//yedX//murI//malS//
BluR_neg	
BolA_neg	nanK//fucA//
BolA_pos	entA//ndh//
BtsR-Phosphorylated_pos	entD//
CadC_pos	lsrK//purK//psd//
CaiF-L-carnitine_pos	ahpF//phr//pgi//wrbA//patD//
Cbl_pos	pykF//rbsK//rimK//fadM//fbaA//
CdaR_pos	treC//ubiC//gntK//allA//moeA//arsC//moaE//nrdB//rutA//
CecR_neg	tauD//
ChbR-N-monoacetylchitobiose6-phosphate_neg	rimK//fadM//rbsD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	rhaD//umuD//epd//
ChbR_neg	ydcS//purE//glmU//
ChbR_pos	cysN//purC//cdd//
ComR_neg	
CpxR-Phosphorylated_neg	umuC//lldD//leuA//
