# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fucI//lpd//
Ada_neg	garL//ubiA//
Ada_pos	ogt//mtlD//argC//betB//
AdiY_pos	nrfA//sufS//paaE//entD//
AgaR_neg	glgA//
AidB_neg	glk//
AlaS-L-alanine_neg	ulaD//
AllR-allantoin_neg	carB//citC//folE//carA//hcaE//dapB//
AllS-allantoin_pos	umpH//rnpB//truB//
AlsR_neg	mdh//purA//mnmG//
AppY_pos	glpA//fau//
AraC-arabinose_neg	argB//gatY//torA//deoB//umpH//
AraC-arabinose_pos	fadE//napG//lysC//sdhC//phnN//pgpC//
AraC_neg	mltF//umpH//tdcD//
AraC_pos	ulaD//frdC//phnG//
ArgP-arginine_neg	
ArgP-arginine_pos	fdhF//
ArgP_pos	cdd//entC//rutA//pdeL//mtlD//ada//uvrA//allD//
ArgR-L-arginine_neg	recB//nfsB//hcp//glpA//trpC//paaI//atoA//deoA//moaD//rffT//uvrC//ssuD//asnB//glpX//lsrG//uvrA//prpB//argD//
ArgR-L-arginine_pos	paaF//accC//carB//mngB//puuC//
ArsR_neg	rtcB//mhpB//
AscG_neg	paaB//tdcG//
AsnC_neg	prs//
AsnC_pos	fadI//
AtoC-Phosphorylated_pos	pepD//garD//pspE//
BCCP_neg	rsmH//
BaeR-Phosphorylated_pos	aldA//fbaB//
BasR-Phosphorylated_neg	purM//
BasR-Phosphorylated_pos	luxS//napA//
BetI_neg	phnI//ygeA//accA//
BirA-biotinyl-5-adenylate_neg	fabH//sucD//deoB//hypF//polB//
BluR_neg	
BolA_neg	garL//mpaA//
BolA_pos	sufS//fadB//
BtsR-Phosphorylated_pos	psd//
CadC_pos	mhpE//asnA//aroL//
CaiF-L-carnitine_pos	folA//trpE//araD//luxS//lysC//
Cbl_pos	amn//ulaF//katE//mdh//rutA//
CdaR_pos	asnA//paaA//ybjG//mltF//cyoE//fabA//pagP//idnO//ahpC//
CecR_neg	ldtB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	ttdA//cysG//tnaA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	melA//cysI//putA//
ChbR_neg	ttdA//hyaB//argC//
ChbR_pos	rbsD//fadH//appA//
ComR_neg	
CpxR-Phosphorylated_neg	astD//allC//citD//
CpxR-Phosphorylated_pos	idnK//phnO//patD//nagB//iscS//uxuB//trpC//paaJ//fadE//dmsA//nrdD//paaC//paaH//fadA//ybjG//appA//argH//nanA//
