# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ynfH//dgkA//
Ada_neg	paaY//yqhD//
Ada_pos	trpC//wecE//galM//gltB//
AdiY_pos	dgkA//gutQ//glmU//sgbH//
AgaR_neg	lldD//
AidB_neg	ilvC//
AlaS-L-alanine_neg	murC//
AllR-allantoin_neg	purM//ilvC//aceA//recB//cadA//rffC//
AllS-allantoin_pos	tdcE//frdC//mngB//
AlsR_neg	aroG//paaG//metH//
AppY_pos	alsE//nagA//
AraC-arabinose_neg	nrfA//katE//ldtD//chbG//fabG//
AraC-arabinose_pos	frc//aldA//dkgA//fabA//nrdD//deoA//
AraC_neg	acnB//ftsI//folA//
AraC_pos	napB//glpX//dhaM//
ArgP-arginine_neg	
ArgP-arginine_pos	astC//
ArgP_pos	fabH//nirD//nrfA//mhpE//glgB//uxuA//waaH//glpD//
ArgR-L-arginine_neg	nemA//recB//paaH//metK//gudD//cysD//frdB//speB//purL//lacZ//metF//ascB//uvrA//murQ//folA//argE//yiaK//ubiC//
ArgR-L-arginine_pos	gutQ//metC//dgkA//aceB//phnH//
ArsR_neg	mngB//ulaF//
AscG_neg	nirD//pck//
AsnC_neg	narH//
AsnC_pos	malZ//
AtoC-Phosphorylated_pos	recD//hcaC//nadA//
BCCP_neg	ilvC//
BaeR-Phosphorylated_pos	fucA//hypB//
BasR-Phosphorylated_neg	uxuB//
BasR-Phosphorylated_pos	cueO//sgbE//
BetI_neg	glmS//pagP//nrfD//
BirA-biotinyl-5-adenylate_neg	paaH//poxB//moaE//hcp//guaA//
BluR_neg	
BolA_neg	luxS//dapB//
BolA_pos	hycG//accD//
BtsR-Phosphorylated_pos	entF//
CadC_pos	feaB//torA//oxc//
CaiF-L-carnitine_pos	nrfC//caiA//tdcE//cysC//dhaK//
Cbl_pos	pgaC//ribA//yedX//ruvA//galK//
CdaR_pos	speB//glsA//tyrB//sodB//mpl//asnA//cysH//leuB//murI//
CecR_neg	recD//
ChbR-N-monoacetylchitobiose6-phosphate_neg	aceE//gpmA//entB//
ChbR-N-monoacetylchitobiose6-phosphate_pos	phnI//uvrC//alkA//
ChbR_neg	uxuA//purC//serA//
ChbR_pos	sbcC//wrbA//mhpF//
ComR_neg	
CpxR-Phosphorylated_neg	chbF//accC//entC//
CpxR-Phosphorylated_pos	ahpF//argC//allA//alaC//frdC//ribA//wzc//rutC//hemL//dapB//guaA//dgkA//paaG//phnI//purF//hyi//pheT//dinB//
Cra_neg	ubiX//prs//bglB//pspE//fadI//malZ//gloA//rtcA//rutB//argB//adiA//asnA//paaJ//mtlD//leuD//sucA//nemA//pnp//entF//wecB//rnpB//mazG//hyaA//speB//galE//patD//purE//citF//katG//pykF//yeaE//fadI//aceB//paaE//lacA//tauD//glpX//leuD//idnO//fadB//ygeA//ssuE//alaS//sdhB//moaD//
Cra_pos	fabH//prpE//betA//hyaB//trpB//wecC//gabT//fucO//ubiC//rutB//gntK//idnK//allD//glxK//fadM//galM//murC//
CreB-Phosphorylated_neg	ssuD//
CreB-Phosphorylated_pos	citG//
CsgD_neg	fabB//ubiC//
CsgD_pos	rnpB//pdeR//codA//
CsiR_neg	fau//phnN//sucD//epd//
CspA_pos	zwf//
CueR-Cu_neg	trpC//astD//guaB//
CueR-Cu_pos	trpD//lpd//
CusR-Pasp_pos	fes//tdcG//astD//glyA//
CynR-cyanate_pos	polA//metB//sdhB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	thrS//gatY//alaC//
CysB-O-acetyl-L-serine_pos	argH//tdcG//rtcB//pdeH//leuA//puuE//glsA//trpE//folE//glpC//glmU//luxS//
CysB_neg	
CysB_pos	rnpB//adiA//
CytR_neg	narI//puuC//prpD//murE//hypF//citX//fabB//gatZ//dapB//deoA//
Dan-L-tartrate_pos	murE//mhpE//
DcuR-Phosphorylated_pos	torC//tynA//phnH//citX//
DeoR_neg	argA//idnK//fabG//fau//fadA//citF//
DhaR_neg	
DhaR_pos	ttdB//
DicA_neg	
DinJ-YafQ_neg	alaS//
DnaA-ATP_neg	grxA//argC//alkB//nadB//eda//
DnaA-ATP_pos	cynT//fadD//ugpQ//
DpiA-Pasp_neg	
DpiA-Pasp_pos	purN//cueO//trpE//frdA//prpC//
DsdC-D-serine_neg	
DsdC-D-serine_pos	galM//rffC//
EbgR_neg	
EnvR_neg	grxA//rbsK//
EnvY_pos	malZ//purB//
EvgA-Phosphorylated_pos	dkgA//purB//napH//purM//fruK//lsrK//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	relA//purE//ybjG//appA//rimK//rutE//
FabR_neg	tam//garL//ahpC//
FadR-acyl-CoA_pos	
FadR_neg	garD//fadJ//fucI//gudD//sucC//deoA//fadI//cysM//phnG//
FadR_pos	cynS//sufS//dhaL//cysG//bioA//gadA//paaG//paaG//rfe//asnA//
FeaR_pos	kbaY//sdhA//
FhlA-formate_pos	fbaB//umpH//glpA//murQ//waaZ//tdcG//phoA//narH//
FlhDC_neg	frdA//talA//
FlhDC_pos	rffH//gudD//ogt//sufS//pncB//wecE//paaH//waaZ//cysD//murQ//araB//bglB//
FliZ_neg	fucA//dgcC//pgpC//tdcE//betA//
FucR-L-fuculose-1-P_pos	srkA//ttdA//rffH//udp//lacZ//ubiC//
Fur-Fe2_neg	glgC//puuB//cueO//pfkA//gabT//argG//argF//lhgO//gpmM//sgbU//paaC//dmsA//napA//fadD//fumB//umuD//caiA//torC//rpiB//tynA//speA//guaA//glcF//galT//speG//gutQ//fbaB//gltB//ynfG//garD//wzc//alkB//accA//aroH//pykF//wecC//rimK//paaE//ogt//aspC//hmp//nirB//lacA//frdB//narH//argH//cysH//hmp//phnH//betA//purB//puuA//garK//
Fur-Fe2_pos	mltF//pgi//yfdE//gpmA//icd//purE//cueO//wecC//glmS//fadI//glmS//citF//lsrK//cysI//hycD//gnd//
GadE-RcsB_pos	narI//fucK//tdcG//entE//gutQ//
GadE_pos	aroL//lpxD//alkB//purH//zwf//dhaK//hcaD//moaE//gnd//folA//
GadW_neg	phnI//prpC//frdC//
GadW_pos	fabH//phnJ//wecC//gntK//
GadX_neg	guaA//mazG//wrbA//
GadX_pos	astD//rutC//wecB//ulaE//pgaC//pgpC//putA//truB//ybjG//moaA//alkB//
GalR-beta-D-galactose_neg	purK//lacA//puuB//pyrD//uxaA//
GalR-beta-D-galactose_pos	pepD//allC//cdd//nagB//
GalR_neg	cysH//purH//glpQ//garD//rutA//garR//
GalR_pos	ssuE//astD//pdeR//glk//
GalS-beta-D-galactose_neg	paaZ//argA//phnH//argE//aceE//
GalS-beta-D-galactose_pos	fucO//umuC//paaI//paaC//
GalS_neg	waaY//glpK//hypF//xylA//sucA//cueO//
GalS_pos	napG//ssuE//aroF//ruvB//
GatR_neg	lacZ//moeB//rffH//
GcvA_neg	fadA//metL//gutQ//
GcvA_pos	purE//sodB//relA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	moaC//citE//narI//
GlpR_neg	citX//mpaA//slt//rtcA//sgbU//glgB//fumB//
GlrR-Pasp56_pos	
GntR_neg	paaZ//nirB//murD//mhpF//hyaC//carB//bioB//slt//adiA//
GutM_pos	metC//gcl//phnL//
HU_neg	mngB//mpaA//gloA//hcaF//feaB//hcaE//fucU//
HU_pos	
HcaR-HCA_pos	hcp//torA//
HcaR_neg	
HdfR_neg	
