# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	gatY//sdhB//
Ada_neg	zwf//alkA//
Ada_pos	rhaB//mhpD//citF//paaB//
AdiY_pos	chbG//bioB//alkA//edd//
AgaR_neg	gor//
AidB_neg	glpQ//
AlaS-L-alanine_neg	alkA//
AllR-allantoin_neg	gpmA//tdcG//paaH//nirB//ung//mpaA//
AllS-allantoin_pos	lsrK//dkgB//gltD//
AlsR_neg	lpxD//ynfG//dmsA//
AppY_pos	gcvT//purD//
AraC-arabinose_neg	glmU//mhpF//pnp//metL//gnd//
AraC-arabinose_pos	argF//udp//fabB//asnB//carB//sufS//
AraC_neg	cysC//aceE//aldA//
AraC_pos	tdcB//nanA//rutC//
ArgP-arginine_neg	
ArgP-arginine_pos	yfdE//
ArgP_pos	glk//sgbU//rtcA//glmS//fabI//paaB//alaS//mhpE//
ArgR-L-arginine_neg	astB//moeA//pspE//mhpE//gadB//napA//uvrC//galT//tehB//alsE//murE//fadM//waaH//sbcD//gadA//tyrB//alkB//aceE//
ArgR-L-arginine_pos	glk//appA//glcE//uidA//astE//
ArsR_neg	deoD//ugpQ//
AscG_neg	lsrF//dhaK//
AsnC_neg	aceF//
AsnC_pos	murG//
AtoC-Phosphorylated_pos	umuD//glnA//galE//
BCCP_neg	speA//
BaeR-Phosphorylated_pos	recB//fucO//
BasR-Phosphorylated_neg	tyrA//
BasR-Phosphorylated_pos	phnH//ynfE//
BetI_neg	wrbA//mtlD//metF//
BirA-biotinyl-5-adenylate_neg	ulaF//alkA//sgbU//pdeL//ftnA//
BluR_neg	
BolA_neg	sodA//sdhC//
BolA_pos	ldtD//gatY//
BtsR-Phosphorylated_pos	citE//
CadC_pos	aroL//sodA//umpH//
CaiF-L-carnitine_pos	aceE//gcl//glyA//argD//sodB//
Cbl_pos	ynfF//malQ//cynT//sufS//cysM//
CdaR_pos	murC//mngB//dhaM//cynS//metH//citX//sucA//nanK//fabA//
CecR_neg	bioB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	lsrK//alaC//pyrC//
ChbR-N-monoacetylchitobiose6-phosphate_pos	caiB//fbaA//puuD//
ChbR_neg	gpmM//sdhD//pgi//
ChbR_pos	paaB//entA//glmU//
ComR_neg	
CpxR-Phosphorylated_neg	fes//lysA//gltD//
CpxR-Phosphorylated_pos	ndh//nrfA//pnp//paaA//citE//rnpB//sbcD//murC//phnH//epd//moaC//moeB//murF//guaB//nagA//gcvP//purD//mpl//
