# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	accC//pgaC//
Ada_neg	ulaD//garK//
Ada_pos	glnA//wzc//ogt//alaC//
AdiY_pos	guaB//glgX//gutQ//hypF//
AgaR_neg	garK//
AidB_neg	kbaZ//
AlaS-L-alanine_neg	mhpB//
AllR-allantoin_neg	nanA//torC//prpE//nrdF//gatD//hemH//
AllS-allantoin_pos	entH//ubiX//purK//
AlsR_neg	ynfE//nrdF//sgbE//
AppY_pos	hycE//entE//
AraC-arabinose_neg	phnN//ung//purF//dinB//nrdF//
AraC-arabinose_pos	galE//mhpC//bioD//gor//ulaG//cynS//
AraC_neg	lpxC//prpD//melA//
AraC_pos	fabI//bioC//galK//
ArgP-arginine_neg	
ArgP-arginine_pos	ychF//
ArgP_pos	hcaF//polB//nagB//paaZ//uxaC//rutA//gpmA//pgaB//
ArgR-L-arginine_neg	bioB//fumB//entD//nrdB//cysK//puuE//purA//frdA//paaB//uxaC//ycjG//gatY//glpQ//edd//nrdF//puuA//glmU//xylA//
ArgR-L-arginine_pos	puuA//rtcA//wrbA//fes//ung//
ArsR_neg	putA//gabD//
AscG_neg	pgaD//eno//
AsnC_neg	phnJ//
AsnC_pos	betB//
AtoC-Phosphorylated_pos	ynfH//fabH//trpA//
BCCP_neg	moeB//
BaeR-Phosphorylated_pos	bioF//ynfF//
BasR-Phosphorylated_neg	atoA//
BasR-Phosphorylated_pos	phnM//narH//
BetI_neg	hycF//cyoE//purD//
BirA-biotinyl-5-adenylate_neg	udp//yeaE//phnJ//murD//pyrC//
BluR_neg	
BolA_neg	glmU//aroH//
BolA_pos	dmsC//cysD//
BtsR-Phosphorylated_pos	rhaA//
CadC_pos	argC//dmsA//glk//
CaiF-L-carnitine_pos	dgcZ//lsrF//mraY//yeaG//kbaZ//
Cbl_pos	astA//dkgA//murF//atoA//wecE//
CdaR_pos	slt//nagB//amn//nfsB//ndh//gadA//tdcD//phnG//dkgA//
CecR_neg	pck//
ChbR-N-monoacetylchitobiose6-phosphate_neg	murD//putA//rtcA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	garD//fumC//bioB//
ChbR_neg	uvrB//deoA//gdhA//
ChbR_pos	pdeL//folE//cysJ//
ComR_neg	
CpxR-Phosphorylated_neg	hcp//dhaK//dinB//
CpxR-Phosphorylated_pos	purB//cysD//codA//atoD//atoA//glpA//napH//slt//uvrC//glgC//metH//trpE//ogt//purA//cynS//allB//nfsB//dmsA//
Cra_neg	ybjG//aldA//galM//fadD//ppsA//tdcD//glpK//hyi//ubiA//ygeA//dmsB//srkA//pheS//metK//fabH//metE//glxK//caiC//paaK//hemL//iscS//aceF//garL//patA//tnaA//caiA//mhpD//talA//uvrA//glpD//citD//frdD//pgaB//fadA//galM//rbsD//dgcN//polB//hcaB//ndh//pgk//gudD//argH//argB//pgk//
Cra_pos	yiaK//rffT//talA//ydcS//glcB//prpC//rutC//lpxC//bioC//ydcS//metH//moaC//mhpE//dgcZ//fabB//sdhC//gnd//
CreB-Phosphorylated_neg	glcF//
CreB-Phosphorylated_pos	relA//
CsgD_neg	narH//gapA//
CsgD_pos	gcvP//frdD//tauD//
CsiR_neg	glpD//aspA//asnA//folE//
CspA_pos	icd//
CueR-Cu_neg	gnd//araB//araD//
CueR-Cu_pos	pgk//mhpF//
CusR-Pasp_pos	rffC//sucD//lpxC//bioD//
CynR-cyanate_pos	gpmA//uxaC//acnB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	truB//wecC//sucB//
CysB-O-acetyl-L-serine_pos	guaA//ydcS//alkB//waaH//hycG//poxB//pyrC//tdcE//murI//paaE//glpA//codA//
CysB_neg	
CysB_pos	zwf//entB//
CytR_neg	pflB//fadM//murD//rtcB//fumC//mhpD//idnD//speG//ccp//argD//
Dan-L-tartrate_pos	mltF//nadB//
DcuR-Phosphorylated_pos	aceE//tdcE//fabI//nrfC//
DeoR_neg	leuD//astE//pgpC//fbaA//glpA//astA//
DhaR_neg	
DhaR_pos	phoA//
DicA_neg	
DinJ-YafQ_neg	glgC//
DnaA-ATP_neg	nfsB//lsrG//ndh//gudD//kbaZ//
DnaA-ATP_pos	fabZ//rffM//rutC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	argI//argC//tdcD//argA//rsmH//
DsdC-D-serine_neg	
DsdC-D-serine_pos	aceB//fumC//
EbgR_neg	
EnvR_neg	hcaF//sgbH//
EnvY_pos	aldA//metH//
EvgA-Phosphorylated_pos	bioF//rhaB//cysM//fadM//mhpD//garL//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	pgpC//chbG//glpK//citF//lpd//prpC//
FabR_neg	trpE//allE//wrbA//
FadR-acyl-CoA_pos	
FadR_neg	phnL//cynS//entF//nirB//malQ//ubiC//rutE//phnI//allC//
FadR_pos	fabD//fadE//rpiB//sucD//fucA//metK//purE//treC//aldA//gabT//
FeaR_pos	alsE//metL//
FhlA-formate_pos	ynfG//cynT//mltF//ycjG//uvrC//nanE//nfsA//alaS//
FlhDC_neg	murF//lldD//
FlhDC_pos	citD//caiA//tynA//paaK//rffT//yeaE//sgbU//fumB//nirB//paaK//ahpF//phnI//
FliZ_neg	hemL//sgbE//ppiA//ldtB//frdD//
FucR-L-fuculose-1-P_pos	ilvC//pgm//cysJ//folE//aroH//glpD//
Fur-Fe2_neg	sdhC//citF//cysG//napG//atoB//gatY//tdcG//purN//dapB//pgaB//fdhF//argE//pncB//uxaB//citF//gutQ//nanE//ynfH//citC//hyaC//dgcN//gntK//sgbH//fucK//trpC//pncB//rffH//hcaF//katG//gapA//glcF//chbG//hyi//phnJ//dsdA//garK//purF//gatY//nrfC//chbF//bioC//fadD//citD//bioB//wecE//pgi//fucK//dgcC//yeaG//tynA//ada//hycC//gltB//
Fur-Fe2_pos	treC//lpxA//eno//dhaL//kbaY//alkA//ssuD//fdhF//caiC//argH//murQ//ftsI//mhpC//fau//mhpC//glyA//
GadE-RcsB_pos	glpC//ubiA//nirD//rimK//uidA//
GadE_pos	argG//aroG//sbcC//nrfD//cysM//rpiB//fabH//pnp//puuB//deoB//
GadW_neg	ppc//caiC//ldtC//
GadW_pos	gpmM//frdA//glcF//katG//
GadX_neg	lyxK//wrbA//metB//
GadX_pos	ftnA//glpB//hyaB//dgkA//pncB//murC//hycF//srkA//gcvH//wecB//fabZ//
GalR-beta-D-galactose_neg	aroF//gntK//fadA//araD//argF//
GalR-beta-D-galactose_pos	hcaF//nanK//phnI//rffC//
GalR_neg	glpK//rnpB//glgC//dapB//uxaC//ubiC//
GalR_pos	metH//sbcD//deoA//paaA//
GalS-beta-D-galactose_neg	leuC//gltB//metH//argH//lysA//
GalS-beta-D-galactose_pos	bioA//fadM//mnmG//leuC//
GalS_neg	ung//uxaB//hcaF//rhaB//thrS//folA//
GalS_pos	fau//citC//paaG//cysG//
GatR_neg	pdeR//mtlD//gatY//
GcvA_neg	wecE//argA//pheT//
GcvA_pos	araB//ahpC//umuC//
GlcC-glycolate_neg	
GlcC-glycolate_pos	putA//chbF//nrdE//
GlpR_neg	glsA//adhE//gor//ampC//gor//icd//cysK//
GlrR-Pasp56_pos	
GntR_neg	yedX//uxuA//malZ//aceE//astA//hycB//waaY//metF//tpiA//
GutM_pos	lpxC//glxK//hyaC//
HU_neg	alkB//cynS//recF//trpD//frc//yqjH//carA//
HU_pos	
HcaR-HCA_pos	speA//treC//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	sufS//
HigB-HigA_neg	glmU//
HipAB_neg	purH//caiA//
HipB_neg	ppiA//rsmH//fabB//
HprR-Phosphorylated_neg	glcF//ugpQ//
HprR-Phosphorylated_pos	pdeH//deoC//
HyfR_pos	puuD//
HypT-Met-oxidized_neg	rutD//glpC//
HypT-Met-oxidized_pos	bglB//napB//dsdA//hycE//glcB//
IclR-pyruvate_neg	pepD//luxS//serA//
IdnR-5-ketogluconate_neg	aldA//glpA//
IdnR-5-ketogluconate_pos	cysE//paaY//dhaM//
IlvY-2-acetolactate_pos	dmsC//
IlvY_neg	
IscR-2Fe-2S_neg	fadA//gutQ//
IscR_neg	arsC//leuD//lpd//narI//
IscR_pos	bioD//glpA//
KdgR_neg	puuE//moaA//
KdpE-Phosphorylated_pos	prpE//
LacI_neg	srlD//argF//trpB//
LeuO_neg	
LeuO_pos	yfdE//pdeR//pdeL//tam//wzb//fbaB//
LexA_neg	hcp//dhaL//ynfH//hycE//dhaK//tam//lpd//murI//narG//glpA//uidA//pykF//aroF//talA//waaH//fucA//katE//hypF//fadA//ubiC//putA//wzb//argD//
LldR-lactate_neg	paaG//dgcZ//
