# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	purF//paaH//
Ada_neg	gatZ//argF//
Ada_pos	idnK//lacA//gnd//cdd//
AdiY_pos	glpX//rutD//ppsA//metF//
AgaR_neg	yiaK//
AidB_neg	sbcC//
AlaS-L-alanine_neg	entF//
AllR-allantoin_neg	prpE//puuC//ldtC//atoB//astB//citG//
AllS-allantoin_pos	rffH//glyA//patA//
AlsR_neg	amn//tyrB//carB//
AppY_pos	ribA//lpd//
AraC-arabinose_neg	tpiA//fes//psd//icd//rutE//
AraC-arabinose_pos	mazG//bioD//idnO//rbsK//iscS//mhpA//
AraC_neg	sgbU//nrdE//citC//
AraC_pos	aceE//ynfH//phnN//
ArgP-arginine_neg	
ArgP-arginine_pos	pnp//
ArgP_pos	metF//entA//rfe//tdcD//citE//argI//ilvC//alaS//
ArgR-L-arginine_neg	aroG//paaK//glcE//napA//fabD//dmsB//fes//narG//rnpB//nrdF//metA//lpd//prpD//dmsB//allD//sodA//murD//sgbU//
ArgR-L-arginine_pos	astD//murQ//lysA//epd//cynT//
ArsR_neg	mpaA//aroH//
AscG_neg	trpD//zwf//
AsnC_neg	tpiA//
AsnC_pos	cysJ//
AtoC-Phosphorylated_pos	talA//paaF//yqhD//
BCCP_neg	hcaE//
BaeR-Phosphorylated_pos	yqjH//hycB//
BasR-Phosphorylated_neg	leuD//
BasR-Phosphorylated_pos	recB//mngB//
BetI_neg	kbaZ//hemH//uvrC//
BirA-biotinyl-5-adenylate_neg	fabH//murE//purB//trpD//hypF//
BluR_neg	
BolA_neg	nanK//citG//
BolA_pos	recD//pspE//
BtsR-Phosphorylated_pos	paaG//
CadC_pos	dhaM//accA//sucD//
CaiF-L-carnitine_pos	phnG//pgk//ybjG//tauD//fadI//
Cbl_pos	dkgB//moeB//pdeR//nanK//garR//
CdaR_pos	puuB//glcB//ttdA//glpC//mtlD//rffT//uvrB//kbaZ//garR//
