# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	alaC//fucU//
Ada_neg	glxR//uidA//
Ada_pos	aroH//mhpB//allD//garR//
AdiY_pos	sgbH//pheT//ydcS//nrdD//
AgaR_neg	nanE//
AidB_neg	nrdA//
AlaS-L-alanine_neg	yedX//
AllR-allantoin_neg	galM//aceE//argF//ulaD//pgi//pflB//
AllS-allantoin_pos	lhgO//paaC//guaA//
AlsR_neg	paaY//fabD//eda//
AppY_pos	kbaZ//pyrD//
AraC-arabinose_neg	nrfD//deoA//fumB//carB//tyrA//
AraC-arabinose_pos	gatZ//aceA//pflB//pncB//metC//astB//
AraC_neg	hyaA//ubiC//deoA//
AraC_pos	glpB//cynS//leuD//
ArgP-arginine_neg	
ArgP-arginine_pos	sdhD//
ArgP_pos	ilvC//galT//gcvP//glpX//pgk//fucU//adiA//purK//
ArgR-L-arginine_neg	napA//cysD//alaS//ldtD//rfe//citE//lyxK//malQ//sodB//astC//accA//amn//allD//aroG//fadA//fdhF//accD//narI//
ArgR-L-arginine_pos	nadB//caiA//sucC//folA//icd//
ArsR_neg	rtcB//yfdE//
AscG_neg	mhpB//metE//
AsnC_neg	fucA//
AsnC_pos	psd//
AtoC-Phosphorylated_pos	rutE//nrdD//yedX//
BCCP_neg	fruK//
BaeR-Phosphorylated_pos	gatD//mpl//
BasR-Phosphorylated_neg	purC//
BasR-Phosphorylated_pos	tehB//cysH//
BetI_neg	purF//gudD//fadD//
BirA-biotinyl-5-adenylate_neg	arsC//aspC//rnpB//cdd//pdeR//
BluR_neg	
BolA_neg	pdeL//iscS//
BolA_pos	sodA//cueO//
BtsR-Phosphorylated_pos	puuA//
CadC_pos	ydcS//katG//paaZ//
CaiF-L-carnitine_pos	trpC//galM//fes//puuC//phnI//
Cbl_pos	glxR//garK//galT//aspC//rpiB//
CdaR_pos	paaG//lldD//tynA//nrfC//purK//umpH//nrfD//yeaE//glgC//
CecR_neg	paaI//
ChbR-N-monoacetylchitobiose6-phosphate_neg	carB//pgm//entH//
ChbR-N-monoacetylchitobiose6-phosphate_pos	dapD//dinB//glgP//
ChbR_neg	trpA//lpxA//pheT//
ChbR_pos	sdhD//pck//alkA//
ComR_neg	
CpxR-Phosphorylated_neg	metH//murI//uxaB//
CpxR-Phosphorylated_pos	guaB//poxB//hcaF//moaD//alaC//sdhB//aspC//pgk//fumC//phnP//astE//gcvP//gabT//ychF//yedX//allD//carA//glgC//
Cra_neg	pagP//nrdB//nirB//argE//malS//trpB//fucO//aspC//nadB//leuD//gltD//gltB//glpQ//cadA//aldA//ribA//dkgB//fadD//grxA//fucO//glgA//dmsB//eno//thrS//gltB//cysJ//argH//glmS//paaI//dkgB//purH//galT//paaB//moaD//alaC//mhpE//putA//rnpB//ldtB//ttdB//waaY//dgkA//glsA//zwf//dinB//
Cra_pos	cyoE//nanK//frdA//gcvH//glpX//pncB//xylB//aroG//ruvB//trpA//cysK//glpK//bioA//cysG//purH//paaJ//arsC//
CreB-Phosphorylated_neg	fucK//
CreB-Phosphorylated_pos	umuC//
CsgD_neg	uxaC//ssuD//
CsgD_pos	mhpC//nrdD//allB//
CsiR_neg	fabZ//guaB//astB//tdcD//
CspA_pos	relA//
CueR-Cu_neg	bioF//iscS//metF//
CueR-Cu_pos	fruK//epd//
CusR-Pasp_pos	phoA//metL//dkgA//katE//
CynR-cyanate_pos	rutD//ogt//aceB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	nanM//tnaA//dsdA//
CysB-O-acetyl-L-serine_pos	wecE//rffG//purF//gloA//fabD//frdA//rhaB//tdcG//gutQ//entA//dgkA//yqjH//
CysB_neg	
CysB_pos	idnO//sgbE//
CytR_neg	astD//moaA//phnJ//fabH//zwf//garL//rfe//tehB//lldD//aroL//
Dan-L-tartrate_pos	wecE//allA//
DcuR-Phosphorylated_pos	mtlD//recD//alkB//fabA//
DeoR_neg	mhpA//yfdE//aroH//garK//tktB//hyaA//
DhaR_neg	
DhaR_pos	frc//
DicA_neg	
DinJ-YafQ_neg	nirD//
DnaA-ATP_neg	phnL//torC//fabD//ulaD//aldA//
DnaA-ATP_pos	cysN//dhaM//pgpC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	ahpC//ulaD//ndh//cadA//pnp//
DsdC-D-serine_neg	
DsdC-D-serine_pos	speB//acnB//
EbgR_neg	
EnvR_neg	gudD//ynfH//
EnvY_pos	dmsB//murF//
EvgA-Phosphorylated_pos	mdh//entH//nanK//purC//tdcE//ftnA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	astE//glgA//gnd//pgm//ribA//xylB//
FabR_neg	entE//glmS//ccp//
FadR-acyl-CoA_pos	
FadR_neg	ynfH//codA//truB//ynfF//paaI//tauD//accD//phnP//dgkA//
FadR_pos	nrdE//phnG//iscS//napA//phnP//araB//arsC//trpC//nfsB//hcaD//
FeaR_pos	argA//trpE//
FhlA-formate_pos	rutE//bioF//fdhF//fabA//accA//srkA//mnmG//katE//
FlhDC_neg	astE//metB//
FlhDC_pos	bioA//paaB//moaA//phoA//argH//xylA//mngB//nanA//fadI//wecE//mhpB//mnmG//
FliZ_neg	xapA//glgA//dgcC//nrdF//malQ//
FucR-L-fuculose-1-P_pos	sbcD//gapA//moaE//sodB//cueO//aroF//
Fur-Fe2_neg	pdeH//moeB//prs//fadJ//citC//hemL//bacA//bioC//ppc//aroL//nrdD//cyoE//argC//tdcB//slt//carB//hyaA//fes//tauD//hyaB//luxS//ftsI//prpD//gpmA//murI//moaE//uxuA//nrfA//pagP//ydcS//atoD//tdcG//narH//trpA//entC//lldD//dapD//rutB//metA//dapD//tauD//accA//tauD//sucC//puuC//mhpC//glpA//glmS//alsE//nfsA//arsC//lsrK//pyrD//
Fur-Fe2_pos	gpmM//lpd//aceB//nirD//mltF//murQ//mhpE//narI//fucI//mhpC//hcaB//ttdB//ung//xylA//fadM//dmsB//
GadE-RcsB_pos	xapA//phnG//sucB//citF//fdhF//
GadE_pos	pgaD//polB//mtlD//srkA//bioB//cysJ//mazG//relA//moaD//hycG//
GadW_neg	garK//pyrD//purA//
GadW_pos	entD//dgcC//sgbE//fes//
GadX_neg	sbcC//rbsK//lsrF//
GadX_pos	aceF//paaB//tam//hcp//aspC//uxaB//waaZ//glgC//citX//gloA//speG//
GalR-beta-D-galactose_neg	fbaB//rffM//hycF//galE//umuC//
GalR-beta-D-galactose_pos	gabD//entB//ftsI//hyaA//
GalR_neg	sgbH//hcaD//phoA//sodA//hyaC//nanE//
GalR_pos	malZ//hyaB//pflB//fes//
GalS-beta-D-galactose_neg	ulaG//glpK//bioC//frdD//paaJ//
GalS-beta-D-galactose_pos	atoD//hcaC//fadI//pgpC//
GalS_neg	murE//glgP//hmp//aroG//fabG//hcaC//
GalS_pos	astE//uvrB//dhaL//glnA//
GatR_neg	mhpA//deoC//mraY//
GcvA_neg	rffG//putA//yqjH//
GcvA_pos	allC//puuE//rutC//
GlcC-glycolate_neg	
GlcC-glycolate_pos	aroF//paaY//tadA//
GlpR_neg	metA//ccp//treC//lyxK//hcaF//astB//recF//
GlrR-Pasp56_pos	
GntR_neg	carA//nrfA//mpaA//pyrD//katE//sgbU//fucA//rhaB//mltF//
GutM_pos	fau//paaE//lhgO//
HU_neg	ada//gcvT//sucA//appA//argD//alsE//dapD//
HU_pos	
HcaR-HCA_pos	hcaF//ydcS//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	hcp//
HigB-HigA_neg	dinB//
HipAB_neg	hyi//galM//
HipB_neg	nfsA//deoA//galT//
HprR-Phosphorylated_neg	ndh//ynfH//
HprR-Phosphorylated_pos	wecC//hyaB//
HyfR_pos	allA//
HypT-Met-oxidized_neg	cysD//glxR//
HypT-Met-oxidized_pos	frdA//phnL//deoD//hycE//polB//
IclR-pyruvate_neg	lpd//cadA//narH//
IdnR-5-ketogluconate_neg	trpC//hyaC//
IdnR-5-ketogluconate_pos	glsA//guaA//rffM//
IlvY-2-acetolactate_pos	fdhF//
IlvY_neg	
IscR-2Fe-2S_neg	dapD//ahpC//
IscR_neg	hycE//aceE//glcF//ccp//
IscR_pos	puuC//pgaC//
KdgR_neg	yedX//citD//
KdpE-Phosphorylated_pos	argI//
LacI_neg	glgA//entE//serA//
LeuO_neg	
LeuO_pos	sucC//entH//metH//recD//fucO//wrbA//
