#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/complex_regulons_bnum.txt
AccB_FadR	b4438//b1819//
AcrR	b0156//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b0225//b3508//b1719//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b3240//b0038//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b1482//b4195//
AcrR_FNR_Fur_SoxR	b3571//
AcrR_FNR_Fur_SoxR_SoxS	b1654//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b0922//
Ada	b0432//b1440//b1091//
Ada_AidB_Lrp	b0572//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b4090//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b2200//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b4484//b0020//b4193//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b2423//b2205//
AdiY_H-NS_IHF	b2789//
AgaR	b1818//b1589//b2616//b3781//b2096//b0720//b2285//
AgaR_CRP	b2092//b0507//b1713//b1482//
AlaS	b3392//
AllR	b0505//b2307//b0451//b0756//b4287//b2402//b0557//b2980//b1259//
AllS	b0720//b3011//b3429//
AlsR	b4592//b3771//b2074//b4132//b1299//b2788//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b1410//b3416//b1579//b0179//b1623//b1229//
AppY_ArcA_YdeO	b3230//b1521//b1850//b1564//
AraC_CRP	b0166//b0616//b2687//b0037//b4376//b3688//b2614//b4096//b4124//
AraC_CRP_XylR	b1230//b4029//b1082//
AraC_NagC	b2127//b2277//
ArcA	b0564//b3511//
ArcA_BetI_Cra	b3727//b2912//b2987//b1791//
ArcA_CRP_CaiF_FNR_H-NS	b3171//b2149//b3956//b3437//b3453//b3260//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b3855//b3577//b2866//b1032//b3938//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b4354//
