#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/complex_regulons_bnum.txt
AccB_FadR	b2341//b1223//
AcrR	b2499//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b3366//b4476//b0606//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b1942//b2423//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b1102//b2616//
AcrR_FNR_Fur_SoxR	b2542//
AcrR_FNR_Fur_SoxR_SoxS	b0093//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b0887//
Ada	b3268//b3702//b4468//
Ada_AidB_Lrp	b0924//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b3749//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b4673//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b1942//b4702//b3604//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b3528//b2404//
AdiY_H-NS_IHF	b2995//
AgaR	b1229//b2926//b3521//b0756//b3672//b1655//b4152//
AgaR_CRP	b1393//b3415//b2484//b4279//
AlaS	b0273//
AllR	b3421//b0621//b0619//b0293//b1797//b2490//b2282//b0150//b1535//
AllS	b3116//b0050//b0864//
AlsR	b2942//b2213//b1537//b2662//b0891//b4415//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b3729//b2288//b3503//b0060//sroC//b0615//
AppY_ArcA_YdeO	b1671//b0668//b2607//b1982//
AraC_CRP	b0151//b0339//b1444//b3785//b2975//b2996//b0146//b2068//b3225//
AraC_CRP_XylR	b2676//b0668//b1587//
AraC_NagC	b1501//b3432//
ArcA	b3185//b1132//
ArcA_BetI_Cra	b3404//b2106//b0178//b2436//
ArcA_CRP_CaiF_FNR_H-NS	b3787//b2421//b3741//b0596//b3453//b3907//
