#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/complex_regulons_bnum.txt
AccB_FadR	b2146//b3753//
AcrR	b1658//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b0778//b2428//b4044//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b2290//b0463//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b0698//b3969//
AcrR_FNR_Fur_SoxR	b3431//
AcrR_FNR_Fur_SoxR_SoxS	b1259//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b2078//
Ada	b0853//b2105//b4196//
Ada_AidB_Lrp	b2821//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b2231//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b0191//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b0872//b0234//b4029//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b0977//b0522//
AdiY_H-NS_IHF	b4037//
AgaR	b0998//b3237//b1388//b2659//b2486//b4075//b0237//
AgaR_CRP	b1296//b3756//b2366//b0384//
AlaS	b0951//
AllR	b3167//b0106//b4134//b0382//b3616//b2608//b3961//b2588//b4539//
AllS	b3863//b3115//b2194//
AlsR	b1265//b2784//b0353//b4192//b3428//b0090//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b3726//b2994//b0392//b1546//b3036//b4196//
AppY_ArcA_YdeO	b3066//b4043//b3742//b0139//
AraC_CRP	b3661//b3237//b3006//b1070//b2903//b0462//b0074//b0063//b1547//
AraC_CRP_XylR	b3556//b3758//b0921//
AraC_NagC	b3236//b3242//
ArcA	b3214//b4618//
ArcA_BetI_Cra	b2163//b0890//b0403//b1298//
ArcA_CRP_CaiF_FNR_H-NS	b3480//b4111//b1798//b1588//b2925//b1887//
