#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/complex_regulons_bnum.txt
AccB_FadR	b1954//b0929//
AcrR	b3403//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b4099//b1308//b2731//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b2673//b3331//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b0594//b3518//
AcrR_FNR_Fur_SoxR	b3605//
AcrR_FNR_Fur_SoxR_SoxS	b4159//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b0203//
Ada	b2942//b2167//b4415//
Ada_AidB_Lrp	b4237//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b0590//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b2282//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b2422//b1719//b4484//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b3967//b0077//
AdiY_H-NS_IHF	b1796//
AgaR	b0052//b2553//b2239//b2754//b0463//b1597//b3792//
AgaR_CRP	b0113//b2236//b1882//b2406//
AlaS	b0311//
AllR	b4024//b2574//b2631//b1109//b4326//b1781//b4292//b1707//b1780//
AllS	b4032//b0977//b1335//
AlsR	b4669//b4099//b2676//b3604//b0729//b2676//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b2407//b1735//b0696//molR_1//b3314//b4014//
AppY_ArcA_YdeO	b0676//b0588//b4312//b1790//
AraC_CRP	b0475//b2716//b2589//b1944//b1859//b3756//b0019//b2163//b0666//
AraC_CRP_XylR	b1536//b1946//b3503//
AraC_NagC	b1940//b0565//
ArcA	b0185//b0665//
ArcA_BetI_Cra	b2996//b3242//b1231//b2342//
ArcA_CRP_CaiF_FNR_H-NS	b1020//b0891//b1277//b3469//b4475//b2570//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b2866//b1649//b2421//b2665//b3508//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b0486//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b3503//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b2582//b2206//
ArcA_CRP_Cra_Fis	b1039//
ArcA_CRP_Cra_IHF_IclR	b0504//b4326//b3183//
ArcA_CRP_DcuR	b3403//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b1892//b3451//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	b3729//
ArcA_CRP_DnaA_FNR	b4105//
ArcA_CRP_DpiA_FNR_NarL	b4481//b0799//b2537//b0439//b3186//b0353//
ArcA_CRP_DpiA_FlhDC	b1301//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	b0484//b2392//
ArcA_CRP_FNR	b0392//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	b1010//b2597//b0153//
ArcA_CRP_FNR_Fis_Fur_PdhR	b1902//
ArcA_CRP_FNR_Fis_IHF_NarL	b1814//
ArcA_CRP_FNR_Fur	b2159//b0971//b4592//b1113//
ArcA_CRP_FNR_Fur_IHF	b4089//b0095//b3666//b2686//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	b0146//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	b3566//
ArcA_CRP_FNR_IHF_NarL	b1165//
ArcA_CRP_FNR_NarL	b2425//
ArcA_CRP_FadR	b4662//b3545//
ArcA_CRP_FadR_HipB	b0595//
ArcA_CRP_FadR_OmpR_PhoP	b3481//
ArcA_CRP_Fis_Mlc_SoxS	b1386//
ArcA_CRP_Fis_XylR	b3324//
ArcA_CRP_Fur_GadX_MqsA	b2803//
ArcA_CRP_GatR	b3036//b2542//b0201//b0903//b2484//b0957//
ArcA_CRP_GlpR	b1012//
ArcA_CRP_IHF	b2348//
ArcA_CRP_PuuR	b2685//gadF//b3073//b1167//b0125//
ArcA_CRP_RhaS	b1949//
ArcA_CRP_TreR	b1304//b0335//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	b4116//b3511//
ArcA_Cra	b3502//
ArcA_Cra_FNR_H-NS_HypT	b0891//b1077//
ArcA_CysB_FNR	b1434//
ArcA_FNR	b2977//b2231//b2366//b3568//b2206//b2344//b0675//b3169//b3367//b2852//b1130//b3136//b3750//b3581//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	b4289//
ArcA_FNR_Fis_IHF_NarL	b1907//b2591//b3571//b1334//b4592//b2106//b0729//b1885//b3615//b0732//b1237//b1022//b2311//
ArcA_FNR_Fur_IHF	b1672//
ArcA_FNR_IHF	b1846//b4699//b0385//
ArcA_FNR_IHF_NarL	b4439//b3311//
ArcA_FNR_NarL	b4669//b0096//b2009//b2979//
ArcA_FNR_PhoP	b4323//
ArcA_FNR_PuuR	b2719//b2584//
ArcA_FadR	b0038//b0050//b3969//
ArcA_FadR_Fis	b4192//b1111//
ArcA_Fur_Lrp_ModE	b4241//b0734//b3049//b0826//b1434//
ArcA_GlcC_IHF_PdhR	b0783//b3575//b2313//b0975//b3071//b0277//
ArcA_LexA	b0340//b4383//
ArcA_LldR	b3741//b1851//b2425//
ArcA_NarL	b2206//b2241//b4369//b0484//b3855//b1246//b3125//b1674//
ArcA_NtrC_PhoP_RutR	b0584//b3432//b1546//b2821//b3223//b1304//b0112//
ArgP	b0111//b4044//b2205//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	b3128//sroA//b2608//
ArgP_CRP_FNR_Fur_Nac	b3785//
