#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/complex_regulons_bnum.txt
AccB_FadR	b1500//b0980//
AcrR	b0439//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b2560//b3576//b1673//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b4522//b0020//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b0096//b0758//
AcrR_FNR_Fur_SoxR	b3688//
AcrR_FNR_Fur_SoxR_SoxS	b3316//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b3221//
Ada	b3612//b2782//b0999//
Ada_AidB_Lrp	b2312//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b3666//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b3567//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b1704//b2977//b1576//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b0064//b3599//
AdiY_H-NS_IHF	b3185//
AgaR	b4288//b1078//b2151//b1184//b3506//b3576//b0330//
AgaR_CRP	b2840//b1164//b3665//b0049//
AlaS	b2588//
AllR	b0827//b2912//b2369//b1243//b3255//b3518//b1392//b0678//b0140//
AllS	b2199//b0894//b1415//
AlsR	b2580//b4195//b0203//b2498//b2789//b2589//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b0596//b3967//b0980//b4438//b0178//b4396//
AppY_ArcA_YdeO	b1492//b0987//b2591//b2841//
AraC_CRP	b3311//b3006//b0774//b2996//b4663//b0602//b0349//b0435//b3127//
AraC_CRP_XylR	b4088//b0335//b4671//
AraC_NagC	b2503//b0557//
ArcA	b2943//b0475//
ArcA_BetI_Cra	b3081//b2212//b0052//b1327//
ArcA_CRP_CaiF_FNR_H-NS	b0116//b3172//b2407//b3912//b3518//b0443//
