#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/complex_regulons_bnum.txt
AccB_FadR	b4599//b2666//
AcrR	b0589//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	cpxQ//b2980//efeU_2//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b4673//b3958//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b2206//b2236//
AcrR_FNR_Fur_SoxR	b3454//
AcrR_FNR_Fur_SoxR_SoxS	b3066//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b3171//
Ada	b1042//b0892//b0312//
Ada_AidB_Lrp	b0039//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b0071//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b3393//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b3753//b0440//b3572//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b3260//b2276//
AdiY_H-NS_IHF	b2579//
AgaR	b0111//b3565//b0116//b4075//b0112//b4266//b1748//
AgaR_CRP	b0083//b2708//b0020//b0751//
AlaS	b4279//
AllR	b4416//b3855//b1160//b0091//b2584//b0922//b1733//b2282//b0596//
AllS	b3574//b4364//b1501//
AlsR	b4016//b3851//b3070//b0189//b4698//b1073//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b0090//b0670//b1716//b0728//b0588//b2728//
AppY_ArcA_YdeO	b3008//b2710//b4280//b4415//
AraC_CRP	b4006//b3722//b1199//b1717//b3501//b3408//b0894//b3367//b1220//
AraC_CRP_XylR	b3525//b4085//b2205//
AraC_NagC	b3730//b2868//
ArcA	b1579//b2675//
ArcA_BetI_Cra	b2614//b1021//b0953//b1681//
ArcA_CRP_CaiF_FNR_H-NS	b0231//b3321//b1982//b0399//b0799//b2535//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b0512//b1008//b4152//b4699//b3118//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b3318//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b4200//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b2078//b0697//
ArcA_CRP_Cra_Fis	b3672//
ArcA_CRP_Cra_IHF_IclR	b3671//b2280//b0782//
ArcA_CRP_DcuR	b1333//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b4008//b4036//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	b0185//
ArcA_CRP_DnaA_FNR	b2212//
ArcA_CRP_DpiA_FNR_NarL	b0273//b3190//b4264//b1939//b2571//b1939//
ArcA_CRP_DpiA_FlhDC	b0178//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	b0708//b2987//
ArcA_CRP_FNR	b1937//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	b2278//b1973//b1324//
ArcA_CRP_FNR_Fis_Fur_PdhR	b2428//
ArcA_CRP_FNR_Fis_IHF_NarL	b1486//
ArcA_CRP_FNR_Fur	b4134//b1334//b2464//b4044//
ArcA_CRP_FNR_Fur_IHF	b2279//b1537//b2168//b0049//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	b3741//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	b4577//
ArcA_CRP_FNR_IHF_NarL	b1203//
ArcA_CRP_FNR_NarL	b1500//
ArcA_CRP_FadR	b1679//b4355//
ArcA_CRP_FadR_HipB	b1783//
ArcA_CRP_FadR_OmpR_PhoP	b3582//
ArcA_CRP_Fis_Mlc_SoxS	b1748//
ArcA_CRP_Fis_XylR	b0071//
ArcA_CRP_Fur_GadX_MqsA	b3854//
ArcA_CRP_GatR	b2469//b2485//b0083//b1943//b1670//b3751//
ArcA_CRP_GlpR	b3035//
ArcA_CRP_IHF	b1070//
ArcA_CRP_PuuR	b3212//b2364//b1532//b0849//b0812//
ArcA_CRP_RhaS	b3265//
ArcA_CRP_TreR	b1798//b4443//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	b2203//b4024//
ArcA_Cra	b1194//
ArcA_Cra_FNR_H-NS_HypT	b3275//b3518//
ArcA_CysB_FNR	b0720//
ArcA_FNR	b0593//b1783//b2841//b0234//b2465//b2280//b3756//b0106//b0167//b2151//b0052//b4699//b3092//b3781//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	b1010//
ArcA_FNR_Fis_IHF_NarL	b0389//b2756//b1548//b1091//b0933//b0204//b4673//b1229//b0338//b3966//b0998//b3156//b1042//
ArcA_FNR_Fur_IHF	b3772//
ArcA_FNR_IHF	b2726//b3958//b1023//
ArcA_FNR_IHF_NarL	b0553//b0353//
ArcA_FNR_NarL	b2841//b0863//b3137//b2203//
ArcA_FNR_PhoP	b2607//
ArcA_FNR_PuuR	b4123//b3416//
ArcA_FadR	b1334//b4238//b3855//
ArcA_FadR_Fis	b2551//b0924//
ArcA_Fur_Lrp_ModE	b0720//b1500//b3270//b2925//b1010//
ArcA_GlcC_IHF_PdhR	b2801//b0108//b2787//b3911//b0140//b1322//
ArcA_LexA	b1748//b1482//
ArcA_LldR	b0441//b1779//b3431//
ArcA_NarL	b0125//b3277//b1566//b1826//b0072//b4213//b1880//b2838//
ArcA_NtrC_PhoP_RutR	b0166//b0241//b1303//b3751//b3902//b0974//b4312//
ArgP	b2092//b2751//b2820//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	b1857//b2754//b0311//
ArgP_CRP_FNR_Fur_Nac	b2500//
ArgP_DnaA	b3724//b2146//b0078//
ArgP_Lrp	b2531//b2202//
