#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	csgD//fis//
Ada-Methylated_pos	sdaA//priB//citE//phnK//
AlaS-L-alanine_neg	caiE//
AllS-allantoin_pos	mhpA//atoD//ydhU//
AraC-L-arabinose_neg	ulaA//iscR//moaE//prpE//fucU//prpD//aroP//rprA//
AraC-L-arabinose_pos	gspI//phnL//fadH//argT//araH//znuA//rplM//alaS//frdD//appC//
ArcA-Phosphorylated_neg	prpC//fecE//uxuB//soxR//hybB//moaD//paaJ//galK//lsrK//torD//dpiB//phnC//yjjZ//arfB//mdtA//malZ//ynfG//sucC//lsrF//glgS//purE//cpxA//modC//tauA//phnG//ydeN//uidB//trpR//rutD//grxD//nanS//arfB//acrB//ccmE//lysA//ampE//ydbD//tonB//malE//fecD//prpB//chiP//xdhC//rrfD//uidA//fadH//nrfC//hofB//frdA//dadX//ccmE//tar//mgtL//cydC//rdoA//atoB//ydfN//lhgO//pstA//carA//melB//exuT//iscR//aroF//astB//ung//marR//malE//fixA//fadL//tsx//casD//nuoC//phnJ//infB//codB//ydhV//sdhC//narI//tauC//prpR//galT//qseC//sdaA//sufD//metA//csgG//tdcF//cyaA//glcF//paaK//feaR//comR//araJ//cysI//yfdE//ompR//fimF//cysG//umpH//carB//glgC//alaA//hflX//pgaC//artQ//ygaC//hyfF//aaeA//aceB//deoA//tehB//mgrB//ssuA//uraA//hupB//puuD//rpsR//nagC//iscS//ascB//rrfH//rrfE//exuT//torA//araJ//malX//
ArcA-Phosphorylated_pos	malP//fhuD//marR//fepG//ssuE//ynfE//hdeA//bacA//bglF//ompW//cusB//ilvI//pyrD//tehB//ybfN//sbmC//bamA//yggX//nrdE//nupC//cstA//creD//psiF//metF//motA//hyfB//rmf//fdnI//rdoA//pagP//nanT//ldtB//phnP//lsrK//modA//ulaB//tdcA//rybA//rrsB//nrfC//pgaC//cydD//rimM//metI//modB//nanK//yccA//ilvG_2//aspA//trpA//tktB//livM//paaI//ulaD//infC//mhpC//oxyR//gatC//
ArgP-L-arginine_neg	rcnB//
ArgP-L-arginine_pos	rhaA//hyfD//ynfK//mhpC//nupG//nuoH//creA//napB//lsrK//araF//yebE//yhiD//nrdI//caiD//bdcA//
ArgR-L-arginine_neg	trpD//paaK//xapB//spf//cydB//bioF//nikR//tdcA//lsrB//cheW//glyA//phoQ//slt//cynS//cyoD//aroG//nirB//gspM//rpsR//sufA//rpsC//crp//tsgA//rpsS//glnB//rof//metC//tdh//hyaF//hypA//fecA//hyfF//tdh//araD//
