#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rbsB//phnC//
Ada-Methylated_pos	fucO//fbaA//sufA//nagE//
AlaS-L-alanine_neg	tdcG//
AllS-allantoin_pos	trpE//iscA//dsbA//
AraC-L-arabinose_neg	ugpB//acnB//hybA//entF//norW//pgk//ynfE//yidQ//
AraC-L-arabinose_pos	pgaA//ppdD//dcuD//hupA//idnO//rhaA//malP//torR//moaB//alaU//
ArcA-Phosphorylated_neg	gcvT//ydhU//znuA//bioA//crp//srlA//gatY//metI//rnlB//csgF//psd//paaC//grxD//ynfG//glpA//hyfG//yeiB//nuoM//mntP//csgA//rhaB//sbmA//iscA//ccmE//paaG//napF//rrlA//amn//leuE//abgB//gltB//feoC//phoE//nlpD//ydeA//yeaD//uxaB//dapB//dusB//marR//deoC//glnK//adiC//oxyR//trpB//caiT//acnA//araC//bacA//fnr//nagC//mtlA//paaF//hisP//phoE//nupC//ccmA//rrfB//malT//puuC//hyfD//glpF//oppD//fecI//narG//serA//moaC//purR//dcuR//codA//cysB//galK//ilvD//moaE//glnK//yiaJ//gatA//idnK//rpsI//cydD//sbcD//creA//aidB//gapA//tpx//yeaR//iscR//malX//oxc//idnT//flhC//ynfF//emrY//rimM//hycE//phnK//gcvH//yoaG//nanK//metE//dsbA//dusB//hyaA//cysP//gspK//glgP//manZ//yaiW//sucC//livF//glpG//tar//ssb//cysB//ulaE//rpsJ//yegR//fadL//pncB//rrlB//puuC//uidA//yciW//treR//ubiX//fecA//folE//
ArcA-Phosphorylated_pos	purD//carA//rrfD//gatB//mhpB//rrfD//hycA//cydA//nadC//nuoE//ileU//glgB//tnaA//gspL//ackA//cas1//ybdZ//pflB//cheY//nrdH//rcnA//nrdI//lldP//atoD//hycA//nupC//dmsA//yeiP//aceE//cusC//rrfB//nuoL//glgB//mglA//oxyR//mglB//yeaR//glcC//tnaB//yjiY//ygaC//malP//pncB//garP//alaT//gspM//metC//torR//nlpD//nuoE//ccmD//glcF//caiE//secB//map//gadC//yaiA//ppiA//
ArgP-L-arginine_neg	ptsH//
ArgP-L-arginine_pos	rhaS//glpC//feoC//purK//purE//pstC//ivbL//dpiA//rnhB//mhpA//fhuD//moeB//rnhB//hyaE//ydhV//
ArgR-L-arginine_neg	casC//mutY//paaI//argA//bcsA//cydB//hflX//ygiB//galK//sbmA//hybO//rrsE//yeaD//ytfE//pstA//truB//gpmA//mgrR//rrfG//trpL//srlD//xapB//fixX//yojI//allD//cpdB//yeiB//znuC//rrsE//nagB//chbC//ompW//hyaA//fecR//
ArgR-L-arginine_pos	hycH//hupB//ygeH//fixC//nrfA//
AtoC-phosphorylated_pos	safA//citG//xapB//tdcB//
BaeR-Phosphorylated_pos	yggX//sdhC//ahpF//envZ//rplC//purM//cheZ//prpE//
BirA-bio-5'-AMP_neg	frdC//glpC//rhaA//pstS//adhE//
CRP-cAMP_neg	tyrA//gyrA//nagE//fimF//cvpA//tsx//rimM//udp//cheW//hyfR//xdhB//fimF//zinT//nrfD//ilvG_1//fepC//ynfG//carB//entB//hyaC//serA//gntK//norW//garL//marA//rof//yoaG//napA//ilvA//alaA//glnD//feaB//csiD//idnR//adiC//mtlD//ppiA//hofB//nrdF//nikB//citD//hha//yjeV//casE//ykgM//fes//pstS//astD//hyfA//puuE//tdcD//trpC//ppiD//ulaA//dmsD//ugpA//fepE//ompA//ydeN//mpl//rplD//mtr//rplI//gntX//fucA//efeU_2//ung//glyA//nlpE//cas2//metI//rrsA//ompF//nirC//glnA//raiA//gspL//phnL//cstA//livH//bcsB//bacA//iscS//rrlH//cysG//nac//cydC//yfbR//mtlR//rpsQ//fecB//slt//rhaT//grpE//mhpD//araC//ompA//argO//nirD//galK//znuB//metH//allD//ileV//rhaB//cyoC//mutL//pepT//glgC//fabZ//ilvX//aroA//argH//moeA//grxD//mgrB//bioA//uvrA//bioA//gatB//alaS//rybA//cra//tsaE//dmsD//mhpT//tdcG//trpC//napC//iscS//rprA//citC//exbD//
CRP-cAMP_pos	tsx//purD//chbG//iscR//fumC//uvrA//phnF//malE//leuE//tsaE//nrdH//yjjZ//hybB//lacA//phnJ//oppD//fucU//nrfC//zraS//cvpA//xylF//rbfA//tauB//ccmC//moaB//serA//tktB//ackA//micF//fhlA//pdhR//nikA//mntH//cas2//araD//garP//cydD//appY//ilvE//glpA//norW//puuB//murP//tpx//yegH//idnD//tdcB//glpT//ulaC//sroD//nrfG//acrF//frc//alaT//rplI//sbcC//xylF//fnrS//dnaE//gdhA//prpR//ydhX//ugpA//sucC//yfaE//galS//ccmC//nrfG//pnp//puuA//araH//evgA//ampD//tauA//fixC//rrlG//cyaA//purE//gspC//atoA//hyfC//hdeD//fepC//cirA//cvpA//ygiB//marA//xdhA//tdcD//ilvE//nirD//yegZ//rhaA//puuA//znuC//ompF//purM//sucD//fliA//patZ//tsaE//fbaA//garL//hydN//glnG//rrfD//sohB//xapA//gadC//ynfF//yhcH//yciW//fucU//casB//ytfE//hypC//ccmD//adhE//hybG//glpD//puuA//lldD//ykgO//nanM//avtA//atoD//entC//hyaD//fimH//hflC//rrsD//fimA//sodB//rrsE//nupG//glcG//narH//paaE//katE//frdB//ccmG//yccA//astD//cheA//rplI//ndh//hypF//rstA//yqjH//frdD//metE//amn//entC//rnlB//nuoM//dnaA//yegH//fldA//hyfJ//metE//hybA//tauA//garK//prpD//gltF//ugpQ//crp//dpiA//rrsH//ydhV//bioA//napF//mntH//nuoF//fepB//dmsC//malE//crp//chbC//entD//hdeA//csgD//frdC//torR//lsrD//fhuC//glgC//ilvX//rutG//rbsK//bacA//fhlA//nadC//stpA//galP//tehB//asr//ygiB//hisJ//sdhC//xapA//mdtC//rutB//purM//uxaA//metI//dppB//mipA//entE//rrfF//oxyR//napH//caiT//garR//efeU_1//dnaA//gabP//motB//tyrR//efeU_1//malI//fhuD//pnp//dmsA//xdhC//uvrA//csgC//rhaB//phnI//glcA//hypA//ilvM//metJ//yhjA//cas1//nrfA//sxy//cadA//lldD//artQ//rpmC//uraA//tehA//rrsG//rnlA//melB//trpA//codB//hyfI//amtB//dppB//hypF//narQ//xylF//narX//yfaE//nikE//nuoK//serA//hybA//uxuA//fimC//bamA//metK//rprA//hybG//pflB//cpdB//rbsC//uidB//tsaE//yoaG//gspO//entH//sodA//glnL//rbsK//cysP//manZ//gatZ//metL//pgaC//tdh//tam//hemL//pgaC//ybiT//alaV//evgS//dadA//uidA//bamE//oxyR//gcd//artJ//gspK//truB//prpD//gltB//rutA//phnH//phnE_1//metK//paaD//xdhA//cysM//ilvC//phoA//rpsS//cadA//phnJ//tyrP//ugpB//gntP//ubiG//entE//hofB//argI//lsrK//chbA//emrK//dadX//gltA//uxaA//ileU//lldR//caiE//ogt//pstS//iraD//purB//pdhR//glnL//uxaC//phnL//tdh//motB//hyaB//casC//rrsE//yfeW//lpxB//fadE//gntP//fimF//fixC//puuB//yhcH//nupG//dsdC//idnR//speA//rpsP//bdcA//lsrF//rbsC//moeB//motA//rbsB//xylG//argF//crl//rplT//rrfB//codA//mltC//moaE//nuoN//nfuA//bcsZ//yeiW//yeiL//argD//yqjI//narQ//mlc//caiT//skp//ilvG_1//gltA//secB//bioB//efeU_2//rcnA//nuoJ//fimI//ilvB//uidC//mtlD//torA//purN//fecC//murQ//rrsD//argT//dcuB//yhcH//sucB//lldD//glnK//pitA//rpoE//lacI//phnH//sodB//uhpB//aaeB//cysB//yneM//appC//puuA//pstA//ptsH//xdhB//ssb//recF//nikA//mdh//rplC//rmf//pck//yeaD//sbcC//norW//sufE//hyfD//pstS//cadA//entH//
ChbR-Monoacetylchitobiose-6P_neg	metB//lsrA//dsdA//mtr//paaC//rutB//
ChbR-Monoacetylchitobiose-6P_pos	rhaA//casA//ptsH//csgF//hycC//mhpA//
CpxR-Phosphorylated_neg	fimI//uof//upp//ansB//entD//yjeF//gspL//pgk//fliZ//malG//ompX//rpsR//fecB//arcA//osmC//ydfH//iscR//lacZ//rpsF//phnO//xylH//sodB//purL//dsdA//
CpxR-Phosphorylated_pos	fecA//feoC//malG//uxaA//yhhY//micF//ulaB//phnD//entA//citX//bdcA//ilvI//cusA//nuoC//dnaE//nuoC//yjiY//citD//metL//murP//nirD//phnF//rpoE//purR//rstB//yfiP//ynfE//mhpB//cysN//tktB//norW//gpmA//copA//dadX//norR//puuB//pgpC//dppC//yecR//yibN//citF//borD//citX//hyaC//ftnA//
CreB-Phosphorylated_neg	lsrG//pagP//uhpB//
CreB-Phosphorylated_pos	yhjA//ydhV//ilvB//cadB//alaV//idnK//
CueR-Ag_neg	phoQ//ompT//hisP//yfdE//hyfJ//
CueR-Ag_pos	rnhB//hyfB//
CueR-Cu+_neg	glpX//qseC//fepD//cysC//idnO//
CueR-Cu+_pos	zinT//rrfE//
CuerR-Au_neg	phnE_1//arfB//rrsB//ybiT//galM//
CuerR-Au_pos	kbaZ//fucI//
CusR-Pasp_pos	csgG//xseA//glrR//fimF//grcA//pdhR//ftnA//cyoD//flhD//aaeX//tyrB//dusB//
CynR-Cyanate_neg	nikE//
CynR-Cyanate_pos	yfbR//dppA//cheW//
CysB-N-acetyl-L-serine_neg	creC//norW//nrdA//ulaF//cusS//idnK//nikR//
CysB-N-acetyl-L-serine_pos	yedX//melA//yhjC//napA//yfaE//creC//znuC//miaA//citC//metC//epd//gutQ//mtr//cysG//rplW//nrdE//arcA//arcA//alaA//adhE//cheW//xdhC//gspG//
