#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	erpA//copA//
Ada-Methylated_pos	mhpB//gntP//glcB//gcd//
AlaS-L-alanine_neg	cas2//
AllS-allantoin_pos	ygbA//grxD//hcr//
AraC-L-arabinose_neg	pgk//glmY//mhpE//acs//bglB//ahpC//rbsK//allC//
AraC-L-arabinose_pos	nohA//rutA//cas1//dppB//modB//ynfG//chbB//emrY//hybA//lldR//
ArcA-Phosphorylated_neg	lacI//cvpA//mhpA//cheW//yfdE//rrsD//ydhX//cheY//rpoS//acs//nrdB//fecA//nrdH//hflK//ccmA//znuA//glpX//gcvP//metI//hybC//rbsC//codA//nagA//ccmD//torD//tauB//rybB//fdnH//fadE//ydeO//ygiC//mhpD//cspD//rutG//manA//cysI//rnlA//sufE//hofN//purH//hofB//yecR//melR//zntA//gatZ//amn//hycH//nikA//gatY//narX//moaC//garP//iscR//nuoA//nirD//tdcG//ldtC//paaF//ydeM//nikR//ygaC//phnN//ydhU//trpR//artP//hyfB//yeiB//rbfA//rprA//fepB//hybC//rpsJ//cusF//acnA//gcvP//lysP//sbmC//tsaE//mgtA//glpC//hdeD//fes//betI//fumC//oppF//deoB//arcZ//rrlB//iscR//rplP//puuC//rrfF//feoC//lsrA//tktB//treB//fhuC//hycB//fepE//malT//oppA//nuoE//norR//agaV//gcvP//xdhA//tktB//rpsP//hisP//envZ//nanM//hofN//cpxR//fnrS//hofB//glmY//oppB//fur//nuoL//dcuS//chbG//purB//uxuR//abgB//thrV//nanM//ompA//
ArcA-Phosphorylated_pos	nlpD//fnrS//ispE//hofB//patZ//lsrD//glgC//bglB//mgrB//srlR//argA//fumA//nanA//priB//rpoS//stpA//cyaR//grpE//nuoL//gspD//ydhT//srlA//ugpQ//rrsH//ybiT//yoaC//prpC//oxc//nanT//yrbL//iraM//tonB//astD//grcA//ynfG//phoR//hupB//ydhV//appX//ydhX//cynX//rbsB//lsrB//nuoA//rrlG//lsrA//fixC//nuoL//mhpA//norV//rhaD//nuoA//nagC//glcF//ychO//nirD//metJ//narG//
ArgP-L-arginine_neg	pgaB//
ArgP-L-arginine_pos	epd//nagB//mhpF//ubiX//mgrR//fnr//lysA//priB//ygeA//yfaE//sdhB//cyoB//gatA//agaW//lsrC//
ArgR-L-arginine_neg	fecI//allC//cysJ//livJ//moaD//ulaC//rplW//malK//creA//hycE//gabT//paaI//frdB//galM//tdcD//lrp//araC//cheW//cadA//csgB//glnK//udp//putP//ilvC//exbB//mntS//ssuC//torC//fliA//entS//rplW//ulaE//sufB//rpsQ//
ArgR-L-arginine_pos	waaH//metE//citX//cyoB//dppF//
AtoC-phosphorylated_pos	sodA//gspG//hybC//appY//
BaeR-Phosphorylated_pos	hybB//malQ//ssrS//ilvC//skp//nirB//narI//purF//
BirA-bio-5'-AMP_neg	tsr//tfaQ//psd//paaA//rrfD//
CRP-cAMP_neg	leuE//cysC//murQ//betI//sucB//hflX//katG//fimF//dcuB//nanA//oxyR//glpB//lpd//yhiD//flhC//gabD//envZ//csgB//caiD//ygiB//nuoK//narJ//fimF//purA//talA//agaV//caiB//rpmC//frdA//adiC//acrA//comR//gcvT//rplS//ychH//ybfN//rpoS//rpsQ//tsaE//betT//bglG//puuR//puuP//rplS//gutQ//xylR//rnlA//ldtB//xylB//cydA//ybdN//grxD//appB//spy//gdhA//ulaE//napH//rmf//hypA//rbsD//iscS//idnD//pgaD//melB//creA//fixB//envY//gltD//moaD//dppA//nrfG//allC//creC//hyaE//appX//dcuA//moaB//appY//hyaD//pgk//ccmB//cheB//gspM//glpB//frc//galM//pyrD//baeS//tadA//yjcH//acnB//phnG//cysD//xylA//yqaE//ulaB//lysO//efeU_2//nanE//aer//artQ//fadE//torD//modA//xylH//pgk//rpoS//deoB//malY//ssuC//amn//nrdH//ccmG//rplB//upp//hyfB//allD//fhuB//bdcA//crl//ychO//yedX//paaG//fumA//ybiT//dmsD//pgaB//idnD//ccmH//sufC//fbaA//nanS//araB//
