#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ynfF//fabZ//
Ada-Methylated_pos	ydfH//chbG//aceF//mutL//
AlaS-L-alanine_neg	melA//
AllS-allantoin_pos	tnaC//rpmC//yfaE//
AraC-L-arabinose_neg	modC//murQ//miaA//yjiY//gntK//livK//csiD//ung//
AraC-L-arabinose_pos	metJ//ascF//argP//hycA//betB//grxC//paaC//malQ//appX//psiF//
ArcA-Phosphorylated_neg	rrsB//fbaA//ompX//mglA//prpB//rpmC//fiu//exbB//rplP//copA//ubiX//iscR//cusA//lysC//mhpE//xylR//yhjC//gatA//nrdB//csiD//ldtB//puuA//creD//trpA//iscR//tdcD//hcr//nuoA//mtlD//ybiT//ychH//fadJ//nusA//trpD//nuoE//pgaC//citX//nac//entE//nanM//fbaA//rrfA//nikA//fes//prpD//gltW//yeiP//alaV//fldA//uidC//adhE//pyrC//yhiD//yiaJ//cusC//paaE//rplM//cyaA//deoA//livG//pflB//dapB//glnG//csiD//ybiT//dppD//malX//yjjZ//aceF//phoA//yaeP//phnF//mgrR//osmY//ssuC//abgT//rbsC//yjiY//ulaD//sufS//tauD//acrB//torA//nanE//mtlR//rpoS//hslJ//astA//cynX//argG//yaeP//nuoJ//puuD//cysD//tonB//phnN//envY//hyaF//rseC//prs//alaS//waaH//artP//tauD//appB//puuA//spf//melR//slyB//ada//cysK//nrdB//glgC//fdnG//nohA//rpsC//ykgO//cusB//tdcD//purC//rpmI//ackA//yfbR//hflD//ydeP//tdcF//zraR//
ArcA-Phosphorylated_pos	yeiB//sufE//hybG//hisP//psiF//ilvG_1//rbsD//rbsD//hycC//mipA//manZ//cyoE//fdnG//argB//hyfJ//uof//rpsC//cysI//ebgC//lhgO//sufA//hyfB//ftnA//gpmA//hyaA//paaZ//puuP//rdoA//ompR//nanK//fadL//dpiA//ndh//phoQ//gntX//dsdA//mhpA//crl//narX//norV//phnN//tyrP//fdnG//rstA//dcuA//aer//uidA//ada//malS//citX//hyaA//xdhC//pepT//oxyR//ampE//mtlR//hyfF//fecR//
ArgP-L-arginine_neg	ccmC//
ArgP-L-arginine_pos	hmp//narX//hdeB//treC//hypF//appA//csgC//rpmC//pheT//nrdA//oxyR//iscU//gutM//sohB//entH//
ArgR-L-arginine_neg	rrlA//cheA//rplP//modA//nikE//citC//gabT//fixC//creB//tfaQ//dnaE//feoA//arcZ//ydeJ//dps//rbsD//fecC//moeB//phnD//prpR//fumB//lhgO//cysG//glpX//exuT//cusA//cysJ//ilvD//moaE//gutQ//trxA//glcC//rplT//mtlD//
ArgR-L-arginine_pos	cusS//paaC//napG//fucR//thrS//
AtoC-phosphorylated_pos	nirC//nagA//ydhW//tehB//
BaeR-Phosphorylated_pos	nirC//dcuS//purD//adiC//ivbL//tnaA//dpiB//malP//
BirA-bio-5'-AMP_neg	hyfC//araF//ydhU//tauD//fhuC//
CRP-cAMP_neg	casC//rutC//rrsC//rof//chbR//mglA//hha//nfuA//bamA//glcB//araC//uxaB//glgS//fbaA//rutF//rpsC//grpE//rpmI//ytfE//rpsR//trpL//phnK//ydhY//fecE//uhpB//rpsJ//paaI//ompA//qseC//yjiY//aspC//guaA//csgG//rnhB//dcuD//skp//stpA//tktB//sufS//asr//zwf//napF//treR//fur//artQ//araB//fepG//ilvB//purE//artQ//yeiP//hisJ//gntX//amn//moeB//purA//rutA//ygeA//fepC//ilvD//sufA//citC//fixX//nuoG//cynX//hycD//ysgA//spf//lldD//gspE//citD//fecE//cheA//sufA//uhpB//kbl//gatA//astC//yhhY//tyrR//guaA//cpxR//araA//lsrB//rutC//uxuA//phnJ//puuC//rpsO//gutM//sdhA//zraR//araE//ftnB//fimF//ydhU//casC//argD//melR//trmD//aaeB//gadB//gspH//yfiP//cvpA//cynR//agaW//nagC//psd//lrp//bcsZ//ygeH//soxR//glpG//artM//casD//artI//ilvG_1//nikR//sufE//xdhC//rhaB//ulaE//yaeP//fliA//emrK//ptsH//livF//dps//rseC//ybiT//trg//grxC//
