#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fepD//cynT//
Ada-Methylated_pos	tyrR//prfA//csgD//hycI//
AlaS-L-alanine_neg	skp//
AllS-allantoin_pos	purH//yjjZ//rrfD//
AraC-L-arabinose_neg	glgS//hemL//fimE//nikR//frdB//citD//tadA//ssuB//
AraC-L-arabinose_pos	guaA//ybiT//glnD//xylA//cheW//frdC//metJ//ryhB//prs//bcsB//
ArcA-Phosphorylated_neg	rbsA//aldA//citX//iscR//ydfN//yhjA//phnE_1//motA//caiE//rpoS//glpC//chbR//ilvM//fucK//aceA//phoB//yjcH//chbR//nirC//napG//deoB//emrK//lysO//lsrF//cusR//nrfB//fldA//rrlE//nuoC//gcvH//ygiC//pdhR//rpsI//purK//ydeP//ompW//cyoC//ampD//fiu//phoQ//ydhY//dppF//gltT//marA//lacZ//aroP//srlE//ilvX//appB//ynfE//phoP//ilvI//sufB//psiE//yaiA//ompC//malT//uhpT//hflK//zntA//mgrB//gnd//yjjZ//ykgM//aroG//ung//nuoB//garL//ppiD//livH//rplT//rpsP//gspK//paaJ//asr//comR//lacA//paaC//norR//csiD//yrbL//mntP//tehB//ydeP//yegZ//pyrC//edd//gspO//rpsQ//sohB//soxR//glgC//argO//cheZ//pgaD//metR//cvpA//yebE//spf//aceB//chbB//ynfK//yaeP//hcp//rnhB//caiE//hisM//thrS//gspF//bglB//cysK//mutY//mscM//xdhC//ryhB//araJ//dppA//rpsR//atoD//fepC//ccmE//dsbA//deoA//atoD//mdtB//garP//ulaE//
ArcA-Phosphorylated_pos	ilvH//phnO//purE//lhgO//appB//cheZ//argI//oppD//ydeN//cysG//yfdV//yojI//puuA//phnM//atoE//dapB//infB//paaE//yegH//frdC//nuoC//mcaS//hycE//bioF//galS//nuoE//sufC//araB//gspM//sucA//fnr//purC//icd//zinT//aroM//uhpT//iscS//carA//yqjH//pdhR//yhjA//trxA//bcsZ//hisQ//phnF//phnI//fepE//hyfB//tdcA//ychH//mntH//degP//speB//bglB//tdcB//fdnI//fadJ//marB//
ArgP-L-arginine_neg	creB//
ArgP-L-arginine_pos	rbfA//fadL//idnR//dcuS//mtlA//yfaE//hyfJ//fimA//metF//hisP//glpD//yecR//aldA//idnK//glnD//
ArgR-L-arginine_neg	fepG//moaC//polA//tnaA//gltW//infC//entE//trpE//miaA//fhuA//znuB//ihfA//ydhY//lhgO//caiA//metH//truB//gntK//rrlH//nrfB//ebgA//yjeF//fixC//caiF//psiE//lacA//ilvD//emrY//nuoA//nrdD//micF//grcA//nohA//dusB//
ArgR-L-arginine_pos	exuT//bglB//ogt//yeiB//mlc//
AtoC-phosphorylated_pos	mntS//feaR//speC//yeiB//
BaeR-Phosphorylated_pos	rpsQ//efeU_2//agp//dmsB//glgA//fes//nlpD//katG//
BirA-bio-5'-AMP_neg	hdeA//rybB//puuA//arfB//prpE//
CRP-cAMP_neg	rplD//araE//nrfA//aer//narX//yhfA//betA//entE//hyfE//hofB//lsrB//crr//adhE//erpA//cysN//ebgC//sbmA//mglC//baeS//caiD//cynS//glcD//csgF//ascF//ybfN//metI//cysB//cirA//gatC//nupC//norR//hybO//patZ//mhpC//hyfA//ackA//sohB//abgT//citD//bcsA//tdcD//yeaE//truB//ssuC//bioD//nagA//feaR//pgaC//hisJ//ogt//ydhT//ydhY//mhpB//mntS//iscR//rpsP//sucA//ptsI//frdB//araG//codB//zraS//gpmA//cusF//ccmB//torD//cas1//mglA//qseC//tolC//sucA//xseA//deoD//entB//caiE//rpoS//cheR//rrsD//rpmI//moaC//caiC//yfbR//idnK//bioB//glpF//tonB//casC//abgA//cheR//fucK//hisQ//tsx//aceB//torD//gatC//rdoA//nanS//fepD//nikA//trpD//nrdE//dcuB//gyrA//baeR//ubiG//kbaZ//gspK//ackA//phoA//appB//emrY//gdhA//rnlB//deoD//hyfR//acrF//oppB//ryhB//glpT//eda//bioA//sdhD//rstB//yoaC//tonB//entF//rhaB//aroF//dmsB//glpK//hyfD//ygiC//sdhD//
