#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	entH//tnaB//
Ada-Methylated_pos	uof//mdtC//gyrA//xylF//
AlaS-L-alanine_neg	rrlB//
AllS-allantoin_pos	hisM//skp//dgcZ//
AraC-L-arabinose_neg	yeiW//trg//acrF//rhaT//hycH//yfdX//uhpB//evgA//
AraC-L-arabinose_pos	nanC//cysU//comR//mtlA//puuC//nrfA//nrdB//nupC//katG//rrfA//
ArcA-Phosphorylated_neg	katE//metE//argB//acrD//fldA//entS//tsgA//pitA//rplW//csgF//purE//rrfC//lysU//dsbA//sodB//narX//hyaA//ccmH//ndh//csgA//osmY//paaC//cynX//argP//gspG//ytfE//frdA//lsrR//acrE//tpx//cspD//yeaR//murP//hybF//gpmA//gutQ//dapD//entB//metQ//nanC//ychH//acnA//tdh//gspI//ccmG//nuoG//tauB//entE//ydhY//nikR//tsgA//ydeJ//hpt//dnaE//malF//uidA//psd//ynfF//paaI//creD//rutD//metH//envZ//rplI//tsr//skp//ihfA//rhaR//mdtC//caiE//ompT//dapD//trpC//rrfE//crr//uxuR//osmC//gltA//uraA//paaZ//csgE//csgD//rrlG//dmsC//glpB//trpR//marB//aceA//ugpC//thrS//tehA//fis//nanE//ilvN//gltW//tauB//nrfG//nirB//gltD//fnrS//rseA//glpA//ynfE//rof//tsr//ssb//malX//garR//ubiC//aaeX//ydfN//hycA//uxuA//focA//astE//sufA//rrfE//glcF//pheS//malP//ilvG_2//glgX//yfdV//katG//gntX//mutY//ytfE//
ArcA-Phosphorylated_pos	nupC//rplP//mutY//gcvP//phnD//uhpC//fucR//nrdD//sufS//rplB//ilvA//gadC//hyaC//hycH//entF//acrE//casE//sodA//hycG//napC//ptsH//ileU//nrdD//araF//cas1//nanC//erpA//fucP//phnO//cheW//pitA//gatC//arfB//yegR//fdhF//appC//gatC//ugpA//galT//infC//katE//uidA//xapA//nirD//patZ//ynfE//gcvH//yfeW//trpD//lysA//phnE_2//tyrP//rybB//gyrA//sucD//crr//aldA//yggX//
ArgP-L-arginine_neg	ygbA//
ArgP-L-arginine_pos	hyaC//lldP//araE//lldD//pitB//napG//patZ//frc//phoB//cysG//treB//ccmD//ogt//lldD//lrp//
ArgR-L-arginine_neg	hycD//pdeF//yfdE//hfq//bioF//znuA//ccmF//yeaR//phnC//fes//pagP//mzrA//xdhA//lsrF//nanT//tolC//puuB//ysgA//sdhA//proP//ubiX//phoQ//entS//tyrR//ivbL//rrfH//glgP//narX//fhuB//qseC//polA//trpR//caiB//astB//
