#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	nrdI//metJ//
Ada-Methylated_pos	nrdE//rpmC//mgrR//phnG//
AlaS-L-alanine_neg	marB//
AllS-allantoin_pos	yecR//garR//gspC//
AraC-L-arabinose_neg	trmD//dcuC//soxR//rplS//mntP//fumB//cysA//pnp//
AraC-L-arabinose_pos	sufE//astE//gcvP//mltC//bioF//alkB//rrlA//motA//hyfH//dsdC//
ArcA-Phosphorylated_neg	fepA//gntP//alaT//sufC//gntR//fadL//allC//fucI//modB//ilvE//gspH//sbcC//dmsB//cytR//ynfH//fldA//ulaF//phnM//pheT//aceB//alaV//atoE//nuoB//leuE//idnD//kbaZ//mtlR//lacZ//metA//znuA//entS//glnB//csgB//hybO//ulaB//yeiL//nupG//tsgA//paaG//nupG//nikB//fnrS//tonB//dmsA//yfdX//modA//prpR//nrfF//dppB//entA//paaJ//glgB//betT//ytfE//ansB//uvrA//fhuF//osmC//hflC//kbaZ//glgP//entH//livH//rrfF//lpxA//tktB//hofM//purD//bdcA//lldP//dps//psd//acrA//nrdA//glpB//dppF//ydbD//cpxA//ilvB//lysU//nrdI//zraR//baeR//pheM//purF//psiF//yqjA//dppB//modA//argE//gltW//hycE//deoB//hyfG//rrfB//fepA//iscR//nlpE//fepE//ybdN//slyB//hypA//hyaB//idnT//alkA//hisJ//sdaA//ydhU//argH//hofB//hisM//rnlB//dppA//chiP//garR//gatB//pnp//alkB//gutM//cysU//serC//cyaA//murP//aceK//ahpC//rrsE//ydeO//
ArcA-Phosphorylated_pos	yhiD//caiA//gntT//leuE//bioD//rbsD//aer//fimI//evgS//nirB//argA//rbsK//murQ//ompW//cynX//pitB//appC//crp//hycD//miaA//rbsR//glcB//nupG//citF//ftnA//talA//actP//fadH//ygeH//lsrF//pstS//bamA//hyfA//thrS//slyB//baeS//dppC//allD//agaA//mhpB//acrA//puuA//fixA//ugpB//trpD//caiE//manX//dppB//rrsA//thrS//acnB//amiB//nrdA//acs//nuoG//napA//yfbR//ryhB//
ArgP-L-arginine_neg	rnlA//
ArgP-L-arginine_pos	codB//gcd//nanT//malS//paaG//tonB//purH//ydeO//mhpC//argT//sbcD//gatZ//murP//torD//ftnA//
ArgR-L-arginine_neg	lysA//aceE//uhpA//rpsQ//alkB//ompF//fimC//pheT//feoA//yaiA//sufB//speC//uxuR//ilvC//rrlC//moaD//nagA//glpB//glcD//rpoH//ulaE//manA//phoA//deoD//ydhY//mepH//cydB//csgA//evgS//rplB//malF//hycH//purL//ykgM//
ArgR-L-arginine_pos	nrdF//secB//cspE//cysW//phnP//
AtoC-phosphorylated_pos	fes//acrE//ppiD//metA//
BaeR-Phosphorylated_pos	argP//puuA//livG//znuB//mlc//lsrD//lysU//rpsO//
BirA-bio-5'-AMP_neg	phoQ//csgD//dsdC//sbmA//fucR//
CRP-cAMP_neg	dmsD//yedX//gspK//kbaZ//glnL//gatZ//hybO//malF//yfdE//rpoH//narH//moeA//treB//xdhA//fliA//rpmI//rutF//galT//gntK//glnA//cueO//acrB//upp//ilvG_2//phnN//appX//srlE//ynfF//osmY//rrfD//mtlA//narQ//prpR//glcD//hha//hmp//allC//hemA//ulaD//rimM//glnG//lldD//hydN//cadC//fimA//fecB//pgaB//cyoA//ychO//csgE//gltA//araH//aceF//iclR//treC//malK//araF//argC//rrsG//yaiW//sucB//dmsB//pncB//rpsP//sufA//cysH//hdeD//psd//dps//casE//glnG//galE//paaK//paaK//rhaB//fimH//fau//yhfA//fumB//tauB//alaS//puuE//fimA//glgC//tnaA//crl//dsdC//hisJ//ompW//purE//xdhB//yeiL//metE//purR//nuoA//aidB//uidA//adiC//glpT//frc//astB//artM//hfq//hyaC//yegH//paaH//glcF//csgG//gutQ//deoB//ilvI//cysD//eda//gltV//mdtC//ycdZ//bamA//hmp//adiC//rybB//nikC//nuoA//cheY//nlpE//fadB//mpl//alaS//yqjA//gltW//garK//prs//nuoH//aldA//
