#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	artP//alaV//
Ada-Methylated_pos	prmC//hyfG//gntU//osmC//
AlaS-L-alanine_neg	puuR//
AllS-allantoin_pos	cas2//ynfK//ygaC//
AraC-L-arabinose_neg	cusF//fdnG//uhpA//yfbR//prfA//araJ//zraP//zraP//
AraC-L-arabinose_pos	hyfH//fdhF//lysU//dadA//nrdF//asr//hyfF//efeU_1//dmsB//glyA//
ArcA-Phosphorylated_neg	cspD//mtr//trpB//aroG//rutG//ivbL//rnhB//atoA//ung//argD//cueO//ivbL//rhaB//dmsB//sufD//rpsQ//rutD//gspJ//baeS//rcnB//rnlB//nuoK//hycC//alkA//oxc//fhuA//yhjC//rrsE//xdhA//pyrC//cysN//iclR//fepC//aaeX//fepE//ilvN//ulaC//xdhB//actP//hyfJ//purB//hycB//rrlC//yaeQ//ilvI//metF//nuoN//fimH//sbmC//csgA//cysB//nuoN//rrfE//tar//aspA//garP//allC//prfA//mhpT//fecC//yeaE//frc//nadC//rpoH//envY//galE//ilvY//ydeA//ycjX//sbcC//arcA//yhcH//fadA//sucA//ileV//fepC//serC//hdeA//artQ//dapB//astC//nuoB//znuA//ydeM//fucO//mpl//yfdV//lysC//tdcE//trmD//dppC//ulaB//rhaA//tyrR//melB//sroD//phoH//mtlR//lldP//hofO//modC//glnL//sufD//alaV//ychO//ryhB//phoA//nikB//ulaF//cysH//napG//ydhV//citF//uhpT//ftnA//lldD//gatY//citG//xylA//ybiT//ygeH//rpmI//yojI//aroP//speB//napA//ydhW//
ArcA-Phosphorylated_pos	fepC//bamE//caiB//nuoK//mntP//ptsH//hyfJ//atoA//mtr//psd//umpH//yqjH//atoD//malX//cyaR//yoaG//tauA//ileV//caiD//glpK//galE//sucC//norR//fimI//feaR//livJ//melR//flhD//dmsB//iclR//hmp//hyaC//gyrA//gltF//melA//nlpE//metL//nupC//yecR//ileU//paaC//bglG//hyfH//mgrR//chbA//dnaE//argE//ilvD//manX//livJ//tfaQ//ydbD//deoA//prpC//rrsD//ygaC//truB//rutB//
ArgP-L-arginine_neg	manX//
ArgP-L-arginine_pos	sdaA//phoA//lamB//metA//nrdG//recF//puuE//mdtC//gadC//gnd//dctA//gntR//fimA//nikE//nuoC//
ArgR-L-arginine_neg	ydeJ//malQ//csgA//malI//ulaB//fepD//rseA//ompC//nuoC//hycC//tdcB//ugpQ//srlR//torR//fhlA//appC//rutE//chbG//nanS//napG//cas1//yaiA//kbaZ//pagP//ssuD//hyfH//ydhU//yegH//ycdZ//sdhA//casA//nikD//xdhC//sxy//
