#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yedX//fes//
Ada-Methylated_pos	fadB//frdA//alaU//ccmE//
AlaS-L-alanine_neg	rrsA//
AllS-allantoin_pos	ppiD//pgpC//yrbL//
AraC-L-arabinose_neg	ompF//paaB//rimM//casC//ycdZ//ccmE//ugpC//hemL//
AraC-L-arabinose_pos	dcuR//nuoL//hofP//hyfB//hdeA//trpL//xdhB//creA//nagE//fucI//
ArcA-Phosphorylated_neg	mntS//metB//nrdB//rhaT//metI//yrbL//yfaE//oppA//trpC//ydhW//citX//chbR//cheR//nupC//atoA//dcuD//glcC//ompW//grpE//hydN//evgS//aldA//ulaF//nrdI//secB//hslJ//iraM//pnp//araH//fecB//dppD//aceK//gspK//hisM//dppA//yqjA//napG//entC//hycE//araF//ftnA//atoA//aceE//ccmE//metJ//ssuA//ryhB//aceA//tauA//hyfB//rseC//gspO//fumA//fixA//purC//udp//allC//malM//dcuB//narG//trpR//oxc//map//ppdD//malP//asr//manX//cydC//yfdV//hofP//caiC//ykgR//grxC//glgP//ybfN//acrB//aer//melR//aer//astD//narQ//sdhC//xapB//hisP//bdcA//hha//gabP//argB//uof//modB//fadJ//yeiP//cheZ//argF//ygbA//bhsA//uhpA//yeiW//tehB//malM//ykgM//phnE_2//argC//rbfA//yfdV//osmC//frdA//argP//ygbA//hcr//rpsP//fimA//rseC//rrsC//cyoE//hisQ//umpH//glnG//caiT//micF//yccA//dmsD//caiE//tyrP//gltD//ssuE//chbR//
ArcA-Phosphorylated_pos	malG//mlc//artP//galS//gntU//ycjX//rnlB//rutD//alaT//malG//lacA//pyrC//rrlD//cyaR//chbA//rpoH//dppC//hybO//oppB//ompT//treB//dadX//hflX//pyrC//cysU//gatB//hofP//cysC//cysC//psiE//csgB//garP//garK//tauA//lpxB//csgB//pgpC//gspI//yhiD//acrA//upp//miaA//argD//prmC//gspO//cstA//mzrA//ascB//ccmB//tdcC//idnD//ynfG//trpE//udp//pflB//znuC//rmf//ileV//
ArgP-L-arginine_neg	allC//
ArgP-L-arginine_pos	phnK//citC//nadC//gcd//malZ//fimE//aroG//argF//ogt//nuoJ//araE//hisJ//hpt//phnF//pgaD//
ArgR-L-arginine_neg	gnd//treB//ptsG//astE//hycD//dcuS//aidB//crl//mdtA//gltF//uxaB//ynfK//rnhB//codA//dcuR//paaF//glgB//aaeR//dppF//ldtB//yaiA//yeaE//arcZ//dsdA//phoQ//uxaC//araD//hypB//entA//ilvC//glgP//abgA//rplI//cydD//
ArgR-L-arginine_pos	hofP//nuoM//rbsD//ileV//grxD//
AtoC-phosphorylated_pos	purB//hofP//nuoE//copA//
BaeR-Phosphorylated_pos	nrdA//arfB//nrfF//bglB//pgaC//fucR//tomB//nagB//
BirA-bio-5'-AMP_neg	fucK//yfbR//tsx//yebE//speB//
