#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fhuB//pitB//
Ada-Methylated_pos	sufS//yjeV//glgX//thrS//
AlaS-L-alanine_neg	fimG//
AllS-allantoin_pos	garK//upp//argI//
AraC-L-arabinose_neg	nikC//aaeR//crr//nanC//ydeM//rcnB//rplI//gatA//
AraC-L-arabinose_pos	lldD//focA//oppC//malM//citF//fucK//nirD//hyfA//phoP//glnD//
ArcA-Phosphorylated_neg	ycjX//malI//nmpC//aspC//mutL//argI//rplV//nanM//fucA//rpmC//narH//phnN//paaB//lldD//soxR//glnG//glmY//rutB//epd//tdcA//ssb//amiB//folE//caiB//entS//csgD//xylA//ulaF//ydeA//astD//glcD//nuoL//ulaE//sucB//fixA//livM//evgS//fumC//nrdD//hdeB//argD//yggX//gpmA//cysP//glpK//emrY//cadA//mgtA//srlR//acrD//mglC//ascF//dapD//kbl//yaeP//nuoE//nmpC//znuA//yiaJ//hofO//tdcD//gspG//paaH//nuoB//prpC//cpxA//pgpC//dmsA//yeaR//rbsR//cusB//gspF//citF//ilvG_1//sbcD//araB//yfiP//glnD//fumB//entC//rpmC//rybB//argO//ugpQ//nrdF//rrfC//marA//csgA//aldA//napH//bdcA//rrlH//cydB//argR//stpA//glpK//nanE//bioA//malK//gatZ//pstB//torR//ccmD//fepC//artQ//mipA//ydfN//ccmE//casA//cysK//melA//nuoH//grcA//rrsH//sbmC//sbcC//rhaT//glpX//citC//casD//acrD//feoA//sufE//alaU//astB//nikE//ilvY//
ArcA-Phosphorylated_pos	emrY//glcD//ompC//uxaB//mntS//glnA//oxc//malY//chbR//rimP//sbcD//cysW//puuC//nanK//rhaD//rhaB//sufA//purC//fis//zraR//pstC//uidC//ampD//napD//ilvY//pstA//narX//nirD//yjiY//ssuA//melB//allE//treB//creA//ugpB//waaH//fecC//dgcZ//rmf//ogt//entH//dppF//rrfF//polA//gcd//glpA//tktB//cirA//metY//hycB//sxy//rplM//nupC//csgG//arcA//alaS//melA//ccmF//
ArgP-L-arginine_neg	phnI//
ArgP-L-arginine_pos	phoH//cysG//artJ//creB//aer//ydeO//yhiD//rseA//ldtC//ilvD//feoA//rbsR//ilvH//cas1//fhuE//
ArgR-L-arginine_neg	gatA//speC//dkgB//tam//acnB//lysA//qseB//cysD//zraR//aaeA//dppB//ppiA//stpA//uidA//lldR//paaI//grcA//tnaC//bglG//abgT//rpmC//cusS//gspM//asr//moaB//dctA//pyrD//phnP//sroD//ivbL//alaT//mntP//sufS//fliA//
