#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yfeW//fimF//
Ada-Methylated_pos	moaA//degP//gyrA//frdA//
AlaS-L-alanine_neg	appY//
AllS-allantoin_pos	infC//mhpC//rrfC//
AraC-L-arabinose_neg	fucA//lldR//copA//fadJ//ivbL//efeU_1//dnaA//crl//
AraC-L-arabinose_pos	tap//ycjF//cadA//fecI//ugpE//tdh//fimC//psiE//map//lldR//
ArcA-Phosphorylated_neg	rnpB//ytfE//gutM//mdtD//bamA//fdnI//tnaB//erpA//xylR//fes//ebgC//dcuD//yhhY//glpA//entE//ubiG//nrdE//creA//rrlC//caiT//prpR//ykgR//malY//bacA//atoE//cysK//carA//nikA//fixA//nagE//sodA//envY//fimH//fliZ//eda//fimC//creB//gltD//mhpC//fimH//hyaE//marA//ulaB//crp//patZ//deoD//hypB//mltC//phnC//efeU_1//lsrB//hyfG//dcuB//moeB//soxS//serA//metK//phnJ//nanE//ascB//fadE//murP//fimA//ynfG//nuoL//rpsI//mhpB//alaA//gcvT//hycC//nupC//fixX//uhpT//rpmI//cas1//uhpA//yaiW//sufD//umpH//cra//uxaB//gnd//hyfH//motA//csgB//paaK//glpD//ccmD//hycE//uxaC//yfdX//casE//paaE//fliA//mzrA//arfB//fepA//casB//oxyR//glpK//mdtD//artM//casE//flhC//frc//proP//nrdH//torR//uidB//ydfN//abgA//pta//sdhB//tdcG//hupB//glgX//argI//nrfE//nlpD//pgaC//ynfH//entE//ivbL//tehB//ychO//gcvH//ugpB//
ArcA-Phosphorylated_pos	prpC//fhuB//ugpB//ynfE//citX//creD//rplM//fur//crl//agaV//hypA//oppC//fepB//dmsD//ugpA//garK//xylG//ubiX//lldD//uhpT//folE//nrdI//frdC//modC//ilvD//mutL//dapD//ccmG//rnhB//rstA//cynS//bdcA//nrdI//hisQ//ackA//phnI//mgtL//nlpE//fucR//allC//trpE//trpE//mglB//deoC//yciW//aldB//nagA//proP//eda//rbfA//tpx//cpdB//argH//tdcD//ydiU//rpoE//argO//pheS//
ArgP-L-arginine_neg	deoA//
ArgP-L-arginine_pos	atoB//bhsA//ryhB//yfaE//ansB//glnB//ugpC//cpdB//gadB//rpsC//cusB//dsdC//dcuD//nagA//amtB//
ArgR-L-arginine_neg	dcuA//ygbA//serC//garR//asr//rrfG//fixX//gabP//puuR//hyfE//hycD//xdhB//acrA//ugpQ//deoD//artQ//hycF//yfdV//fepC//mglA//nrdB//sufE//moaA//narG//frc//nagA//acrA//rbsK//ydhX//modC//tktB//citG//bglB//glpC//
ArgR-L-arginine_pos	tdcA//puuR//glrR//dmsD//fecE//
AtoC-phosphorylated_pos	lsrF//aaeR//cysM//aldA//
BaeR-Phosphorylated_pos	malM//moeB//aaeR//amn//nanS//astA//uraA//cyaR//
BirA-bio-5'-AMP_neg	cra//ccmA//purF//cstA//mscM//
CRP-cAMP_neg	fecE//katE//ugpC//dsdA//uidB//nfuA//fecR//rrfD//arcZ//borD//lpxD//moaD//aroF//galP//ytfE//chbR//cyaA//metH//tar//rpoS//yoaG//csiD//chbG//yjiY//bglF//upp//nuoF//rutE//gutQ//cyoE//norV//allE//katG//trpL//mtlR//fes//uraA//paaI//tsr//fes//prpE//uxuR//garR//ubiC//trxA//ascB//glpK//ada//glpG//dpiA//cusC//glyA//evgS//ompA//gspD//dsdC//gutQ//yaiW//hycF//thrS//rhaR//soxS//treC//rpmC//rutD//araD//ndh//sufS//infC//abgT//mcaS//nrfF//yhcH//recF//ubiA//fdnI//ygeH//rpoH//ackA//rrfD//ompF//nirB//atoE//atoB//uhpT//rnlB//epd//cyoE//gspD//zwf//moaC//cdd//livM//allC//ulaB//dcuS//sdhB//fdhF//argB//cadA//nadC//sbcD//tam//yciW//fepC//tdcD//cadB//entF//idnO//comR//yfdE//argE//ugpC//cydB//pheS//ydhT//deoC//tdcC//sodA//mntH//rplD//hofP//ssb//manX//uvrA//ynfK//motB//uxuR//mdtA//oppA//tauD//aroA//marB//
