#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cusR//ilvL//
Ada-Methylated_pos	atoE//rrlA//fixA//ybdN//
AlaS-L-alanine_neg	csiD//
AllS-allantoin_pos	dnaN//aer//tdcB//
AraC-L-arabinose_neg	norW//patZ//fepB//fadA//glcG//metF//narL//glnA//
AraC-L-arabinose_pos	fes//rhaT//srlB//fabZ//creB//marA//ihfA//rrsD//mipA//moaE//
ArcA-Phosphorylated_neg	ssb//baeS//speC//ssuA//ihfA//napG//alaV//fecD//treB//casE//argC//rseC//ydeA//hybG//yqaE//puuE//oppF//garL//gpsA//rrsE//hyfD//qseC//puuE//glcG//ccmC//caiF//chbC//gatA//sodA//bamA//yggX//ssuE//fnr//bacA//nlpE//caiE//spf//modB//purK//motB//chbC//uvrA//hyfR//hyaD//carA//rmf//rpsQ//nuoB//cydB//srlE//modC//dmsD//mdtC//rutB//ydhY//xylR//fimE//cusB//livH//rof//dcuB//cvpA//tehB//dnaN//phnK//lldP//fepA//yhjC//exuT//iscS//truB//iraD//pgpC//fecR//cynR//kbl//ygiB//ahpF//dctA//cpdB//glnD//fabZ//nrdH//garR//hdeB//narG//purE//rplC//murP//dpiB//nfuA//hyfJ//gpsA//spf//ynfF//tdcF//caiD//entC//glnG//safA//uraA//araA//cynX//pta//rbsK//hycG//rutB//nrfF//csgG//cydC//araA//ybdZ//napA//idnO//mglB//gcvH//ssuE//ansB//glpA//ivbL//xylA//uhpA//sodB//nrfB//aroL//cpdB//paaK//
ArcA-Phosphorylated_pos	aceB//yciW//mhpB//ynfE//ssuC//cas2//cynS//sdaA//glpX//moaE//hycG//dppF//flhD//galT//nuoL//prpB//rplC//hybO//crl//purA//glpK//tonB//trpB//folE//infB//nrfB//lrp//yegH//torR//rbsC//map//yfdV//cyoD//fixX//glcB//ilvH//polA//cynX//glcG//nrdF//galM//puuB//srlB//azuC//fnr//tyrA//nuoJ//bioF//glcA//aroF//prpD//tsr//hpt//tsx//ftnB//rrsG//oppF//cynT//
ArgP-L-arginine_neg	lpd//
ArgP-L-arginine_pos	rpsJ//mutY//glcE//hemA//tdcG//cysB//yeaD//mhpA//rutF//malF//qseC//cpxA//lysO//pagP//garK//
ArgR-L-arginine_neg	narQ//lsrC//dmsA//nikB//kbl//fadE//dsdX//rseA//spf//iraD//agp//hyfE//iscS//dsdC//envY//nmpC//gspJ//hupA//gltT//yhhY//treB//metB//rpsO//mlc//hflX//rplP//ssuB//ybdZ//amn//rhaB//gltD//envZ//alaT//rpmI//
ArgR-L-arginine_pos	ilvB//acrB//emrY//ilvY//nuoA//
AtoC-phosphorylated_pos	yfbR//hycB//iscU//focA//
BaeR-Phosphorylated_pos	hdeD//yegZ//hisP//fucI//prmC//yaiW//yhjA//patZ//
BirA-bio-5'-AMP_neg	modC//tam//hycB//betA//argH//
