#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	marB//atoB//
Ada-Methylated_pos	codB//pdeF//pitA//katG//
AlaS-L-alanine_neg	ssuB//
AllS-allantoin_pos	lsrC//hcr//sxy//
AraC-L-arabinose_neg	phnN//znuB//narQ//yoaG//hyfB//chbC//rnlA//tdcB//
AraC-L-arabinose_pos	ynfG//rnlB//pstB//nuoC//tdcA//dcuB//rpsJ//fumB//dpiB//hlyE//
ArcA-Phosphorylated_neg	ugpQ//agaA//gntT//bioA//mutY//betA//deoD//napD//artQ//asr//ybfN//mtlR//aceA//fdnI//cysB//rbsC//metQ//ccmC//hyfD//osmY//avtA//amtB//hisM//cydB//yjjZ//rrfE//puuD//astD//fixX//puuC//yhiD//cusF//mhpF//glcA//dgcZ//lsrF//mhpF//ccmA//abgA//grcA//baeR//cas1//ybfN//rutD//argT//fepG//focA//sufB//metE//amn//oppB//sucA//gltU//nrfC//aroH//oppA//emrK//ung//yhjA//hofP//yeiL//hybE//mhpE//purF//nuoM//nrfB//hupA//cheB//tcyJ//lsrB//hycE//nmpC//bcsC//malF//csgD//frdC//aaeA//acrE//rnlB//nuoF//gspF//lpxB//frc//rprA//lsrK//aspC//ssuD//talA//bacA//sbcC//phnK//nuoA//phoA//tnaC//livJ//abgB//bamE//aroP//serA//rrlG//lsrR//cysG//cbl//rplW//ycjF//rrsC//tdcA//ynfH//tonB//mpl//paaC//hmp//yecR//lacA//mgrR//talA//nrfA//ydhU//purN//ybjG//ndh//yqjH//cas2//pheM//alkA//ompX//hyaA//
ArcA-Phosphorylated_pos	mltC//galP//fixB//fucP//bioC//bioC//caiB//rnlB//rpsS//xylB//glcE//mhpB//ompW//gntR//zraR//emrK//fhuF//oxyR//sdhC//hflX//rcnA//ivbL//gabT//yrbL//cpxR//hyfB//katE//evgS//torD//preA//talA//bcsA//nac//garP//ybdN//lldP//borD//citX//hycB//fabZ//rpsS//ada//aceB//hslJ//cdd//acrE//pgaD//slt//trpA//lysU//acrD//oppD//entS//nuoG//csiE//rutF//rpsR//slyB//
ArgP-L-arginine_neg	lpxA//
ArgP-L-arginine_pos	nikR//tauD//glnD//ilvG_2//ascF//nagB//puuR//dsdC//oppB//astC//tehB//znuA//aceA//casE//ccmG//
ArgR-L-arginine_neg	rpoS//nuoF//baeR//lsrC//malI//moaE//acs//fucP//frdA//gabP//glpA//argC//rrfH//pncB//cvpA//phnO//tcyJ//ompR//tadA//ahpF//rcnA//pitB//srlB//moaE//hypD//csgE//ychO//dcuB//focB//csgG//dmsB//ihfA//flhD//yqaE//
ArgR-L-arginine_pos	hybB//hupB//ydhX//ilvY//manY//
AtoC-phosphorylated_pos	puuC//nrfD//uxaB//nikB//
BaeR-Phosphorylated_pos	hybG//nmpC//fhuA//chbA//rpsP//mgtL//trpA//fau//
BirA-bio-5'-AMP_neg	tsgA//appA//atoE//mntP//creC//
CRP-cAMP_neg	ynfF//livF//erpA//pncB//ilvL//livG//artQ//argH//hycF//efeU_1//rplV//rbsK//fepC//dppC//nuoG//ompF//aroH//hflX//mhpB//ilvL//glpB//fecR//ccmC//mhpF//nikD//ilvG_1//fis//mtlD//appB//mpl//fhuA//pflB//ydhW//glcB//glpQ//nanS//fadB//gnd//hypF//rrlD//hyaC//dcuC//gltT//ugpE//livG//ccmH//mpl//gdhA//phnN//hflX//paaC//yjcH//ldtB//rseA//nikE//prpC//cstA//soxR//cysH//evgS//pyrC//sufE//qseC//ispE//yqjH//gyrA//argI//alkB//melA//iscA//ydhW//yfaE//lysC//tdh//nagC//agp//lolB//ydhV//nirB//ung//agp//sdhC//chbR//purE//nikB//cdd//phoA//mntP//psiF//lolB//osmC//creA//betA//udp//mepH//fadJ//fadA//polA//artM//ompW//idnO//yeiL//glcF//atoB//pheS//chbG//cbl//glnD//metC//dcuA//yqaE//recF//skp//purM//dctA//cyoD//lysP//nuoI//purF//nrdG//paaB//lsrF//zwf//nikR//yhjA//ybfN//ileV//trpC//puuE//ykgM//exuT//bioA//dcuR//
